"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","genre_1","genre_2","genre_3","genre_4","genre_5"
"Softcore","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",206280,86,0.0484,0.575,0.568,0.000417,0.286,-5.509,0.03,93.986,9,0,206280,0.37,4,"modern alternative rock","modern rock","pop",NA,NA
"505","Arctic Monkeys","Favourite Worst Nightmare","2007-04-22",253586,87,0.00287,0.526,0.866,7.78e-05,0.0945,-5.822,0.0568,140.266,0,1,253586,0.248,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"You Get Me So High","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",153000,84,0.186,0.551,0.881,0.0791,0.152,-6.099,0.0542,88.036,7,0,153000,0.387,4,"modern alternative rock","modern rock","pop",NA,NA
"Reflections","The Neighbourhood","Hard To Imagine The Neighbourhood Ever Changing","2018-11-02",244013,85,0.114,0.648,0.594,0.0462,0.116,-7.027,0.0293,113.983,11,0,244013,0.544,4,"modern alternative rock","modern rock","pop",NA,NA
"Unfair","The Neighbourhood","#000000 & #FFFFFF (No DJ Version)","2014-11-28",146866,70,0.00708,0.477,0.572,0.784,0.144,-7.328,0.0319,194.033,8,1,146866,0.0414,4,"modern alternative rock","modern rock","pop",NA,NA
"The Beach","The Neighbourhood","Wiped Out!","2015-10-30",255133,76,0.131,0.245,0.64,8.11e-06,0.0766,-7.426,0.0608,135.739,2,0,255133,0.105,4,"modern alternative rock","modern rock","pop",NA,NA
"Daddy Issues","The Neighbourhood","Wiped Out!","2015-10-30",260173,86,0.0678,0.588,0.521,0.149,0.123,-9.461,0.0329,85.012,10,1,260173,0.337,4,"modern alternative rock","modern rock","pop",NA,NA
"Friends","Chase Atlantic","Nostalgia","2015-02-21",230010,82,0.0114,0.422,0.609,4.76e-06,0.108,-6.361,0.0335,107.34,11,0,230010,0.0911,3,"alternative r&b",NA,NA,NA,NA
"Brooklyn Baby","Lana Del Rey","Ultraviolence (Deluxe)","2014-01-01",351640,84,0.542,0.404,0.664,0.00402,0.11,-6.698,0.0407,107.747,1,1,351640,0.0949,4,"art pop","pop",NA,NA,NA
"Into It","Chase Atlantic","Chase Atlantic","2017-10-04",196767,81,0.0503,0.518,0.572,2.41e-05,0.129,-6.706,0.0416,130.053,10,0,196767,0.291,4,"alternative r&b",NA,NA,NA,NA
"Flawless","The Neighbourhood","I Love You.","2013-04-19",246493,73,0.0553,0.568,0.871,0.51,0.303,-3.453,0.0308,119.99,0,1,246493,0.374,4,"modern alternative rock","modern rock","pop",NA,NA
"Why'd You Only Call Me When You're High?","Arctic Monkeys","AM","2013-09-09",161123,89,0.0483,0.691,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,2,1,161123,0.8,4,"garage rock","modern rock","permanent wave","rock","sheffield indie"
"Leaving Tonight","The Neighbourhood","I'm Sorry...","2013-05-08",203866,57,0.0147,0.565,0.675,0,0.102,-5.439,0.0309,119.959,9,0,203866,0.21,4,"modern alternative rock","modern rock","pop",NA,NA
"Baby Came Home 2 / Valentines","The Neighbourhood","Wiped Out!","2015-10-30",390493,69,0.0687,0.21,0.499,0.00315,0.773,-9.754,0.0485,74.094,2,0,390493,0.108,4,"modern alternative rock","modern rock","pop",NA,NA
"10,000 Emerald Pools","BØRNS","Dopamine","2015-10-16",174693,67,0.00694,0.568,0.578,0.000353,0.099,-5.589,0.0404,139.951,6,1,174693,0.555,4,"indie poptimism","modern alternative rock","modern rock","pov: indie",NA
"Fool","BØRNS","Dopamine","2015-10-16",218320,49,0.002,0.675,0.8,0.0405,0.0861,-4.58,0.0324,124.999,11,0,218320,0.889,4,"indie poptimism","modern alternative rock","modern rock","pov: indie",NA
"Dopamine","BØRNS","Dopamine","2015-10-16",224373,57,0.0155,0.551,0.813,5.82e-06,0.105,-4.25,0.0621,97.557,5,1,224373,0.568,4,"indie poptimism","modern alternative rock","modern rock","pov: indie",NA
