"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Now I'm In It - Bonus Track","HAIM","Women In Music Pt III (Expanded Edition)","2021-02-19",204280,58,0.384,0.717,0.707,0.000117,0.161,-9.495,0.0628,105.014,4,1,204280,0.206,4,"1DR2KXb0UvibcLsdDGVwwt","indietronica","metropopolis",NA,NA,NA,NA,NA,NA,NA,NA
"AmiciXS","20025xs","Idols","2021-01-21",172000,2,0.0197,0.742,0.517,0.00976,0.0718,-10.666,0.395,89.973,1,1,172000,0.832,4,"3jjW1QjJuhXjrwn8XkBIem","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mettimi giù","Sergio Caputo","Un Sabato Italiano","1983-01-01",274906,23,0.116,0.672,0.456,0,0.0896,-18.341,0.0716,76.351,7,1,274906,0.888,4,"2cg6kT5mWAYn0JK0yeRspS","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mister Arduino","Tutti Fenomeni","Privilegio raro","2022-05-06",164374,28,0.0899,0.837,0.585,0,0.324,-6.777,0.0387,122.035,0,1,164374,0.816,4,"0bHEPnTT4MR97FB9fICTXv","italian alternative","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"stupid horse","100 gecs","1000 gecs","2019-05-31",121681,58,0.0529,0.526,0.902,0,0.531,-4.876,0.314,168.188,3,1,121681,0.797,4,"23Dapn8107GgxvXDIsPwWm","bubblegum bass","hyperpop","proto-hyperpop",NA,NA,NA,NA,NA,NA,NA
"1400","Generic Animal","Presto","2020-02-20",196373,14,0.299,0.467,0.572,0,0.584,-6.646,0.181,77.31,0,1,196373,0.435,4,"0S3HzdU0x7KWSlxpr3g9Ao","emo rap italiano","indie rock italiano","italian alternative","italian indie pop","milan indie","r&b italiano",NA,NA,NA,NA
"Letti (feat. Alessandro Gori)","AVINCOLA","Letti (feat. Alessandro Gori)","2022-06-10",172241,8,0.2,0.718,0.697,3e-05,0.208,-6.412,0.0486,116.081,5,1,172241,0.767,4,"6ynobn6iBfTM7kbPBJykGU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Girl U Want","DEVO","Hot Potatoes: The Best Of Devo","1993-01-01",177173,41,0.284,0.716,0.364,3.39e-05,0.0522,-14.052,0.0702,172.692,9,1,177173,0.823,4,"4nx3Q0PkgAidzGCmt96iH9","alternative rock","art punk","dance rock","new romantic","new wave","new wave pop","post-punk","synth punk","synthpop","zolo"
"Quattro Ragazzi In Padella","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",141357,4,0.172,0.596,0.986,0.000453,0.293,-3.197,0.248,90.054,0,1,141357,0.287,4,"0DrSRQnIba30cruHUisZmY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silvano","Cochi e Renato","Finchè c'è la salute (Deluxe Edition)","2007-02-16",295320,22,0.634,0.636,0.817,0,0.141,-4.52,0.0837,132.165,6,0,295320,0.623,4,"3dM70bTtlOKDBtiwZyPij0","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smirnoff Ice","Yung Lean","Total Eclipse","2019-03-06",106942,55,0.107,0.604,0.808,0,0.0914,-4.723,0.116,144.989,1,1,106942,0.101,4,"0e1OE2pEor5kVTWBIs0nWX","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
"DUE E ZERO","FSK SATELLITE","PADRE FIGLIO E SPIRITO","2020-09-10",194835,26,0.0371,0.583,0.579,0.00037,0.305,-9.935,0.235,150.177,5,1,194835,0.597,4,"3mJNy3bUsjaeVDSgcTIS1B","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA,NA,NA
"Cimici e bromuro","Sergio Caputo","Un Sabato Italiano","1983-01-01",146360,22,0.76,0.54,0.0831,0,0.115,-21.607,0.0503,140.236,7,1,146360,0.372,4,"6s3t2GKydrqPL7sKfsv1Cm","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Little Of Your Love","HAIM","Something To Tell You","2017-07-07",213880,47,0.116,0.612,0.856,3.35e-05,0.647,-3.273,0.0479,112.94,9,1,213880,0.681,4,"0dHM31MLd2F5jzNPDMHOpN","indietronica","metropopolis",NA,NA,NA,NA,NA,NA,NA,NA
"Post Punk","I Cani","Il sorprendente album d'esordio de I Cani","2011-06-03",283656,35,0.0165,0.562,0.984,2.51e-05,0.322,-3.59,0.0783,102.464,7,1,283656,0.518,4,"0QyAX3yFn4uEXKZi6MwAii","italian alternative","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"Sunrise Angel","Yung Lean","Unknown Memory","2014-10-23",179973,42,0.133,0.543,0.657,0,0.107,-7.793,0.0638,127.948,7,1,179973,0.124,4,"5CeO4v15n9ffbBv9dcWBWP","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
"Finalmente Nel Luxury","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",199272,3,0.5,0.624,0.729,0,0.156,-6.596,0.0708,82.513,2,1,199272,0.105,4,"6Zm6IizMwo2s8EHtHN6KFw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"No One Else","Weezer","Weezer","1994-05-10",184506,51,0.000248,0.461,0.882,0.00049,0.121,-5.409,0.0343,138.303,4,1,184506,0.688,4,"2w12ff20EDDeXpsx08CgG5","alternative rock","modern power pop","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"Splendido","20025xs","Idols","2021-01-21",143400,4,0.00433,0.58,0.39,1.1e-05,0.389,-11.423,0.342,200.135,2,1,143400,0.838,4,"11MhOjkrIRdXae6AAtLNcw","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ridatemi l'ITPOP","Pippo Sowlo","Ok Computer Però Trap","2019-06-14",198458,28,0.426,0.656,0.711,0.0019,0.104,-7.301,0.0512,143.961,8,1,198458,0.561,4,"7qb3ssj9JVmGiZtIdLIY0T","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"E le bionde sono tinte","Sergio Caputo","Un Sabato Italiano","1983-01-01",195560,24,0.647,0.644,0.339,0,0.315,-15.79,0.0972,132.976,11,0,195560,0.646,4,"6fCK6NBYBtTXok0ZYcaDlm","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legami Inossidabili","Piccoli Cani Squadra","Emporio Del Male","2020-01-20",132000,7,0.231,0.752,0.944,0,0.872,-4.572,0.306,159.94,11,1,132000,0.819,4,"2xrpffCRNfVIwpveizJfnD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Road","Nick Drake","Pink Moon","1972-02-25",119450,59,0.842,0.586,0.426,0.815,0.0898,-8.673,0.0362,150.968,4,0,119450,0.793,4,"5ir0VEsMI7cLhN6SEiaKol","british folk","folk","melancholia","singer-songwriter",NA,NA,NA,NA,NA,NA
"Ice Cold Smoke","Yung Lean","Unknown Memory","2014-10-23",101426,46,0.0634,0.358,0.635,1.81e-05,0.498,-7.966,0.0417,108.792,1,1,101426,0.312,4,"5dE5ceSY1X0bfIoZRj9Q50","cloud rap","psychedelic hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA
"Bimba se sapessi","Sergio Caputo","Un Sabato Italiano","1983-01-01",225093,36,0.295,0.551,0.479,0,0.179,-13.697,0.0616,153.765,5,1,225093,0.881,4,"5DcWmEXQYM6hK84vOZobFI","classic italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heat Waves","Glass Animals","Dreamland","2020-08-07",238805,91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA,NA,NA
"Servi della gleba","Elio e le Storie Tese","Italyan, Rum Casusu Çikti","1992-06-12",373272,41,0.247,0.369,0.8,0,0.531,-8.617,0.377,207.911,1,0,373272,0.468,4,"5F0Mq4yBfuYXfKfJHlCgXX","italian adult pop","italian alternative",NA,NA,NA,NA,NA,NA,NA,NA
