"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Oxygen","Martin Garrix","Oxygen","2022-04-29",189921,40,0.0241,0.57,0.753,0,0.415,-5.979,0.0512,127.033,11,0,189921,0.39,4,"4pmUI17u8L2FALW17kuEec","dutch edm","edm","pop","pop dance","progressive house",NA
"Aurora","Martin Garrix","Sentio","2022-04-29",210468,42,0.0011,0.514,0.905,0.237,0.101,-6.727,0.0504,128.01,4,0,210468,0.315,4,"2ncGl8sIrEz5M3Kj0MMxqe","dutch edm","edm","pop","pop dance","progressive house",NA
"PANICO (feat. Takagi & Ketra)","Lazza","SIRIO","2022-04-07",188564,71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,4,0,188564,0.258,4,"0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"My Feelings For You - Don Diablo Remix","Avicii","My Feelings For You (Don Diablo Remix)","2022-06-03",205714,56,0.246,0.746,0.896,9.78e-06,0.124,-4.015,0.227,125.939,6,0,205714,0.133,4,"7brRnnzMQtAPybNOwbmRms","dance pop","edm","pop","pop dance",NA,NA
"Secrets - MOTi Remix","Regard","Secrets (MOTi Remix)","2020-07-09",155238,52,0.0901,0.621,0.78,0.000175,0.45,-6.24,0.0448,126.056,6,0,155238,0.479,4,"2vX1vE1jwuqq29xonWIzvE","pop dance","pop edm","slap house","uk dance",NA,NA
"Find You","Martin Garrix","Find You","2022-04-22",228750,43,0.0236,0.278,0.638,0,0.444,-6.062,0.0448,127.97,7,1,228750,0.195,3,"20h5SXbpPifAJ7mRG9HY56","dutch edm","edm","pop","pop dance","progressive house",NA
"SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE","2022-02-03",195923,58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,0,1,195923,0.659,4,"0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA,NA
"Day & Nite","Don Diablo","Day & Nite","2022-05-06",173270,54,0.551,0.827,0.615,0.0779,0.329,-5.902,0.284,120.072,0,1,173270,0.259,4,"5fgT3t3IYunBVjKhEzJZv6","dutch house","edm","electro house","future house","pop dance","progressive electro house"
"Capri Sun","Capo Plaza","Hustle Mixtape","2022-06-03",199680,72,0.0454,0.683,0.852,0,0.246,-2.755,0.0636,93.068,0,1,199680,0.448,4,"1XpmMe95dk9jh3zuOMpeU2","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Reboot","Martin Garrix","Reboot","2022-04-05",163928,47,0.0177,0.739,0.516,0.837,0.376,-7.465,0.0444,126.005,6,1,163928,0.486,4,"1Q7OXxsTM8aUaZ3BbPfIDb","dutch edm","edm","pop","pop dance","progressive house",NA
