"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"As It Was","Harry Styles","Harry's House","2022-05-20",167303,95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,6,0,167303,0.662,4,"4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA,NA
"Silenzio","Gemitaiz","Eclissi","2022-05-12",177672,58,0.163,0.904,0.532,0,0.109,-6.639,0.257,130.015,6,0,177672,0.422,4,"5Eay94uxOnd2XrnybXoDfm","italian hip hop",NA,NA,NA,NA,NA,NA
"Grazie 3000","raccontoRiccardo","Grazie 3000","2022-02-24",175748,3,0.879,0.675,0.313,0,0.0831,-11.083,0.068,126.055,5,1,175748,0.108,3,"2hkqI2Ef1JokWfVYO2czo4",NA,NA,NA,NA,NA,NA,NA
"SUI MURI","PSICOLOGI","TRAUMA","2022-04-28",181529,60,0.739,0.422,0.477,0,0.255,-8.12,0.0384,76.183,11,1,181529,0.39,4,"1pz0bN7LWZZLTx5odixW7a","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"Svuotatasche","Bresh","ORO BLU","2022-03-04",231602,59,0.369,0.489,0.367,0,0.198,-10.254,0.0878,131.302,0,1,231602,0.524,4,"6I28wnb48iMVVfyTSf4lkx","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Matilda","Harry Styles","Harry's House","2022-05-20",245964,83,0.896,0.507,0.294,1.97e-05,0.0966,-10,0.04,114.199,2,1,245964,0.386,4,"6uvh0In7u1Xn4HgxOfAn8O","pop",NA,NA,NA,NA,NA,NA
"Sorpresa (feat. Nayt)","CanovA","Level One","2022-07-15",193298,46,0.531,0.599,0.6,0,0.206,-6.876,0.049,153.942,0,0,193298,0.619,4,"6BCkT0pZnUBoDaywX3qonz","italian pop",NA,NA,NA,NA,NA,NA
"Solo","Frank Ocean","Blonde","2016-08-20",257380,71,0.85,0.469,0.289,2.48e-06,0.161,-10.625,0.0366,133.805,5,0,257380,0.258,4,"35xSkNIXi504fcEwz9USRB","lgbtq+ hip hop","neo soul",NA,NA,NA,NA,NA
"Stavo pensando a te (con Fulminacci)","MOBRICI","Stavo pensando a te (con Fulminacci)","2022-03-31",250564,52,0.0845,0.566,0.635,0,0.165,-7.633,0.0448,109.666,11,0,250564,0.134,4,"1mBSWayaS9nnqLvZNdOdL7","italian indie pop",NA,NA,NA,NA,NA,NA
"Remember (Remix) (Feat. Hailey Knox)","Russ","Remember (Remix) (Feat. Hailey Knox)","2022-01-21",201600,42,0.895,0.716,0.306,0.45,0.104,-7.736,0.055,125.045,3,0,201600,0.168,4,"773AnekGonjVpIbtNZNmTG","hawaiian hip hop",NA,NA,NA,NA,NA,NA
"Paura di me","Axos","Paura di me","2022-03-09",156000,27,0.753,0.797,0.584,7.96e-05,0.125,-7.053,0.208,140.025,6,1,156000,0.556,4,"32LeJWii472KYzCWwCQjiZ","italian hip hop",NA,NA,NA,NA,NA,NA
"Questa canzone dovevo eliminarla","Bipolar","Questa canzone dovevo eliminarla","2020-03-20",176000,29,0.664,0.836,0.272,0,0.111,-13.279,0.4,80.997,5,1,176000,0.843,4,"45sktSOWYXQRSmkeP2v7lT","emo rap italiano",NA,NA,NA,NA,NA,NA
"Circles","Mac Miller","Circles","2020-01-17",170360,70,0.896,0.61,0.0316,0.00461,0.108,-15.186,0.0486,151.964,9,1,170360,0.37,4,"4jXl6VtkFFKIt3ycUQc5LT","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"La mia noia","Nayt","DOOM","2021-10-29",171235,52,0.582,0.656,0.563,0,0.111,-7.691,0.275,89.041,11,0,171235,0.64,4,"7xDvO2hjF1yXXPjQo4PB4j","italian hip hop",NA,NA,NA,NA,NA,NA
"Giugno","Tananai","Giugno","2020-01-17",177750,50,0.602,0.599,0.437,0,0.304,-10.542,0.0465,124.888,1,1,177750,0.5,4,"2ViwZ1Ht21XTkO4UXqsicw","italian pop",NA,NA,NA,NA,NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",199146,65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA
"Coltellata (feat. thasup)","Gazzelle","OK","2021-02-12",165266,61,0.329,0.646,0.653,0.000129,0.132,-5.06,0.0488,125.991,6,1,165266,0.337,4,"6RDCUnAj3V4s37b0BBBXTa","italian adult pop","italian pop","rome indie",NA,NA,NA,NA
"Ieri L'Altro","Franco126","Stanza Singola","2019-01-25",230896,54,0.648,0.581,0.38,0,0.0908,-11.004,0.0368,144.917,0,0,230896,0.332,4,"1c0hOZ4rGASabvJQbIFeP0","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"Seno Sinistro","Tananai","Piccoli Boati","2020-02-21",223263,42,0.388,0.651,0.599,2.94e-05,0.097,-7.141,0.0749,88.013,4,1,223263,0.514,4,"4jbBWQdQJSoS6ZfKzHBVix","italian pop",NA,NA,NA,NA,NA,NA
"Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022-03-04",171437,60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,8,1,171437,0.705,4,"4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"HANDSOMER (Remix) (Feat. Ktlyn)","Russ","HANDSOMER (Remix) (Feat. Ktlyn)","2022-03-09",143414,69,0.176,0.891,0.62,1.59e-06,0.103,-6.822,0.157,82.035,8,1,143414,0.535,4,"0vp1sk3FzuDBeLMLcRhQdL","hawaiian hip hop",NA,NA,NA,NA,NA,NA
"Tom's Diner","AnnenMayKantereit","Tom's Diner","2019-06-28",269333,76,0.376,0.68,0.428,0.000344,0.355,-8.107,0.135,98.222,6,0,269333,0.334,4,"0oA9wBGDY4uyILLg4GymWP","cologne indie","german singer-songwriter",NA,NA,NA,NA,NA
"Good News","Mac Miller","Circles","2020-01-17",342040,75,0.853,0.794,0.32,0.134,0.112,-12.92,0.173,174.088,1,0,342040,0.241,4,"1DWZUa5Mzf2BwzpHtgbHPY","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
