"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Romeo & Juliet","Peter McPoland","Romeo & Juliet","2020-07-03",166137,64,0.454,0.318,0.476,1.57e-05,0.503,-7.108,0.0441,160.737,0,1,166137,0.0807,4,"1VyA8mbSyXOdJx2lguR8Uu","pov: indie",NA,NA,NA,NA,NA,NA,NA,NA
"Heaven To Me","Theo Lawrence and The Hearts","Homemade Lemonade","2018-03-09",226780,39,0.0757,0.536,0.678,3.1e-06,0.0877,-6.788,0.053,89.502,5,1,226780,0.482,4,"7zLLfhhAUeXh8i4pKKcg46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lover","Tree Theater","Lover","2017-07-16",256551,40,0.685,0.72,0.286,0.00139,0.303,-15.939,0.0314,86.998,4,1,256551,0.559,4,"3FGdgskPgRxnMbkYgIz2zR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stay","The Sellouts","Stay","2020-05-08",175087,43,0.472,0.842,0.355,0.0044,0.123,-8.736,0.0339,87.033,9,0,175087,0.706,4,"1JIUHuQPT5Q4uFR2Lxl9rA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orange Sky","Alexi Murdoch","Four Songs","2002-01-01",379520,62,0.797,0.685,0.15,0.0461,0.1,-20.543,0.039,124.956,2,1,379520,0.125,4,"0Y1fueUFu8jQtUxdUmOojf","acoustic pop","british singer-songwriter","indie folk","stomp and holler",NA,NA,NA,NA,NA
"Surf","Mac Miller","Circles","2020-01-17",330506,70,0.754,0.828,0.182,0.0706,0.15,-13.066,0.166,147.279,1,0,330506,0.231,4,"1kwnxJNVl7cwcU98RvMBaR","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA
"Knowing Me, Knowing You - triple j Like A Version","Angie McMahon","Knowing Me, Knowing You (triple j Like A Version)","2020-02-21",242320,47,0.121,0.643,0.293,0.512,0.122,-13.173,0.0286,95.645,9,1,242320,0.495,4,"1Yona7kwRvLKavcO54sn8F","australian indie",NA,NA,NA,NA,NA,NA,NA,NA
"La Mar (The Ocean)","The Beautiful Girls","Learn Yourself","2003-09-22",237840,52,0.811,0.84,0.338,0.0151,0.11,-9.636,0.0486,92.197,8,1,237840,0.36,4,"0WuWrW1N8ofJBjM5ZHkFjH","australian reggae fusion",NA,NA,NA,NA,NA,NA,NA,NA
"Treat Her Right","The Commitments","The Commitments","1991-01-01",216293,35,0.132,0.585,0.656,4.71e-06,0.152,-10.242,0.0641,162.318,7,1,216293,0.779,4,"3uUvMnmElmHwnBf9cxUjNH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE","2022-02-03",195923,58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,0,1,195923,0.659,4,"0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"April Come She Will","Simon & Garfunkel","Sounds Of Silence","1966-01-17",109386,70,0.863,0.489,0.186,0.000152,0.2,-16.237,0.029,102.245,9,1,109386,0.349,4,"0djZ2ndRfAL69WYNra5jRC","classic rock","folk","folk rock","melancholia","mellow gold","rock","soft rock",NA,NA
"Aida","Rino Gaetano","Aida","1977-03-21",265493,55,0.246,0.399,0.466,0.0455,0.0621,-10.477,0.043,73.157,9,0,265493,0.341,4,"7N1SQcqAkSvUgnlvrU0Et8","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA
"ILYSB","LANY","LANY","2017-06-30",211149,69,0.468,0.636,0.623,0.00453,0.351,-7.016,0.0603,100.026,5,1,211149,0.389,4,"2btKtacOXuMtC9WjcNRvAA","la pop",NA,NA,NA,NA,NA,NA,NA,NA
"Heat Up - Home Session","Giant Rooks","rookery live tapes","2021-06-18",181477,34,0.775,0.747,0.409,0,0.227,-6.925,0.0338,73.461,6,0,181477,0.473,4,"2bGpiqhCPyf7uOCfVc6G3u",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Days Like This","Van Morrison","Days Like This","1995-06",197160,71,0.658,0.66,0.541,0.00127,0.0928,-7.851,0.0576,93.744,0,0,197160,0.693,4,"3xINh6YqkLfucEtjoa4x7D","classic rock","folk","folk rock","heartland rock","mellow gold","rock","singer-songwriter","soft rock",NA
"Slow Dancing in a Burning Room","John Mayer","Continuum","2006-09-11",242000,77,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,134.018,1,0,242000,0.29,5,"2jdAk8ATWIL3dwT47XpRfu","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA,NA
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",149605,62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"I Lied (with Allison Ponthier)","Lord Huron","Long Lost","2021-05-21",234383,64,0.914,0.44,0.269,0.261,0.132,-10.769,0.0262,103.877,5,1,234383,0.138,3,"7xQg5QTx8eiQnsxEnfynPh","indie folk","stomp and holler",NA,NA,NA,NA,NA,NA,NA
"Moment Of Surrender","Nick Mulvey","Moment Of Surrender","2019-02-08",299179,49,0.57,0.61,0.662,0.00846,0.13,-9.182,0.0402,104.122,2,1,299179,0.527,4,"4f25p7B3SRzh9Yep7o3w6G","british singer-songwriter","cambridgeshire indie","indie folk",NA,NA,NA,NA,NA,NA
"Kilby Girl","The Backseat Lovers","When We Were Friends","2019-01-27",282205,78,0.0578,0.329,0.444,0.0352,0.113,-9.973,0.0417,162.279,1,1,282205,0.225,4,"1170VohRSx6GwE6QDCHPPH","pov: indie","slc indie",NA,NA,NA,NA,NA,NA,NA
"Body Paint","Arctic Monkeys","Body Paint","2022-09-29",290584,65,0.567,0.56,0.313,0,0.0767,-11.653,0.0627,144.745,7,0,290584,0.254,4,"11jRCxY01k9jvCdUru0EeP","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA,NA
"Girls & Boys","Nouvelle Vague","Girls & Boys","2021-06-14",203022,29,0.869,0.603,0.424,1.02e-06,0.866,-10.66,0.0903,125.734,11,0,203022,0.693,4,"3GdnWzf5mqbAvJRCBr1xdl","lounge","nu jazz",NA,NA,NA,NA,NA,NA,NA
"I Bet You Look Good on the Dancefloor","Aquapella","Telos","2019-08-07",223293,7,0.104,0.597,0.808,0,0.305,-6.559,0.104,94.084,6,0,223293,0.626,4,"1yLJub1SC98IbV6tubS9Yf",NA,NA,NA,NA,NA,NA,NA,NA,NA
"If She Ever Leaves Me","The Highwomen","The Highwomen","2019-09-06",193373,49,0.282,0.444,0.558,1.49e-06,0.102,-5.684,0.039,119.22,8,1,193373,0.244,3,"7eU4GSfrANUlZBptlflhR5","new americana",NA,NA,NA,NA,NA,NA,NA,NA
"For You","Laura Marling","Song For Our Daughter","2020-04-10",237228,49,0.947,0.553,0.104,1.2e-05,0.0984,-16.152,0.0372,97.067,0,1,237228,0.186,4,"4439aAX3jNkNKx1ygUr9WC","british folk","british singer-songwriter","chamber pop","singer-songwriter",NA,NA,NA,NA,NA
"One More Cup Of Coffee","Frazey Ford","Obadiah (Bonus Version)","2010-04-24",259173,54,0.557,0.793,0.327,0.000561,0.688,-12.154,0.0358,125.974,9,0,259173,0.286,4,"5bjw4SaUSBIwFg6RE68Rb0","canadian singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA
