"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Bam Bam (feat. Ed Sheeran)","Camila Cabello","Familia","2022-04-08",206070,65,0.182,0.756,0.697,0,0.333,-6.377,0.0401,94.996,8,1,206070,0.956,4,"3lDSWvR0FXWGXo7mhDUs3v","dance pop","pop",NA,NA,NA,NA
"Hasta Los Dientes","Camila Cabello","Familia","2022-04-07",188560,58,0.175,0.831,0.697,0,0.0757,-5.298,0.0483,120.047,1,0,188560,0.964,4,"0sPtR2Z0fRbKOKc3OvBEdA","dance pop","pop",NA,NA,NA,NA
"No Doubt","Camila Cabello","Familia","2022-04-08",190872,50,0.136,0.69,0.767,0.000913,0.28,-6.122,0.19,174.221,4,0,190872,0.591,4,"5FLzLuPyBEppywIJprqwDz","dance pop","pop",NA,NA,NA,NA
"La Buena Vida","Camila Cabello","Familia","2022-04-08",197330,50,0.0343,0.476,0.636,0,0.0617,-6.52,0.039,179.796,7,1,197330,0.717,3,"47bzJjh9bAbo3s3NHSK4r8","dance pop","pop",NA,NA,NA,NA
"psychofreak (feat. WILLOW)","Camila Cabello","Familia","2022-04-08",201495,61,0.342,0.629,0.64,1.17e-05,0.0928,-7.638,0.0752,179.989,7,0,201495,0.448,4,"705dwKmZCd7ImAUyyD6Mpm","dance pop","pop",NA,NA,NA,NA
"Wow Wow (feat. Becky G)","Maria Becerra","Animal","2021-08-26",199772,59,0.0654,0.744,0.679,0.00429,0.0966,-3.51,0.0791,176.024,5,1,199772,0.866,4,"4Yip3hds5IHyT7AqoNHfmX","pop argentino",NA,NA,NA,NA,NA
"Envolver","Anitta","Envolver","2021-11-11",193805,76,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,4,0,193805,0.396,4,"3IAfUEeaXRX9s9UdKOJrFI","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"Fever","Dua Lipa","Fever","2020-10-29",156910,67,0.0597,0.868,0.693,0.00399,0.106,-7.052,0.181,114.999,6,0,156910,0.396,4,"3wJVBz7gvGTwTWVAxFa6ny","dance pop","pop","uk pop",NA,NA,NA
"Celia","Camila Cabello","Familia","2022-04-08",153093,51,0.154,0.735,0.634,2.33e-05,0.388,-6.382,0.0802,91.991,9,0,153093,0.784,4,"7a2P3pskFZVe4wbvjT6NdX","dance pop","pop",NA,NA,NA,NA
"Marte","Sofía Reyes","Mal De Amores","2022-02-10",218800,72,0.067,0.704,0.604,0,0.126,-5.254,0.0556,90.028,5,1,218800,0.642,4,"1uK5rDY3BnikyG0sl3tPpc","latin pop","latin viral pop","mexican pop","reggaeton",NA,NA
"MAMIII","Becky G","MAMIII","2022-02-10",226088,77,0.0934,0.843,0.7,0,0.14,-3.563,0.0803,93.991,4,0,226088,0.899,4,"1ri9ZUkBJVFUdgwzCnfcYs","latin pop","latin viral pop","rap latina","reggaeton","trap latino","urbano latino"
"NO CHÃO NOVINHA","Anitta","NO CHÃO NOVINHA","2021-12-09",136901,63,0.06,0.703,0.806,0.00661,0.375,-3.563,0.0594,141.984,7,1,136901,0.704,4,"7ARoqP7G8UYW8SyYPyPp7k","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"Don't Go Yet","Camila Cabello","Don't Go Yet","2021-07-23",164842,72,0.0492,0.666,0.796,0,0.0442,-6.967,0.103,110.108,10,0,164842,0.61,4,"1058fW9H3fZA6QjYCdOBad","dance pop","pop",NA,NA,NA,NA
"CAFÉ DA MANHÃ ;P","Luísa Sonza","DOCE 22","2021-07-18",181173,60,0.0219,0.758,0.809,0,0.161,-4.065,0.0566,151.097,11,0,181173,0.962,4,"0sPtV4stCHkFJB6GpoaZ1f","funk carioca","pop nacional",NA,NA,NA,NA
"PROVENZA","KAROL G","PROVENZA","2022-04-22",210200,80,0.656,0.87,0.516,0.00823,0.11,-8.006,0.0541,111.005,1,1,210200,0.53,4,"7dSZ6zGTQx66c2GF91xCrb","reggaeton","reggaeton colombiano","trap latino","urbano latino",NA,NA
