"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"Mystery Lady","Masego","Studying Abroad: Extended Stay","2020-11-13",228453,72,0.393,0.747,0.494,0,0.0982,-7.957,0.141,76.006,3,0,228453,0.624,4,"0bkTdkWwGk3OGFX0afD3Wj","alternative r&b","indie soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Superstar Sh*t","Dominic Fike","What Could Possibly Go Wrong","2020-07-31",127054,73,0.945,0.756,0.394,0.0371,0.12,-7.321,0.0956,70.027,4,0,127054,0.197,4,"20j7l6tFtc5lynXpbOQg1O","alternative pop rock","pov: indie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maria También","Khruangbin","Con Todo El Mundo","2018-01-26",190999,56,0.00252,0.746,0.632,0.859,0.542,-7.32,0.0462,103.612,6,0,190999,0.858,4,"2EFuKYBalAcplMyUVL3BDH","indie soul","neo-psychedelic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Take My Breath","The Weeknd","Dawn FM","2022-01-06",339023,76,0.0128,0.698,0.769,0.00166,0.238,-7.154,0.0368,121.02,8,1,339023,0.354,4,"2vgUijXOTRMnWXDtvgMp2b","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gremolada","Colla Zio","Gremolada","2021-03-25",177032,28,0.138,0.676,0.593,0,0.167,-6.502,0.249,99.518,1,1,177032,0.334,4,"4gFtVgSaSU3ykogQkTUAyJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ladders","Mac Miller","Swimming","2018-08-03",287040,72,0.236,0.802,0.463,0.00531,0.105,-8.379,0.162,103.961,8,1,287040,0.291,4,"39NDBdU5Xkm5pCFGa5kZtI","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heaven and Hell","Kanye West","Donda","2021-08-29",145301,64,0.0409,0.764,0.422,0,0.152,-7.265,0.119,82.986,0,0,145301,0.268,4,"2Y40huo5ewaKYxsFintYtF","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L'amore","Cosmo","Cosmotronic","2018-01-12",304746,46,0.0178,0.787,0.652,1.08e-05,0.0739,-6.614,0.048,125.997,9,0,304746,0.393,4,"1tF3VLbEhtSJK0KN04G6iV","italian alternative","italian indie pop","italian pop","turin indie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Music Sounds Better with You","NEIL FRANCES","Music Sounds Better with You","2017-07-21",198305,72,0.274,0.927,0.525,0.238,0.0672,-8.256,0.0667,118.023,8,0,198305,0.778,4,"1vMGIZbIkpaLSagdF2ygcV","indie soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diablo","Mac Miller","Faces","2021-10-15",198107,67,0.0395,0.595,0.617,4.06e-06,0.619,-4.238,0.31,159.83,1,1,198107,0.464,4,"3BDpkLMkgrtrM3HckrVIXr","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Good to Be Home Barney (feat. Tom Misch, Loyle Carner & Rebel Kleff)","Barney Artist","Good to Be Home Barney (feat. Tom Misch, Loyle Carner & Rebel Kleff)","2018-10-02",263089,52,0.301,0.892,0.685,0.000738,0.0775,-4.906,0.072,95.957,10,0,263089,0.61,4,"0dIgcqNnTDWT3q8DT5KyX3","indie soul","uk alternative hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Back to Me","Moonchild","Be Free","2012-04-27",223026,44,0.571,0.88,0.22,0.0437,0.125,-11.51,0.471,94.112,1,0,223026,0.812,4,"0Y0JVqSlj8J512B5kjKekP","indie soul","neo r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LA DOLCE VITA","Fedez","DISUMANO","2021-11-26",187862,61,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,8,1,187862,0.919,4,"27qYCnvju6ZMeeE6TtruIE","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
