"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"Bella stronza","Marco Masini","Il Cielo Della Vergine","1994-12-01",321600,53,0.332,0.526,0.471,0,0.0914,-6.723,0.0306,107.646,0,0,321600,0.273,4,"6zaqjLbBdfkdHUWtQzvrK2","classic italian pop","italian adult pop",NA,NA,NA
"Jolene","Dolly Parton","Jolene","1974-02-04",161533,74,0.566,0.674,0.537,0,0.131,-10.971,0.0363,110.578,1,0,161533,0.809,4,"2SpEHTbUuebeLkgs9QB7Ue","classic country pop","country","country dawn",NA,NA
"Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022-05-27",212966,63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,11,0,212966,0.948,4,"7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA
"Amandoti","CCCP – Fedeli Alla Linea","Epica Etica Etnica Pathos (2008 Remastered Edition)","2008-01-01",170626,35,0.608,0.403,0.241,0.00527,0.481,-11.424,0.027,91.048,5,0,170626,0.453,4,"4n3g7DKjJLUuinWeh2Rgbe","italian alternative","italian new wave","italian punk",NA,NA
"Bagatelle","Pinguini Tattici Nucleari","Il Re è nudo","2014-07-21",251917,51,0.0871,0.538,0.675,0,0.173,-7.452,0.0412,125.084,4,1,251917,0.578,4,"6PTxwEyZm0lI4nR970KPsz","bergamo indie","italian indie pop","italian pop","milan indie",NA
"Don't Give Up On Me - (From ""Five Feet Apart"")","Andy Grammer","Naive","2019-07-26",196187,75,0.0875,0.641,0.537,9.05e-06,0.115,-5.452,0.0282,112.864,0,0,196187,0.0681,4,"5A3fPy30SN2wuzrahpcxvV","neo mellow","post-teen pop","viral pop",NA,NA
"I'll Be Good","Jaymes Young","Feel Something","2017-06-23",247346,66,0.698,0.389,0.277,0,0.0966,-10.757,0.0323,89.32,7,1,247346,0.125,4,"4JuJZzGcswQszYiKJSnC6i","indie poptimism",NA,NA,NA,NA
"Be Alright","Dean Lewis","A Place We Knew","2019-03-22",196493,81,0.705,0.551,0.537,0,0.0802,-7.595,0.034,126.421,11,1,196493,0.493,4,"5qrSlOut2rNAWv3ubArkNy","australian pop","pop",NA,NA,NA
"Bergamo","Pinguini Tattici Nucleari","Fuori dall'Hype Ringo Starr","2020-02-07",288266,58,0.187,0.615,0.603,9e-06,0.0958,-4.405,0.0332,140.051,4,1,288266,0.349,3,"5GRUMkOPUWzzqNTBRNfqt4","bergamo indie","italian indie pop","italian pop","milan indie",NA
"Another Love","Tom Odell","Long Way Down (Deluxe)","2013-06-24",244360,92,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,4,0,244360,0.131,4,"3JvKfv6T31zO0ini8iNItO","chill pop","neo-singer-songwriter",NA,NA,NA
