"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Marechià","Nu Genea","Marechià","2021-07-09",264929,56,0.133,0.698,0.686,0.0439,0.0753,-11.278,0.0338,110.068,1,0,264929,0.926,4,"1gE7p3b4J8p4ivOCR2CO0Y","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA
"Un giorno nuovo","Sick Tamburo","Un giorno nuovo","2017-04-13",232721,40,0.132,0.447,0.725,0,0.0572,-4.322,0.029,180.096,9,1,232721,0.846,4,"4MqIPsidd00iC5gCxwWZ1e","italian alternative","italian indie pop",NA,NA,NA,NA,NA
"Anima latina","Lucio Battisti","Anima latina","1974",397586,41,0.411,0.416,0.632,0.0022,0.0714,-11.967,0.0866,117.085,11,0,397586,0.68,4,"6XOguNHu0tyQRFhPqoBFeV","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Barbara","Enzo Carella","Barbara e altri Carella","1979",246293,45,0.0925,0.755,0.762,0.00251,0.033,-9.103,0.0548,116.392,10,1,246293,0.874,4,"7vJs8fgxF2ONlzaIApPadv","canzone d'autore",NA,NA,NA,NA,NA,NA
"PROVARCI","GIALLORENZO","PROVARCI","2022-03-10",159750,10,0.012,0.396,0.879,0.00183,0.317,-7.694,0.0407,154.101,11,1,159750,0.853,4,"6A3cyQqgcK7etGZr3ytxWb","italian indie pop",NA,NA,NA,NA,NA,NA
"Insieme a te non ci sto piu'","Franco Battiato","Fleurs 3","2002-08-30",192693,49,0.0281,0.469,0.696,0,0.104,-6.689,0.028,94.033,7,1,192693,0.708,3,"1Gdq7zdzHQWu7eOqSpe3Rb","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Gli uomini celesti","Lucio Battisti","Anima latina","1974",306520,29,0.194,0.41,0.497,7.87e-05,0.117,-12.875,0.0702,101.774,6,0,306520,0.471,4,"4OfpPGspKecqyXEJahHL3A","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Bad Kids","TTRRUUCES","TTRRUUCES","2020-06-26",206626,50,0.462,0.609,0.648,6.02e-05,0.785,-6.282,0.0449,88.036,10,0,206626,0.653,4,"0gjcEL2CTKu3fT9qMVVu2w",NA,NA,NA,NA,NA,NA,NA
"Tienaté","Nu Genea","Bar Mediterraneo","2022-05-13",278029,60,0.096,0.699,0.806,0.00839,0.349,-7.428,0.0507,118.806,0,1,278029,0.953,4,"1SIXMGcsAeA6sNxaY1EG3O","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA
"La Stagione Dell'Amore - Remastered 2008","Franco Battiato","Orizzonti Perduti (2008 Remastered Edition)","1983",229693,53,0.577,0.689,0.533,2.4e-05,0.262,-10.301,0.0486,117.365,7,1,229693,0.367,4,"7lhMwmewNFbRl8EuVZ9eFb","classic italian pop","experimental","italian adult pop",NA,NA,NA,NA
"Abbracciala abbracciali abbracciati","Lucio Battisti","Anima latina","1974",425640,40,0.375,0.321,0.443,0.0606,0.359,-14.451,0.043,145.265,2,1,425640,0.267,4,"5fG9eHrjGpWrhif9MOs6RH","canzone d'autore","classic italian pop","italian adult pop",NA,NA,NA,NA
"Parlami per sempre","Sick Tamburo","Sick Tamburo","2009-10-04",183346,39,0.0349,0.614,0.941,0.00293,0.0898,-2.178,0.0332,94.018,8,0,183346,0.893,4,"3S4eaBOxCBPtlnnyEx59TH","italian alternative","italian indie pop",NA,NA,NA,NA,NA
