"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021-09-09",168000,67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,4,1,168000,0.86,4,"16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA
"∞ LOVE (feat. Guè)","Marracash","NOI, LORO, GLI ALTRI","2021-11-19",218367,69,0.105,0.726,0.828,0,0.0873,-5.191,0.071,125.002,7,0,218367,0.307,4,"0HhSB4nAJpI5expWnZL199","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA
"Cold Heart - PNAU Remix","Elton John","The Lockdown Sessions","2021-10-22",202735,82,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,1,1,202735,0.934,4,"6JIC3hbC28JZKZ8AlAqX8h","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA,NA
"Heat Waves","Glass Animals","Dreamland","2020-08-07",238805,91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA,NA
"Parachute","Paul Kalkbrenner","Parachute","2020-07-24",230214,60,0.319,0.646,0.506,0.456,0.18,-11.08,0.0317,126.96,11,1,230214,0.252,4,"3NgAAoUZPkxL5mpvUI7Rl5","electronica","german techno","leipzig electronic","minimal techno",NA,NA,NA,NA,NA
"Bruci la città","Irene Grandi","Irene Grandi.Hits","2007-05-11",213681,53,0.0837,0.581,0.709,0,0.12,-3.19,0.0334,119.987,11,1,213681,0.509,4,"6r2EqHKAX3HrtjwnyuhNct","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA
"I love you baby","Jovanotti","I love you baby","2022-03-21",212985,59,0.121,0.66,0.773,0,0.256,-5.659,0.0376,139.957,6,0,212985,0.805,4,"1AbtrHeUDmWsYUsRApmICf","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Destri","Gazzelle","OK","2021-02-12",185503,69,0.126,0.459,0.696,0,0.198,-4.953,0.0406,85.819,8,1,185503,0.422,4,"7nRFsITVaSHko2Fw2Gcy59","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA,NA
"Oggi No","Ghali","Album","2017-05-26",144960,40,0.0754,0.619,0.687,1.16e-06,0.107,-5.353,0.0794,178.086,0,1,144960,0.354,4,"5xzgthlw69peDQ8to7x4Kd","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA,NA
"Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022-05-27",212966,63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,11,0,212966,0.948,4,"7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
