"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Come nelle canzoni","Coez","Come nelle canzoni","2021-11-05",212897,55,0.252,0.537,0.814,0,0.117,-5.855,0.281,175.878,7,1,212897,0.505,5,"0lwo64aO3YEjcnJGTFHYR1","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"Giganti","LOREN","LOREN","2018-12-14",161593,8,0.0553,0.52,0.93,0,0.102,-3,0.162,144.107,5,1,161593,0.615,4,"6j8fLPbyIyAM5wDL9L1Pwv","firenze indie",NA,NA,NA,NA,NA
"Nostalgia","BLANCO","Nostalgia","2022-06-02",182307,64,0.0372,0.644,0.904,0,0.0767,-3.749,0.0605,130.061,0,1,182307,0.562,4,"22gH5Qg5j5ZzF7LaR7Nrkj","italian hip hop","italian pop",NA,NA,NA,NA
"Occhi rossi","Coez","Volare","2022-05-18",177310,64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,11,1,177310,0.353,4,"5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",199146,65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA
"EGO","Icy Subzero","Sottozero","2022-03-04",171839,67,0.0285,0.607,0.877,0,0.346,-5.452,0.177,125.025,3,0,171839,0.456,4,"0tn0i6zH7uEhRDrT0Yticv","italian hip hop",NA,NA,NA,NA,NA
"Stendhal","LOREN","Stendhal","2021-12-17",208000,7,0.0782,0.587,0.863,0,0.109,-3.352,0.196,120.017,3,1,208000,0.622,4,"6kxKQeQPO4DCIZOMdRUqTy","firenze indie",NA,NA,NA,NA,NA
"Andrea","Bresh","ORO BLU","2022-03-04",185125,61,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,11,0,185125,0.325,3,"0DSq4f2grIJOrawmfXkrRy","italian hip hop","italian pop","rap genovese",NA,NA,NA
"OSSA ROTTE","Rkomi","OSSA ROTTE","2022-06-16",205621,40,0.0361,0.588,0.826,0,0.134,-4.211,0.242,93.146,1,1,205621,0.597,4,"4cvyHBayAxsUTXjv717mVL","italian hip hop","italian pop",NA,NA,NA,NA
"come t! vorre!","thasup","c@ra++ere s?ec!@le","2022-09-30",197786,50,0.538,0.484,0.568,1.91e-05,0.106,-7.699,0.0637,121.715,3,1,197786,0.353,4,"1MWxIh9OE7WhtsKfp1McxK","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Blister","LOREN","LOREN","2018-12-14",205217,7,0.184,0.367,0.778,0,0.231,-3.579,0.0577,164.964,9,1,205217,0.537,3,"7CWaMcbhJzbt2DOKaqUa7b","firenze indie",NA,NA,NA,NA,NA
"MUJER","Icy Subzero","MUJER","2022-07-22",161739,69,0.32,0.651,0.819,0,0.345,-4.695,0.175,92.003,4,0,161739,0.513,4,"6K8MYTkn5mZzF6p14hV5cj","italian hip hop",NA,NA,NA,NA,NA
"5 Gocce (feat. Rkomi)","Irama","Il giorno in cui ho smesso di pensare","2022-02-25",160000,68,0.279,0.742,0.808,9.85e-06,0.325,-5.206,0.059,74.992,4,1,160000,0.846,4,"3z0GeNGWyVduziP1cQ0mFN","italian adult pop","italian pop",NA,NA,NA,NA
"Come La Prima Volta","Aka 7even","Come La Prima Volta","2022-05-06",145000,43,0.036,0.659,0.905,0,0.117,-5.166,0.096,156.124,10,0,145000,0.677,4,"7BnEEhpMdhxhfEIWTfGYiw","italian adult pop","italian pop",NA,NA,NA,NA
"Roland Garros","LOREN","LOREN","2018-12-14",194374,9,0.166,0.482,0.929,0,0.119,-2.146,0.147,145.077,9,1,194374,0.289,4,"1W7mvhVetYTMZNAG5ijQnU","firenze indie",NA,NA,NA,NA,NA
"E Fumo Ancora - Acoustic Version","Mostro","Ogni maledetto giorno (Inferno Edition)","2018-05-11",233857,58,0.834,0.485,0.564,0,0.0956,-10.308,0.438,183.519,0,0,233857,0.282,4,"13pPMF0wN7r19IU8vV2igc","italian hip hop","italian pop",NA,NA,NA,NA
"E' Delicato","Zucchero","Fly","2006-01-01",212533,58,0.715,0.55,0.555,0,0.1,-3.304,0.0286,116.056,4,1,212533,0.222,4,"29Isr48iL8SRHeSpRjFfgx","italian adult pop","italian pop rock",NA,NA,NA,NA
"!ly (feat. Coez)","thasup","c@ra++ere s?ec!@le","2022-09-30",206494,63,0.247,0.764,0.725,0,0.122,-5.262,0.0513,126.565,7,1,206494,0.676,4,"60r5kXIqq9d89Y6SsNQC6o","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Sophia","LOREN","LOREN","2018-12-14",195848,4,0.00871,0.593,0.9,1.99e-06,0.614,-3.209,0.053,108.954,9,1,195848,0.539,4,"2ej4VdJpdWn6m4CGC7RdFz","firenze indie",NA,NA,NA,NA,NA
"TACHIPIRINA","Jellish","TACHIPIRINA","2022-02-18",148747,18,0.102,0.657,0.693,0,0.12,-6.991,0.0523,75.039,3,1,148747,0.605,4,"1qI8vFMMvWDJPSHCxuZedW",NA,NA,NA,NA,NA,NA
"exile (feat. Bon Iver)","Taylor Swift","folklore","2020-07-24",285634,83,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,6,1,285634,0.152,4,"4pvb0WLRcMtbPGmtejJJ6y","pop",NA,NA,NA,NA,NA
"Ghostkeeper","Klangkarussell","Ghostkeeper","2020-02-21",331381,63,0.172,0.691,0.545,0.78,0.106,-6.647,0.035,105.976,6,1,331381,0.514,4,"0qHD5pzpp1zSPa5Ud74WDC","austrian pop","deep euro house",NA,NA,NA,NA
