"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Look What You Made Me Do","Taylor Swift","reputation","2017-11-10",211853,87,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,9,0,211853,0.506,4,"1P17dC1amhFzptugyAO7Il","pop",NA,NA,NA,NA,NA
"The Man","Taylor Swift","Lover","2019-08-23",190360,87,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0,1,190360,0.633,4,"3RauEVgRgj1IuWdJ9fDs70","pop",NA,NA,NA,NA,NA
"Heat Waves","Glass Animals","Dreamland","2020-08-07",238805,91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"SloMo","Chanel","SloMo","2021-12-24",176285,61,0.125,0.728,0.814,0.00448,0.0927,-3.29,0.0571,104.962,1,0,176285,0.594,4,"3XREkzDHsWdBL5tybyCDBH",NA,NA,NA,NA,NA,NA
"You Need To Calm Down","Taylor Swift","Lover","2019-08-23",171360,84,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,2,1,171360,0.714,4,"6RRNNciQGZEXnqk8SQ9yv5","pop",NA,NA,NA,NA,NA
"abcdefu","GAYLE","abcdefu","2021-08-13",168601,82,0.299,0.695,0.54,0,0.367,-5.692,0.0493,121.932,4,1,168601,0.415,4,"4fouWK6XVHhzl78KzQ1UjL","modern alternative pop",NA,NA,NA,NA,NA
"I Don't Wanna Talk (I Just Wanna Dance)","Glass Animals","Dreamland (+ Bonus Levels)","2021-09-09",195190,65,0.0156,0.703,0.624,5.53e-05,0.299,-6.228,0.0364,131.966,7,1,195190,0.808,4,"6IbCvfmmICEEAyDwQ9zcbt","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"10 Things I Hate About You","Leah Kate","Alive and Unwell","2022-10-28",157138,68,0.00991,0.544,0.786,0,0.169,-2.97,0.0501,153.967,8,1,157138,0.446,4,"7I4XALvCb2VEmOCtGUe5uY","alt z",NA,NA,NA,NA,NA
"Paper Rings","Taylor Swift","Lover","2019-08-23",222400,86,0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,9,1,222400,0.865,4,"4y5bvROuBDPr5fuwXbIBZR","pop",NA,NA,NA,NA,NA
"DESPECHÁ","ROSALÍA","DESPECHÁ","2022-07-28",157017,81,0.184,0.919,0.623,1.63e-05,0.0609,-6.521,0.0992,130.037,7,1,157017,0.775,4,"5ildQOEKmJuWGl2vRkFdYc","latin viral pop","pop","r&b en espanol",NA,NA,NA
"Tangerine","Glass Animals","Dreamland","2020-08-07",200583,66,0.114,0.845,0.583,0.000536,0.1,-5.948,0.0773,149.941,9,0,200583,0.842,4,"40rOlDoGejXXF4B0BYsjx8","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA
"Numb Little Bug","Em Beihold","Numb Little Bug","2022-01-28",169237,77,0.327,0.742,0.527,0,0.25,-6.892,0.0769,84.974,8,0,169237,0.638,4,"3o9kpgkIcffx0iSwxhuNI2","alt z","gen z singer-songwriter",NA,NA,NA,NA
"I Think He Knows","Taylor Swift","Lover","2019-08-23",173386,79,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0,1,173386,0.416,4,"2YWtcWi3a83pdEg3Gif4Pd","pop",NA,NA,NA,NA,NA
"I am not a woman, I'm a god","Halsey","If I Can’t Have Love, I Want Power","2021-08-27",176413,59,0.00397,0.523,0.702,0.0325,0.063,-6.74,0.0462,179.992,6,0,176413,0.494,4,"5RhFmJifQe83FpQ6ZFFTZ5","electropop","etherpop","indie poptimism","pop",NA,NA
"jealousy, jealousy","Olivia Rodrigo","SOUR","2021-05-21",173160,85,0.198,0.695,0.575,0,0.0614,-6.334,0.116,163.929,10,0,173160,0.699,4,"0MMyJUC3WNnFS1lit5pTjk","pop",NA,NA,NA,NA,NA
