"track.name","artists","track.album.name","track.album.release_date","track.duration_ms","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Blueface (feat. Izi, Tedua)","Disme","Glory Days EP","2021-10-29",222968,59,0.148,0.483,0.819,0,0.224,-4.404,0.0783,93.331,8,0,222968,0.528,3,"2Ctj9DfXfh9kW3erTp907i","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"TEMPORALE (feat. Ketama126, Izi & Luche)","Sick Luke","X2","2022-01-07",196046,48,0.279,0.639,0.86,0,0.166,-3.833,0.0357,151.927,0,0,196046,0.334,4,"7JU00ScKFiTaZLFU2Nj6gc","italian hip hop","trap italiana",NA,NA,NA,NA
"Wild Bandana (feat. Tedua & Vaz Tè)","Izi","Pizzicato","2017-05-05",309306,56,0.117,0.738,0.817,0,0.0625,-6.284,0.232,122.055,1,0,309306,0.612,4,"4I0zrlR1lT6aHYiu79MzWy","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"Svuotatasche","Bresh","ORO BLU","2022-03-04",231602,59,0.369,0.489,0.367,0,0.198,-10.254,0.0878,131.302,0,1,231602,0.524,4,"6I28wnb48iMVVfyTSf4lkx","italian hip hop","italian pop","rap genovese",NA,NA,NA
"L'ultima volta - feat. Massimo Pericolo","Emis Killa","17","2020-09-18",210960,58,0.287,0.569,0.801,0,0.105,-4.318,0.259,89.758,2,1,210960,0.24,4,"3rOw9WmYFCRLHTRcbOjhUl","italian hip hop","italian pop",NA,NA,NA,NA
"IL GIORNO PIÙ TRISTE DEL MONDO (feat. Ariete & Mecna)","Sick Luke","X2","2022-01-07",191495,49,0.348,0.72,0.736,1.31e-06,0.216,-4.646,0.157,144.058,5,1,191495,0.463,4,"4YyShs1DikZWBV6AS3n2We","italian hip hop","trap italiana",NA,NA,NA,NA
"Cosa Non Va","Disme","Malverde","2020-12-11",166000,56,0.0931,0.766,0.388,0,0.109,-9.102,0.41,144.486,7,1,166000,0.332,4,"6KUwArIH35jzp51AjQDnDo","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"Angelina Jolie","Bresh","Angelina Jolie","2021-03-12",169671,61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,4,0,169671,0.644,4,"0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA,NA
"Sesso e droga (feat. Guè & Gemitaiz)","Coez","Volare","2022-05-18",211966,49,0.117,0.683,0.784,0,0.0666,-6.309,0.0572,109.959,5,1,211966,0.27,4,"4V1QaXYouVq2EkkjGDRX2N","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"DIO NON É SORDO ལྷ (con IZI, JACK THE SMOKER & JAKE LA FURIA)","MACE","OBE","2021-02-04",211652,46,0.721,0.709,0.736,0,0.134,-6.162,0.245,127.006,4,0,211652,0.499,4,"7BN8PtxIEZLI1DSH6YzVSJ","funk carioca","italian hip hop","italian pop",NA,NA,NA
"Dare Gas (Veloce)","Quentin40","Dare Gas (Veloce)","2020-11-12",131677,42,0.317,0.748,0.609,0,0.129,-6.357,0.0467,74.531,6,1,131677,0.36,4,"3BPXy72b2d6lBHFOHHf9l6","italian hip hop","trap italiana",NA,NA,NA,NA
"La Presa B e La Presa Male (feat. Francesca Michielin)","Bresh","ORO BLU","2022-03-04",195452,47,0.362,0.699,0.473,0,0.11,-8.033,0.0772,86.502,5,1,195452,0.0983,4,"16TaDfuh9aueJJY96mFdXw","italian hip hop","italian pop","rap genovese",NA,NA,NA
"Occhi rossi","Coez","Volare","2022-05-18",177310,64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,11,1,177310,0.353,4,"5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)","MACE","OBE","2021-02-04",208853,59,0.498,0.692,0.711,0,0.233,-6.272,0.102,139.985,7,1,208853,0.718,4,"70im6fWHD1m7VQve5I6Yim","funk carioca","italian hip hop","italian pop",NA,NA,NA
