"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"Il Meno Possibile (feat. Gazzelle)","Marco Mengoni","MATERIA (TERRA)","2021-12-03",59,0.295,0.572,0.462,0,0.114,-8.289,0.0464,110.059,5,1,179584,0.184,4,"40O0wgOTqcMr4UEDkbmBBz","italian adult pop","italian pop",NA,NA,NA
"Cerchi con il fumo (feat. Neffa)","Coez","Volare","2022-05-18",39,0.492,0.661,0.476,0,0.166,-6.869,0.0835,80.001,9,1,174737,0.4,3,"42jDgJsQxt3oCawzN9fH5c","italian adult pop","italian pop","rap napoletano","rome indie",NA
"SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE","2022-02-03",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,0,1,195923,0.659,4,"0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA
"Fuoriprogramma","Franco126","Fuoriprogramma","2021-12-13",31,0.151,0.659,0.563,0,0.0624,-8.052,0.139,151.728,5,0,180394,0.848,4,"28Pp5tU8Oc2LHx4hL3SiUk","italian hip hop","italian pop","rome indie",NA,NA
"Mr. Jones","Counting Crows","August And Everything After","1993-01-01",81,0.183,0.578,0.817,3.06e-06,0.285,-6.542,0.0363,141.621,0,1,272293,0.726,4,"5DiXcVovI0FcY2s0icWWUu","neo mellow","pop rock","post-grunge","rock",NA
"La storia infinita","Pinguini Tattici Nucleari","AHIA!","2020-12-04",64,0.169,0.701,0.744,0,0.115,-3.421,0.0411,89.986,4,1,207802,0.651,4,"2r1SRt8bhtR6a9bMRR0AgV","bergamo indie","italian indie pop","italian pop","milan indie",NA
"Dimmi Che Mi Ami, Che Mi Ami, Che Tu Ami Solo Me","Nada","Le Piu' Belle Canzoni Di Nada","1998-01-01",32,0.522,0.803,0.702,0,0.314,-9.358,0.0398,115.526,7,1,187666,0.85,4,"1AOqMNQksT10eyRudvh4ne","classic italian pop",NA,NA,NA,NA
"Il Mestiere Della Vita","Tiziano Ferro","Il Mestiere Della Vita","2016-12-02",44,0.113,0.377,0.8,0,0.111,-4.973,0.0998,88.269,0,1,198226,0.276,3,"5zrpHRrDQXHd9aZIcEvQHQ","italian adult pop","italian pop",NA,NA,NA
"Substance","03 Greedo","The Wolf of Grape Street","2018-03-09",74,0.26,0.599,0.32,0,0.106,-13.716,0.0787,70.998,3,0,219834,0.197,4,"0MoQI1EZGSHLhd5UBdxPol","cali rap","melodic rap",NA,NA,NA
"Logico #1","Cesare Cremonini","Logico","2014-01-01",61,0.015,0.37,0.723,3.56e-05,0.13,-6.11,0.0298,159.904,0,0,282606,0.189,4,"4M6eMu2CMR9MxO2c3MQgaI","italian adult pop","italian pop",NA,NA,NA
