"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"Amore (feat. Greg Willen)","Bresh","ORO BLU","2022-03-04",49,0.0271,0.637,0.66,0,0.0881,-8.357,0.0473,126.124,10,1,165825,0.347,4,"4gKkcGeCIH2JSfcJ07iJ0P","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"Shakerando","Rhove","Shakerando","2021-12-15",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,7,0,195555,0.469,4,"4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"Angelina Jolie","Bresh","Angelina Jolie","2021-03-12",61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,4,0,169671,0.644,4,"0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Pistole Nella Fendi","Niko Pandetta","Pistole Nella Fendi","2022-01-14",52,0.15,0.764,0.676,0,0.129,-6.695,0.0363,128.005,5,1,174374,0.516,4,"7qH7oKXDHZf61BExUpTVgL","neomelodici",NA,NA,NA,NA,NA,NA
"Just A Little While","The 502s","Just A Little While","2021-07-30",61,0.0897,0.636,0.788,0,0.286,-9.177,0.0432,125,5,0,162608,0.701,4,"4o8w2detJfT45mdxIJ6hVb",NA,NA,NA,NA,NA,NA,NA
"Is This Love","Margherita Vicario","Is This Love","2020-04-21",33,0.0752,0.694,0.548,3.46e-05,0.0578,-5.974,0.0848,121.973,6,0,195000,0.393,4,"125DDjXVu0YJ6iFYAKBpU8","italian alternative","italian indie pop","italian pop","rome indie",NA,NA,NA
"Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022-03-04",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,8,1,171437,0.705,4,"4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Don't Matter","Derik Fein","Vertigo","2022-08-26",47,0.406,0.706,0.544,0,0.165,-8.062,0.0502,98.892,1,0,200446,0.567,4,"5K2YU3ENuytMsx9bfJOFrw",NA,NA,NA,NA,NA,NA,NA
"NUOVO RANGE (con SFERA EBBASTA)","Rkomi","TAXI DRIVER","2021-11-30",69,0.233,0.68,0.76,0,0.13,-4.866,0.0556,82.54,1,0,176772,0.709,4,"5YSR0sWUZk7NuIbkycxndu","italian hip hop","italian pop",NA,NA,NA,NA,NA
"Blanc Orange (Nanana)","Rhove","Blanc Orange (Nanana)","2020-12-10",48,0.14,0.804,0.673,0,0.295,-5.762,0.0497,135.966,4,0,135882,0.646,4,"477eOHpLpnOJyREyNP3dHG","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"Il meglio di te","Bresh","Il meglio di te","2022-07-22",53,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,4,0,157013,0.552,4,"2eTXrwuncNqUOAxw2YJ8lv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
