"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13","genre_14"
"Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","1987-07-21",16,0.0866,0.454,0.91,0.0996,0.116,-7.766,0.0448,125.116,6,1,354520,0.629,4,"7o2CTH4ctstm8TNelqjb51","glam metal","hard rock","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hotel California - 2013 Remaster","Eagles","Hotel California (2013 Remaster)","1976-12-08",86,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125,2,1,391376,0.609,4,"40riOy7x9W7GXjyGp4pjAv","album rock","classic rock","heartland rock","mellow gold","rock","soft rock","yacht rock",NA,NA,NA,NA,NA,NA,NA
"Lontano Dal Tuo Sole","Neffa","Sognando Contromano","2009-06-22",0,0.0967,0.54,0.837,0,0.223,-4.871,0.0483,91.002,4,0,220506,0.828,4,"5KHVl8m4ECBouopqWarPn1","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Descrizione Di Un Attimo","Tiromancino","La Descrizione Di Un Attimo","2000-01-01",57,0.579,0.647,0.516,0.000209,0.167,-13.085,0.0353,104.439,10,1,269600,0.62,4,"1A4N8laeRTrrzmSJZdOoJL","classic italian pop","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mi Fido Di Te","Jovanotti","Buon Sangue","2005-05-13",59,0.508,0.631,0.547,6.39e-06,0.144,-8.495,0.0397,88.984,0,1,271320,0.473,4,"46KXIKdv0ja37KZ3RIcqu0","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The World Ain't Ready For Me","Noyz Narcos & Fritz Da Cat","Localz Only","2015-06-01",46,0.0225,0.784,0.816,1.8e-06,0.313,-6.212,0.296,82.009,9,1,208292,0.439,4,"6mfgNS4UegxRTeZzY0wXij","italian hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fuori Dalla Città","Mecna","Neverland","2019-10-10",46,0.61,0.634,0.513,0,0.0881,-10.254,0.192,95.116,2,1,268105,0.289,4,"0StxpuoKBB6kq8VzDuUABL","italian hip hop","r&b italiano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Straight Outta Compton","N.W.A.","Straight Outta Compton","1988-08-08",74,0.0461,0.834,0.878,0,0.334,-9.484,0.15,102.848,8,1,258687,0.418,4,"6KIKRz9eSTXdNsGUnomdtW","conscious hip hop","gangster rap","golden age hip hop","hip hop","old school hip hop","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA
"Come mai","883","Nord Sud Ovest Est","1993",63,0.69,0.565,0.651,0,0.0962,-6.369,0.0259,146.833,5,1,257920,0.531,4,"0gkV0FyCdrJqwyrFW7NsEQ","italian adult pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Money For Nothing - Remastered 1996","Dire Straits","Brothers In Arms (Remastered 1996)","1985-05-13",70,0.0456,0.674,0.649,0.000766,0.0644,-9.321,0.0356,134.212,2,0,505333,0.645,4,"4nFNJmjfgBF7jwv2oBC45b","album rock","classic rock","mellow gold","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brivido","Guè","Bravo Ragazzo (Royal Edition)","2013-01-01",69,0.237,0.628,0.69,0,0.0899,-6.273,0.338,82.285,7,0,227693,0.431,4,"7fH13hSOyNoeiDGbjEnTUC","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"For What It's Worth","Buffalo Springfield","Buffalo Springfield","1966-12-05",82,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,98.883,2,1,153693,0.822,4,"1qRA5BS78u3gME0loMl9AA","album rock","blues rock","british blues","classic rock","country rock","folk","folk rock","heartland rock","mellow gold","psychedelic rock","rock","roots rock","soft rock","southern rock"
"Aspettando Il Sole","Neffa","Neffa E I Messaggeri Della Dopa","1996-01-01",50,0.162,0.702,0.395,0.0375,0.137,-9.596,0.0464,88.969,1,0,312000,0.646,4,"0HgSaG6pYR3Nlt45GQyrKp","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Un mestiere qualunque","Cor Veleno","Heavy Metal","2004",35,0.22,0.681,0.778,0,0.0735,-5.333,0.137,84.939,9,0,236573,0.639,4,"68OwzL0UGfgIKTpn0p1azy","italian hip hop","italian underground hip hop","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"QUALCOSA IN CUI CREDERE - Lo scheletro (feat. Guè)","Marracash","Persona","2020-03-27",56,0.232,0.646,0.874,0,0.177,-4.313,0.22,79.588,9,1,212316,0.319,4,"1t6xoDooMgAqlYDOLTrsxj","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolo By Night","DJ Shocca","60 Hz","2004-10-13",42,0.206,0.848,0.766,0.000397,0.156,-6.629,0.174,90.016,9,0,233786,0.801,4,"44HlIYtlj3BL5IH5zbNA6t","rap italiano old school",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wicked Game","Chris Isaak","Heart Shaped World","1989-06-13",81,0.68,0.663,0.296,0.00837,0.0879,-18.09,0.0294,112.306,9,1,289066,0.359,4,"7w5AOd6HrDIHewHfpABEss","mellow gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
