"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Take Me Out","Franz Ferdinand","Franz Ferdinand","2004-02-16",82,0.000409,0.277,0.663,0.00051,0.136,-8.821,0.0377,104.561,4,0,237026,0.527,4,"20I8RduZC2PWMWTDCZuuAN","alternative rock","dance rock","indie rock","modern rock","rock","scottish rock",NA,NA,NA,NA
"As It Was","Harry Styles","Harry's House","2022-05-20",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,6,0,167303,0.662,4,"4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bam Bam (feat. Ed Sheeran)","Camila Cabello","Familia","2022-04-08",65,0.182,0.756,0.697,0,0.333,-6.377,0.0401,94.996,8,1,206070,0.956,4,"3lDSWvR0FXWGXo7mhDUs3v","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,NA
"About Damn Time","Lizzo","About Damn Time","2022-04-14",78,0.0995,0.836,0.743,0,0.335,-6.305,0.0656,108.966,10,0,191822,0.722,4,"1PckUlxKqWQs3RlWXVBLw3","escape room","minnesota hip hop","pop","trap queen",NA,NA,NA,NA,NA,NA
"Last Nite","The Strokes","Is This It","2001-07-30",77,0.0285,0.624,0.91,0.000198,0.0789,-5.703,0.0297,104.042,0,1,193506,0.767,4,"7kzKAuUzOITUauHAhoMoxA","alternative rock","garage rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"Hate To Say I Told You So","The Hives","Veni Vidi Vicious","2000-09-12",70,0.00126,0.459,0.931,0.00881,0.412,-5.024,0.0612,135.826,5,1,200693,0.419,4,"20j7B6mL9gnNvG3ic6Vwh5","alternative rock","garage rock","garage rock revival","modern rock","rock","swedish garage rock","swedish hard rock","swedish indie rock",NA,NA
"I Ain't Worried","OneRepublic","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","2022-05-13",91,0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,139.994,0,1,148485,0.825,4,"4h9wh7iOZ0GGn8QVp4RAOB","piano rock","pop",NA,NA,NA,NA,NA,NA,NA,NA
"Seven Nation Army","The White Stripes","Elephant","2003-04-01",87,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,123.596,4,0,232106,0.278,4,"3dPQuX8Gs42Y7b454ybpMR","alternative rock","blues rock","detroit rock","garage rock","modern blues rock","permanent wave","punk blues","rock",NA,NA
"Are You Gonna Be My Girl","Jet","Get Born","2003-09-15",78,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,105.046,2,1,213800,0.537,4,"305WCRhhS10XUcH6AEwZk6","garage rock","modern rock","pop rock",NA,NA,NA,NA,NA,NA,NA
"Where Are You Now","Lost Frequencies","Where Are You Now","2021-07-30",86,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,6,0,148197,0.262,4,"3uUuGVFu1V7jTQL60S1r8z","belgian edm","edm","pop dance","tropical house",NA,NA,NA,NA,NA,NA
"Shivers","Ed Sheeran","=","2021-10-29",87,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,2,1,207853,0.822,4,"50nfwKoDiSYg8zOCREWAm5","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA,NA
"abcdefu","GAYLE","abcdefu","2021-08-13",82,0.299,0.695,0.54,0,0.367,-5.692,0.0493,121.932,4,1,168601,0.415,4,"4fouWK6XVHhzl78KzQ1UjL","modern alternative pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chelsea Dagger","The Fratellis","Costello Music","2006-01-01",71,0.0491,0.511,0.815,0,0.0826,-3.14,0.144,154.514,7,1,215306,0.586,4,"1bCmvezFg5MRcENzCGG1Cy","garage rock","modern rock","scottish rock",NA,NA,NA,NA,NA,NA,NA
"Bohemian Like You","The Dandy Warhols","Thirteen Tales From Urban Bohemia","2000-01-01",68,0.00318,0.583,0.932,0.769,0.133,-6.158,0.0344,131.289,11,0,211706,0.695,4,"3APHT3KjbHi9OllkVQsuXF","alternative rock","dance-punk",NA,NA,NA,NA,NA,NA,NA,NA
"Golden Touch - Full Length","Razorlight","Up All Night","2004",63,0.0956,0.606,0.532,1.27e-05,0.276,-4.173,0.0248,95.315,1,0,205213,0.695,4,"13bEwk7dTy0RdOAY3ZNNBD","britpop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Bucket","Kings of Leon","Aha Shake Heartbreak","2005-02-22",59,0.0789,0.494,0.637,2.77e-05,0.215,-6.004,0.0336,140.034,0,1,175546,0.175,4,"5LZSXhywLD0CXBPQs3ULoL","modern rock","rock",NA,NA,NA,NA,NA,NA,NA,NA
"House On Fire","Mimi Webb","House On Fire","2022-02-18",65,0.0245,0.61,0.747,0,0.106,-4.543,0.109,150.088,2,1,140803,0.439,4,"2iHsdUnmKGIuc9oRE3DfgJ","alt z","gen z singer-songwriter","uk pop",NA,NA,NA,NA,NA,NA,NA
"Good Ones","Charli XCX","Good Ones","2021-09-02",57,0.072,0.764,0.672,3.32e-06,0.0806,-5.947,0.0293,129.049,7,0,136614,0.789,4,"6PZpNMstpIiRenGK5UyG5D","art pop","candy pop","metropopolis","pop","uk pop",NA,NA,NA,NA,NA
"Mr. Brightside","The Killers","Hot Fuss","2004",88,0.00121,0.352,0.911,0,0.0995,-5.23,0.0747,148.033,1,1,222973,0.236,4,"003vvx7Niy0yvhvHt4a68B","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA,NA,NA
"The Funeral","Band of Horses","Everything All The Time","2006-03-21",74,0.016,0.319,0.757,0,0.102,-6.117,0.0432,122.465,0,0,322173,0.101,4,"5lRzWDEe7UuedU2QPsFg0K","chamber pop","indie folk","indie rock","indietronica","modern rock","stomp and holler",NA,NA,NA,NA
