"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"Ruta Melancolía - 2021 Remastered","Verde 70","Exitoína (Remastered)","2022-01-14",20,0.0265,0.798,0.606,1.38e-06,0.111,-8.809,0.0347,124.081,9,0,306000,0.615,4,"2NP7PiBZTcHzKq0xyCjkY1","ecuadorian alternative rock",NA,NA,NA,NA,NA,NA,NA
"Wet Sand","Red Hot Chili Peppers","Stadium Arcadium","2006-05-09",68,0.0313,0.313,0.753,2.25e-06,0.142,-3.921,0.0285,176.748,4,0,309800,0.514,4,"3L2Nyi3T7XabH8EEZFLDdX","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"The Heart of Life","John Mayer","Continuum","2006-09-11",68,0.958,0.495,0.238,0.0118,0.0875,-11.026,0.03,175.958,1,1,198200,0.357,4,"78DwRIo6Vj6wqteyerGetr","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
"La Mitad","Camilo","Por Primera Vez","2020-04-17",77,0.73,0.724,0.443,0,0.101,-3.743,0.0329,97.194,7,1,177791,0.763,4,"63Zaf8Rci6eOUPqDQ4fUFx","colombian pop","latin pop","latin viral pop","reggaeton colombiano",NA,NA,NA,NA
"La Extraña Pareja","Ismael Serrano","Atrapados En Azul","1997-01-01",34,0.791,0.362,0.547,0,0.228,-10.498,0.0562,72.898,6,0,309973,0.774,3,"4NsPHdliVifQi6eWrVJ1Rw","cantautor","nueva cancion","trova",NA,NA,NA,NA,NA
"Black Summer","Red Hot Chili Peppers","Black Summer","2022-02-04",67,0.0267,0.417,0.682,0.000669,0.109,-5.071,0.0295,105.542,1,1,232412,0.351,4,"3a94TbZOxhkI9xuNwYL53b","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"You're Gonna Live Forever in Me","John Mayer","The Search for Everything","2017-04-14",75,0.983,0.542,0.131,0.00544,0.156,-14.104,0.0316,136.161,7,1,190013,0.319,4,"51lPx6ZCSalL2kvSrDUyJc","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
"Ya No Somos Ni Seremos","Christian Nodal","Ya No Somos Ni Seremos","2022-02-18",81,0.437,0.588,0.452,0,0.344,-4.75,0.0268,139.953,7,1,185722,0.734,4,"0UXlu64mDLvfzR8IXMz06J","mariachi","musica mexicana","ranchera",NA,NA,NA,NA,NA
"Del río","Ed Maverick","mix pa llorar en tu cuarto","2018-03-02",70,0.913,0.857,0.266,0.0483,0.11,-13.914,0.0442,96.962,7,0,250653,0.264,4,"2G3ud9WTxl6uYRG75X6Ib0","chihuahua indie","indie triste","mexican indie",NA,NA,NA,NA,NA
"La Playa","La Oreja de Van Gogh","El Viaje de Copperpot","2000-09-07",77,0.175,0.589,0.552,0,0.106,-5.707,0.0268,88.535,9,1,247693,0.311,4,"2DNyZP4Py6f4zMASLBnIu6","latin arena pop","latin pop","mexican pop","spanish pop","spanish pop rock",NA,NA,NA
"Slow Dancing in a Burning Room","John Mayer","Continuum","2006-09-11",77,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,134.018,1,0,242000,0.29,5,"2jdAk8ATWIL3dwT47XpRfu","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
"COMO UN G","ROSALÍA","MOTOMAMI","2022-03-18",63,0.962,0.496,0.13,8.15e-06,0.211,-14.396,0.0415,133.07,7,0,262200,0.22,4,"7MDfNYdpdohHjmFsYK44KU","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA
"Te Lloré Un Río","Maná","Te Lloré Un Río","2022-02-25",72,0.278,0.84,0.638,0.000146,0.173,-7.003,0.0324,118.005,1,0,230811,0.807,4,"6uYtv0KmSNBGFfaY7yW8tY","latin arena pop","latin pop","latin rock","mexican pop","mexican rock","rock en espanol",NA,NA
"Vámonos a Marte","Kevin Kaarl","Hasta el Fin Del Mundo","2019-02-28",78,0.985,0.675,0.16,0.00688,0.164,-11.667,0.0586,69.754,0,1,179094,0.247,4,"2TzkIzgzIHhewMxyh1u4hh","indie triste",NA,NA,NA,NA,NA,NA,NA
"Gravity","John Mayer","Continuum","2006-09-11",74,0.731,0.753,0.326,0.00131,0.24,-9.883,0.0342,123.799,7,1,245826,0.237,3,"3SktMqZmo3M9zbB7oKMIF7","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
"Que Distintos Tú Y Yo","Verde 70","Ruta Melancolía","2003-02-01",39,0.0536,0.766,0.726,4.25e-06,0.215,-8.516,0.0284,106.06,5,1,249426,0.844,4,"4CXOY2CN4Ngm46j7pxh2ps","ecuadorian alternative rock",NA,NA,NA,NA,NA,NA,NA
"Guitarreada","Sergio Sacoto","En la Oscuridad","2016-05-12",25,0.797,0.445,0.504,0,0.977,-7.858,0.0908,108.547,9,1,351033,0.49,4,"3doNTsZlJ4h1SyzlF5Eod8","ecuadorian indie","ecuadorian pop",NA,NA,NA,NA,NA,NA
"11 Y 6","Fito Paez","Giros","1985-01-01",72,0.0756,0.72,0.325,0,0.308,-16.922,0.0319,101.3,7,1,178266,0.318,4,"2PkTjm1QAJCZbJ9MqC4RqA","argentine rock","latin alternative","latin rock","rock en espanol",NA,NA,NA,NA
"Acurrucar","Ed Maverick","mix pa llorar en tu cuarto","2018-03-02",73,0.944,0.809,0.216,0.00799,0.0894,-12.103,0.0353,99.1,8,1,234080,0.236,4,"1xYBeQ5u8uaJ3oBWktjGyJ","chihuahua indie","indie triste","mexican indie",NA,NA,NA,NA,NA
"Un Millón Como Tú","Lasso","Un Millón Como Tú","2019-02-01",66,0.492,0.435,0.745,0,0.08,-4.613,0.0431,179.988,0,1,275026,0.552,3,"619zlIsV7csW2h2narAoPC","pop venezolano",NA,NA,NA,NA,NA,NA,NA
"Invencibles","Els Catarres","Postals","2013-03-21",46,0.0221,0.802,0.679,0,0.0853,-8.738,0.0649,109.975,7,1,183385,0.889,4,"1w7oNQFyiwexkUohLCDyu9","rock catala",NA,NA,NA,NA,NA,NA,NA
"Al Final","Los Kjarkas","37 Años","2008-02-05",4,0.756,0.546,0.565,2.98e-06,0.26,-13.54,0.0721,82.521,1,1,243050,0.658,4,"2u64uhnNeTsRQQJ6BTHDT8","charango","folklore boliviano","musica andina","tinku",NA,NA,NA,NA
"Me haces bien","Jorge Drexler","Sea","2001-01-01",63,0.327,0.404,0.607,0.03,0.155,-10.381,0.0451,149.604,9,1,184546,0.576,3,"4UKe38tm5NkRpuFCxwewEe","cantautor","latin afrobeat","latin alternative","latin rock","nueva cancion","trova",NA,NA
"Ojos Marrones","Lasso","Ojos Marrones","2022-06-03",75,0.0407,0.809,0.649,0,0.145,-4.433,0.0416,120.014,8,0,198520,0.72,4,"7gwT3HGL84vF7bgtwL1N88","pop venezolano",NA,NA,NA,NA,NA,NA,NA
"No Podras","Cristian Castro","Agua Nueva","1992-06-30",73,0.0198,0.694,0.739,0.00238,0.18,-9.042,0.0265,117.705,10,1,240480,0.862,4,"6ZIwZmQ2ph6QK13sItmDEx","latin arena pop","latin pop",NA,NA,NA,NA,NA,NA
"Óleo de Mujer Con Sombrero","Silvio Rodríguez","Al Final de Este Viaje...","1978-01-01",64,0.895,0.571,0.134,0,0.111,-14.65,0.0704,141.231,0,1,144632,0.459,4,"1w6mcMacExya7bvbElMuar","cantautor","latin alternative","nueva cancion","trova",NA,NA,NA,NA
"Uno Vuelve","Sergio Sacoto","Uno Vuelve","2019-04-06",37,0.609,0.564,0.632,0,0.132,-6.574,0.049,75.25,5,1,213609,0.412,4,"421kwXlBVLv0tx9crvu6oZ","ecuadorian indie","ecuadorian pop",NA,NA,NA,NA,NA,NA
"Instant Crush (feat. Julian Casablancas)","Daft Punk","Random Access Memories","2013-05-20",78,0.0422,0.775,0.585,0.619,0.077,-9.516,0.0271,109.942,10,0,337560,0.518,4,"2cGxRwrMyEAp8dEbuZaVv6","electro","filter house","rock",NA,NA,NA,NA,NA
"I Just Called To Say I Love You","Stevie Wonder","At The Close Of A Century","1999-11-23",78,0.243,0.748,0.551,1.57e-06,0.0943,-9.054,0.0239,113.535,1,1,262240,0.65,4,"6RNDeRnWsRMjPdNVgupZCs","motown","soul",NA,NA,NA,NA,NA,NA
"Antonia","Gondwana","Alabanza","2000",63,0.299,0.767,0.63,0.00269,0.0481,-8.238,0.039,95.521,0,1,246493,0.944,4,"51LZ2XHdETvNLQ6SKqTjWF","latin alternative","latin rock","reggae en espanol","rock en espanol",NA,NA,NA,NA
"Leyes del Corazón","Sergio Sacoto","En la Oscuridad","2016-05-12",33,0.596,0.596,0.585,0,0.0931,-7.32,0.0363,140.242,4,1,196571,0.452,4,"0pxaEoBuvrOxtlmJ0YC4sH","ecuadorian indie","ecuadorian pop",NA,NA,NA,NA,NA,NA
"Dani California","Red Hot Chili Peppers","Stadium Arcadium","2006-05-09",80,0.0193,0.556,0.913,8.59e-06,0.346,-2.36,0.0437,96.184,0,1,282160,0.73,4,"10Nmj3JCNoMeBQ87uw5j8k","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA
"Un Pacto - Live In Buenos Aires / 2001","Bersuit Vergarabat","De La Cabeza Con Bersuit Vergarabat (Live In Buenos Aires / 2001)","2002-01-01",64,0.421,0.364,0.55,3.89e-06,0.961,-7.179,0.0329,73.398,7,1,295160,0.206,4,"1lcwoylQLJUtl2pNNdZQ7p","argentine rock","latin alternative","latin rock","ska argentino",NA,NA,NA,NA
"Antologia","Shakira","Pies Descalzos","1995-10-06",79,0.5,0.839,0.403,1.81e-06,0.0786,-11.059,0.0308,97.967,0,1,254240,0.575,4,"0KAqMRUSZwzG3dZLdDA4eH","colombian pop","dance pop","latin pop","pop",NA,NA,NA,NA
"Desesperado","Andrés Cepeda","Mil Ciudades","2015-09-04",55,0.554,0.433,0.446,0,0.122,-7.71,0.0315,110.953,7,1,199293,0.212,5,"2lRzcVCnWqYwttNNfbPHW0","colombian pop",NA,NA,NA,NA,NA,NA,NA
"Adiós Amor","Christian Nodal","Me Dejé Llevar","2017-08-25",78,0.169,0.433,0.431,0,0.307,-6.422,0.0367,177.732,2,1,199320,0.722,4,"63bmZnBN1CiJ9sA4qTEe8y","mariachi","musica mexicana","ranchera",NA,NA,NA,NA,NA
"LN Granada","Supersubmarina","Electroviral","2010-02-23",58,0.00511,0.554,0.919,0.000497,0.519,-3.615,0.0515,140.009,9,1,191746,0.386,1,"0eTNLIPzgURsXMdgX4cdpJ","cantautor","spanish indie pop","spanish modern rock",NA,NA,NA,NA,NA
"El Aguajal (En Vivo)","Sergio Sacoto","Sergio Sacoto Teatro Sucre (En Vivo)","2010-07-01",30,0.022,0.672,0.905,3.04e-06,0.984,-4.822,0.0816,110.105,7,1,240503,0.489,4,"7GuSZvxNfKaCVOfGLc1W5H","ecuadorian indie","ecuadorian pop",NA,NA,NA,NA,NA,NA
"New Light","John Mayer","Sob Rock","2021-07-16",78,0.316,0.826,0.694,0.0285,0.074,-7.862,0.0315,123.932,7,1,217426,0.852,4,"4T6FWA703h6H7zk1FoSARw","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA
"Starlight","Muse","Black Holes and Revelations","2006-06-19",76,0.000436,0.55,0.874,1.02e-05,0.206,-4.046,0.0321,121.61,4,1,240213,0.318,4,"3skn2lauGk7Dx6bVIt5DVj","alternative rock","modern rock","permanent wave","rock",NA,NA,NA,NA
