"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"Solo Guai","Carl Brave x Franco126","Polaroid 2.0","2018-02-16",60,0.0627,0.535,0.671,0,0.0772,-7.542,0.315,154.737,9,1,167225,0.442,4,"5kf8d9DoYJbQmiaYjsPobn","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"Taciturnal","Coez","Faccio un casino","2017-05-05",60,0.285,0.689,0.491,0,0.0974,-9.161,0.127,137.907,0,1,174000,0.218,4,"7bwLvVHpxOuOtg50aicp7c","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA,NA
"TiK ToK - Fred Falke Club Remix","Kesha","TiK-Tok - Remixes","2009-08-07",30,0.107,0.741,0.778,0.0837,0.234,-6.022,0.0328,125.989,5,1,402280,0.541,4,"3zxGzZfTeZQquhfl5fs7IO","dance pop","pop",NA,NA,NA,NA,NA,NA
"El Mismo Sol","Alvaro Soler","Eterno Agosto","2016-07-15",65,0.323,0.732,0.82,0.00349,0.0868,-5.948,0.0427,112.991,8,0,179506,0.978,4,"58WOkUl3O9LvLZjdhiQvIX","latin pop",NA,NA,NA,NA,NA,NA,NA
"Italiana","J-AX","Italiana","2018-05-04",57,0.0302,0.686,0.744,0,0.0486,-7.122,0.111,121.839,5,0,174172,0.637,4,"0ptaq4BSl6jrXfGyLzJjYE","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"How Deep Is Your Love","Calvin Harris","How Deep Is Your Love","2015-07-17",80,0.0392,0.738,0.868,0.00169,0.388,-4.373,0.0731,122.003,11,0,212640,0.336,4,"22mek4IiqubGD9ctzxc69s","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance"
"Merci","Carl Brave","Notti Brave (After)","2018-11-30",50,0.0965,0.639,0.896,0,0.141,-5.202,0.0605,90.14,2,1,261946,0.314,4,"429kanJEBTPrcTKYBT8yPq","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA,NA
"Felicità puttana","Thegiornalisti","LOVE","2018-09-21",65,0.00763,0.692,0.856,1.89e-05,0.305,-4.816,0.127,93.975,0,1,219806,0.686,4,"695AOnYHYnvHIMaTNKjkA5","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"La musica non c'è","Coez","Faccio un casino","2017-05-05",71,0.381,0.747,0.498,0,0.712,-6.674,0.0353,135.919,0,1,222786,0.53,4,"7MMJa7cjMadOSR6CFWvB1x","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA,NA
"Domani ci passa","Ludwig","Domani ci passa","2019-04-05",67,0.0399,0.708,0.736,0,0.448,-4.391,0.0398,129.959,11,1,145462,0.749,4,"3elLXGwE5zaREuOzWdlRJ2","italian pop","pop virale italiano",NA,NA,NA,NA,NA,NA
