"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"Maps","Maroon 5","V","2014-09-02",87,0.0205,0.742,0.713,0,0.059,-5.522,0.0303,120.032,1,0,189960,0.879,4,"4gbVRS8gloEluzf0GzDOFc","pop",NA,NA,NA,NA,NA,NA,NA
"One More Night","Maroon 5","Overexposed Track By Track","2012-01-01",80,0.0558,0.716,0.821,0,0.0844,-3.435,0.0314,92.997,5,0,219546,0.618,4,"6cpk00i5TxCqSeqNi2HuIe","pop",NA,NA,NA,NA,NA,NA,NA
"Hall of Fame (feat. will.i.am)","The Script","#3 Deluxe Version","2012-09-10",84,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786,10,1,202533,0.629,4,"7wMq5n8mYSKlQIGECKUgTX","celtic rock","pop",NA,NA,NA,NA,NA,NA
"Insta Lova","Marracash","Santeria","2016-06-24",80,0.0721,0.69,0.795,0,0.109,-6.819,0.0759,101.071,1,0,206805,0.905,4,"1w91YxaRwTShkKe4apYf3r","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"Pompeii","Bastille","All This Bad Blood","2013-01-01",78,0.0755,0.679,0.715,0,0.271,-6.383,0.0407,127.435,9,1,214147,0.571,4,"4Ub8UsjWuewQrPhuepfVpd","metropopolis","modern rock","pop",NA,NA,NA,NA,NA
"STAY (with Justin Bieber)","The Kid LAROI","F*CK LOVE 3+: OVER YOU","2021-07-27",85,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,1,1,141805,0.478,4,"567e29TDzLwZwfDuEpGTwo","australian hip hop",NA,NA,NA,NA,NA,NA,NA
"Waves - Robin Schulz Radio Edit","Mr. Probz","Waves (Robin Schulz Radio Edit)","2014-02-07",79,0.00821,0.829,0.51,0.00143,0.0829,-9.334,0.0369,119.994,5,0,208133,0.45,4,"1HFfMOxCAT4GAwaPfCdmUs","pop dance",NA,NA,NA,NA,NA,NA,NA
"M' Manc (con Geolier & Sfera Ebbasta)","Shablo","M' Manc (con Geolier & Sfera Ebbasta)","2020-06-11",72,0.048,0.703,0.704,0,0.41,-6.117,0.0641,139.933,6,0,180000,0.725,4,"0MLu1cFYL4ikdRTdasCQT9","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"Don't You Worry Child - Radio Edit","Swedish House Mafia","Don't You Worry Child","2012-09-14",84,0.112,0.612,0.84,0,0.116,-3.145,0.0509,129.042,11,0,212862,0.438,4,"2V65y3PX4DkRhy1djlxd9p","edm","pop dance","progressive electro house",NA,NA,NA,NA,NA
"Die Young","Kesha","Warrior (Expanded Edition)","2012-11-30",80,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,1,0,211920,0.801,4,"7EQGXaVSyEDsCWKmUcfpLk","dance pop","pop",NA,NA,NA,NA,NA,NA
