"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"Overnight","Parcels","Overnight","2017-06-21",71,0.364,0.815,0.819,0.0555,0.115,-9.494,0.0521,119.986,8,0,219604,0.864,4,"0hhXziDUO0wNYPsstDQWN6","aussietronica","indie soul",NA,NA,NA,NA,NA,NA,NA,NA
"Goodie Bag","Still Woozy","Goodie Bag","2017-11-05",78,0.821,0.739,0.522,0.00124,0.233,-12.304,0.151,138.263,7,0,146390,0.619,4,"4vHNeBWDQpVCmGbaccrRzi","bedroom pop","oakland indie","pov: indie",NA,NA,NA,NA,NA,NA,NA
"Happiness In Liquid Form","Alfie Templeman","Happiness in Liquid Form","2020-07-17",58,0.00183,0.691,0.854,0.00828,0.333,-4.543,0.0674,124.008,6,0,212824,0.834,4,"6PftSaJIUfDKLoxCHpBvqs","modern alternative pop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"roncola","Ankli","roncola","2021-08-27",41,0.461,0.831,0.468,0.00979,0.0983,-10.071,0.0634,136,9,0,172942,0.936,4,"36KSajo0NyH3eGgbS4AuJ7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Habit","Still Woozy","Habit","2019-12-12",69,0.154,0.767,0.392,0.000398,0.108,-11.996,0.0945,125.017,1,1,153871,0.48,4,"4BsLwvaJOTOHDNg7xMpvrL","bedroom pop","oakland indie","pov: indie",NA,NA,NA,NA,NA,NA,NA
"Lonely Nights","LEISURE","Sunsetter","2021-12-03",66,0.124,0.688,0.596,0.0321,0.244,-7.698,0.0298,104.06,5,0,200093,0.718,4,"1SJ7eKG6Ha5opLNxlXXvwa","auckland indie","indie soul",NA,NA,NA,NA,NA,NA,NA,NA
"Wait for the Moment","Vulfpeck","My First Car","2013-12-06",60,0.501,0.773,0.36,0.00409,0.0823,-9.722,0.0955,79.207,0,1,230676,0.681,4,"48wH8bAxvBJO2l14GmNLz7","ann arbor indie","funk rock","instrumental funk",NA,NA,NA,NA,NA,NA,NA
"Saint Pablo","Kanye West","The Life Of Pablo","2016-06-10",74,0.282,0.461,0.772,0,0.178,-3.98,0.375,167.018,2,0,372113,0.414,4,"1o0kWPueYo94LIjPYOE5Nf","chicago rap","hip hop","rap",NA,NA,NA,NA,NA,NA,NA
"Casio","Jungle","For Ever","2018-09-14",72,0.431,0.816,0.492,0.0896,0.0995,-7.464,0.0752,115.989,10,0,234369,0.765,4,"44ZKnfWEkp7wPs035j4Tua","indie soul","indietronica","uk contemporary r&b",NA,NA,NA,NA,NA,NA,NA
"Baianá","Bakermat","The Ringmaster","2020-10-09",78,0.000754,0.587,0.722,0.668,0.543,-6.983,0.0709,121.964,2,0,180842,0.466,4,"780be5fB7823aHG06mwTat","minimal tech house","tropical house",NA,NA,NA,NA,NA,NA,NA,NA
"Last One Standing","Monophonics","It's Only Us","2020-03-13",50,0.218,0.588,0.576,0.0357,0.172,-6.945,0.0367,129.155,6,0,436840,0.66,4,"7DFA3k0QQtvAkItuNAwKh4","bay area indie","instrumental funk","psychedelic soul",NA,NA,NA,NA,NA,NA,NA
"Temper Temper","Lime Cordiale","Permanent Vacation","2017-10-13",67,0.0252,0.713,0.565,3.2e-06,0.633,-7.8,0.0351,130.047,7,0,208980,0.705,4,"3DCU0R5FFaB9GKxZERb5wr","australian surf rock",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ordinary Pleasure","Toro y Moi","Outer Peace","2019-01-18",55,0.154,0.882,0.781,0.0163,0.105,-7.384,0.14,115.006,7,1,183752,0.783,4,"6SlYQ2fAKWSfHEHNhH2kgM","chillwave","hypnagogic pop","indie soul","indietronica",NA,NA,NA,NA,NA,NA
