"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10"
"A Horse with No Name","America","America","1972",80,0.686,0.654,0.506,0.0155,0.155,-17.18,0.0535,123.179,11,0,252239,0.831,4,"54eZmuggBFJbV7k248bTTt","album rock","classic rock","folk rock","heartland rock","mellow gold","soft rock",NA,NA,NA,NA
"Smooth Criminal - 2012 Remaster","Michael Jackson","Bad 25th Anniversary","2012-09-18",79,0.247,0.853,0.981,0.468,0.306,-3.947,0.0751,118.193,8,1,257760,0.595,4,"2bCQHF9gdG5BNDVuEIEnNk","r&b","soul",NA,NA,NA,NA,NA,NA,NA,NA
"Starman - 2012 Remaster","David Bowie","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","1972-06-06",79,0.166,0.486,0.449,2.23e-06,0.54,-10.298,0.0267,100.456,5,1,254293,0.549,4,"0pQskrTITgmCMyr85tb9qq","art rock","classic rock","glam rock","permanent wave","rock",NA,NA,NA,NA,NA
"Hurricane","Bob Dylan","Desire","1976-01-16",68,0.0409,0.509,0.827,0,0.12,-7.715,0.0782,135.601,0,1,512732,0.743,4,"1lqMLr9Wj7SM2F9AikGcxN","classic rock","country rock","folk","folk rock","psychedelic rock","rock","roots rock","singer-songwriter",NA,NA
"Heart Of Gold","Various Artists","Eat, Pray, Love","2010-01-01",76,0.288,0.55,0.525,0.0172,0.106,-8.754,0.0275,171.172,7,1,188440,0.806,4,"5vd1QZ0tdXOExiegC55IAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Brown","The Stranglers","La Folie","1981",72,0.143,0.562,0.383,0.124,0.138,-15.474,0.0304,93.764,6,1,206760,0.599,3,"2AX5E86cn9n2dgioZEjirI","glam rock","new romantic","new wave","new wave pop","protopunk","pub rock","zolo",NA,NA,NA
"Dream On - Live Version","Aerosmith","A Little South Of Sanity","1998-01-01",51,0.0819,0.345,0.667,0.00191,0.988,-6.234,0.0291,74.212,5,0,290866,0.171,4,"6nmre39J3T34WvmYSbfZdq","album rock","classic rock","hard rock","rock",NA,NA,NA,NA,NA,NA
"Hey Jude - Remastered 2015","The Beatles","1 (Remastered)","2000-11-13",74,0.0112,0.386,0.607,1.38e-05,0.088,-7.7,0.0261,147.207,10,1,425653,0.532,4,"0aym2LBJBk9DAYuHHutrIl","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA
"Desaparecido","Manu Chao","Clandestino","1998-10-06",62,0.669,0.591,0.627,0,0.127,-6.903,0.0935,191.944,9,0,227160,0.741,4,"5Hc7O2dX51NI4YcHPuoOpw","latin alternative","world",NA,NA,NA,NA,NA,NA,NA,NA
"Come and Get Your Love - Single Version","Redbone","Come and Get Your Love","1973-11-01",78,0.172,0.731,0.804,0.00028,0.0685,-7.621,0.0473,107.383,11,0,205933,0.957,4,"7GVUmCP00eSsqc4tzj1sDD","native american contemporary","native american traditional",NA,NA,NA,NA,NA,NA,NA,NA
"Theme from Rawhide","The Blues Brothers","The Blues Brothers Original Motion Picture Soundtrack","1980",54,0.526,0.594,0.571,0.163,0.204,-7.943,0.0285,100.827,10,0,159600,0.674,4,"4P60VVMdkWcwGMBC7r4Kgp","blues","blues rock",NA,NA,NA,NA,NA,NA,NA,NA
"Knockin' On Heaven's Door","Bob Dylan","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","1973-07-13",77,0.251,0.513,0.396,0.177,0.11,-13.061,0.0299,140.208,7,1,149880,0.229,4,"6HSXNV0b4M4cLJ7ljgVVeh","classic rock","country rock","folk","folk rock","psychedelic rock","rock","roots rock","singer-songwriter",NA,NA
"Son Of A Preacher Man","Dusty Springfield","Dusty In Memphis","1969-03-31",79,0.538,0.404,0.43,0,0.0802,-12.327,0.224,180.061,4,1,148053,0.641,4,"6ek9SiEj5a65WIs2EV7qiM","adult standards","british invasion","rock-and-roll","soul","vocal jazz",NA,NA,NA,NA,NA
