"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"CAN'T SAY","Travis Scott","ASTROWORLD","2018-08-03",79,0.201,0.702,0.708,0,0.118,-5.366,0.0547,147.98,10,0,198408,0.713,4,"27a1mYSG5tYg7dmEjWBcmL","hip hop","rap","slap house",NA,NA,NA,NA,NA,NA
"DEVASTATED","Joey Bada$$","ALL-AMERIKKKAN BADA$$","2017-04-07",70,0.0634,0.812,0.628,0,0.254,-6.164,0.0682,123.004,10,0,207058,0.485,4,"4PnNzWe1LJoAMD5j5RHpI0","conscious hip hop","hip hop","rap",NA,NA,NA,NA,NA,NA
"No Idea","Don Toliver","Heaven Or Hell","2020-03-13",83,0.524,0.652,0.631,0.000579,0.165,-5.718,0.0893,127.998,6,0,154424,0.35,4,"7AzlLxHn24DxjgQX73F9fU","pop rap","rap","trap",NA,NA,NA,NA,NA,NA
"Marechià","Nu Genea","Bar Mediterraneo","2022-05-13",56,0.124,0.719,0.832,0.0726,0.0697,-7.412,0.0366,110.077,1,0,264296,0.961,4,"3NYm3ZimuJNb0Z0px5OEwO","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA,NA,NA
"Riot","XXXTENTACION","Riot","2020-06-01",78,0.019,0.509,0.542,0.00639,0.23,-8.027,0.442,97.767,3,0,78680,0.151,4,"4aOOExMBUyxKnEYb39SrTg","emo rap","miami hip hop",NA,NA,NA,NA,NA,NA,NA
"ASTROTHUNDER","Travis Scott","ASTROWORLD","2018-08-03",77,0.142,0.7,0.46,4.81e-05,0.111,-8.111,0.0661,151.901,4,0,142969,0.286,4,"4MXhiYIRDMGAuvZc5IFTwC","hip hop","rap","slap house",NA,NA,NA,NA,NA,NA
"Die Hard","Kendrick Lamar","Mr. Morale & The Big Steppers","2022-05-13",78,0.319,0.775,0.736,0.00116,0.127,-8.072,0.247,100.988,1,0,239026,0.362,4,"2g6tReTlM2Akp41g0HaeXN","conscious hip hop","hip hop","rap","west coast rap",NA,NA,NA,NA,NA
"Cos'è l'amore (feat. Franco Califano)","Ketama126","KETY REBORN","2020-07-03",24,0.033,0.536,0.678,2.89e-06,0.171,-7.338,0.0607,129.845,0,1,209258,0.293,4,"0ZzTmqVsM19aCbeWz5JOTq","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA,NA,NA,NA,NA
"Iban","Tauro Boys","Alpha Centauri","2019-06-27",34,0.122,0.644,0.611,0,0.378,-6.404,0.0739,152.025,9,1,186965,0.303,4,"3cRjedkCZ8ocFeSWZ5mFxT","hyperpop italiano","italian hip hop",NA,NA,NA,NA,NA,NA,NA
"What You Need","Don Toliver","What You Need","2021-05-04",55,0.059,0.664,0.655,2.4e-05,0.17,-7.327,0.0461,129.987,10,0,217609,0.13,4,"6LcX2hBbXaJcK4AuefE936","pop rap","rap","trap",NA,NA,NA,NA,NA,NA
