"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4"
"Irene","Pinguini Tattici Nucleari","Gioventù brucata","2017-04-14",56,0.349,0.68,0.622,0,0.0942,-6.271,0.0417,120.016,7,1,311253,0.535,4,"2JeQN06RJrdNTh5LpCPBHq","bergamo indie","italian indie pop","italian pop","milan indie"
"New Romantics","Taylor Swift","1989 (Deluxe)","2014-01-01",78,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,5,1,230466,0.584,4,"0qAIiGFKLdV1xpNlEhjpq8","pop",NA,NA,NA
"illicit affairs","Taylor Swift","folklore","2020-07-24",81,0.881,0.559,0.31,0,0.106,-10.445,0.0338,119.845,10,1,190898,0.46,4,"2NmsngXHeC1GQ9wWrzhOMf","pop",NA,NA,NA
"august","Taylor Swift","folklore","2020-07-24",92,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,5,1,261922,0.403,4,"3hUxzQpSfdDqwM3ZTFQY0K","pop",NA,NA,NA
"The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021-11-12",77,0.00115,0.678,0.733,0,0.104,-5.025,0.0281,121.009,7,1,200280,0.581,4,"6pYNq0ZwpPVazKzsqpf0G8","pop",NA,NA,NA
"10K Scale","Tananai","Piccoli Boati","2020-02-21",53,0.458,0.571,0.443,0,0.0994,-8.723,0.0653,76.005,5,1,198157,0.266,4,"3WkjBJhPATpNsUF7rGSOwo","italian pop",NA,NA,NA
"GIRASOLE","bnkr44","FARSI MALE A NOI VA BENE","2021-11-25",44,0.532,0.682,0.89,0,0.152,-4.986,0.0563,140.119,1,0,197453,0.827,4,"6Q5BuRgXZOWItqzvZfjKxw","hyperpop italiano",NA,NA,NA
"Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022-05-27",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,11,0,212966,0.948,4,"7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie"
"right where you left me - bonus track","Taylor Swift","evermore (deluxe version)","2021-01-07",83,0.769,0.581,0.619,0.000106,0.117,-6.524,0.0282,137.915,10,1,245026,0.645,4,"3zwMVvkBe2qIKDObWgXw4N","pop",NA,NA,NA
"Giugno","Tananai","Giugno","2020-01-17",50,0.602,0.599,0.437,0,0.304,-10.542,0.0465,124.888,1,1,177750,0.5,4,"2ViwZ1Ht21XTkO4UXqsicw","italian pop",NA,NA,NA
"CASTELLI DI LENZUOLA","ARIETE","SPECCHIO","2022-02-24",53,0.589,0.602,0.556,0,0.185,-5.967,0.0337,99.977,0,1,184253,0.186,4,"6hLEPly11XS3mFlG9AyO4T","italian hip hop","italian pop","rome indie",NA
"SUI MURI","PSICOLOGI","TRAUMA","2022-04-28",60,0.739,0.422,0.477,0,0.255,-8.12,0.0384,76.183,11,1,181529,0.39,4,"1pz0bN7LWZZLTx5odixW7a","italian hip hop","italian pop","rome indie",NA
"champagne problems","Taylor Swift","evermore","2020-12-11",83,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0,1,244000,0.32,4,"0sY6ZUTh4yoctD8VIXz339","pop",NA,NA,NA
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA
"18","One Direction","FOUR (Deluxe)","2014-11-17",82,0.22,0.681,0.582,0,0.119,-7.76,0.0313,124.038,6,0,248360,0.221,4,"3JjnGLK8IxkNLvo8Lb3KOM","boy band","pop","post-teen pop","talent show"
"PAGINE","PSICOLOGI","TRAUMA","2022-04-28",46,0.0624,0.593,0.779,0,0.208,-6.752,0.13,146.05,4,1,175973,0.769,4,"7e1k5h3bkRBywv77P6n5Hm","italian hip hop","italian pop","rome indie",NA
"the 1","Taylor Swift","folklore (deluxe version)","2020-08-18",75,0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,0,1,210240,0.163,4,"4pfrrhvplbJZAIsfosGWQP","pop",NA,NA,NA
"Volersi Male","Tananai","Volersi Male","2019-04-05",46,0.0818,0.729,0.797,0.0196,0.0748,-8.267,0.087,120.042,2,1,228000,0.419,3,"4DQUunFWrBHdGkNhYY6zZo","italian pop",NA,NA,NA
"MANI STRETTE","bnkr44","FARSI MALE A NOI VA BENE","2021-11-25",30,0.0781,0.648,0.86,0,0.29,-6.189,0.052,141.964,3,1,209026,0.934,4,"5Qo4lrFwepxf9bofOradCv","hyperpop italiano",NA,NA,NA
"Could Have Been Me","The Struts","Everybody Wants","2016-03-04",74,0.0158,0.541,0.907,0.000185,0.34,-4.512,0.0642,80.029,4,1,187653,0.434,4,"3IyCL4Em1GOpNGDf451Hg1","glam rock","modern alternative rock",NA,NA
"betty","Taylor Swift","folklore","2020-07-24",79,0.6,0.593,0.377,0,0.0976,-8.761,0.0253,95.939,0,1,294521,0.502,4,"5kI4eCXXzyuIUXjQra0Cxi","pop",NA,NA,NA
"Sensazioni Momentanee (feat. Lil Kvneki)","VillaBanks","Filtri + Nudo","2021-07-22",57,0.0943,0.529,0.766,0,0.133,-9.019,0.203,86.943,7,1,245707,0.494,4,"7B7MnH2GI5A9NfXdVQSmKh","italian hip hop","italian pop","trap italiana",NA
"Nonono","Pinguini Tattici Nucleari","Fuori dall'Hype","2019-04-05",62,0.451,0.816,0.897,0,0.0803,-2.909,0.0682,95.005,7,1,210893,0.83,4,"4sE5wzpPd4s8kTdtVC18lY","bergamo indie","italian indie pop","italian pop","milan indie"
"If I Could Fly","One Direction","Made In The A.M. (Deluxe Edition)","2015-11-13",69,0.781,0.565,0.245,0,0.0998,-9.132,0.0262,75.055,5,1,230320,0.307,4,"5CRVwXGikmqzoRO6q7FeAg","boy band","pop","post-teen pop","talent show"
"my tears ricochet","Taylor Swift","folklore (deluxe version)","2020-08-18",75,0.814,0.456,0.265,0,0.0679,-10.663,0.0328,129.947,0,1,255893,0.112,4,"5P2bHCDM2tsgIaYWsZMhu5","pop",NA,NA,NA
"Pierre","Ryn Weaver","The Fool","2015-08-28",60,0.289,0.607,0.827,2.95e-06,0.719,-4.282,0.0484,100.062,9,1,202733,0.552,4,"2vpVR1L7Qfkd7D6qFNuorq","electropop","indie poptimism",NA,NA
"Calcutta","Tananai","Calcutta","2019-09-26",50,0.163,0.435,0.64,0,0.078,-7.542,0.174,178.256,6,1,210337,0.409,4,"22Im0DNjOpgvrj47feV9TI","italian pop",NA,NA,NA
"Ridere","Pinguini Tattici Nucleari","Fuori dall'Hype Ringo Starr","2020-02-07",70,0.0493,0.713,0.902,0,0.0781,-3.009,0.0378,116.909,9,1,214733,0.72,4,"5LZVK19ieaV8Mk9FsqTL3F","bergamo indie","italian indie pop","italian pop","milan indie"
"Enchanted","Taylor Swift","Speak Now","2010-10-25",79,0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,8,1,352200,0.228,4,"04S1pkp1VaIqjg8zZqknR5","pop",NA,NA,NA
"Una canzone che non so","Gazzelle","Post Punk","2019-10-25",59,0.384,0.705,0.502,0,0.123,-6.612,0.0262,119.855,11,1,185173,0.548,4,"5ZJ8NqYFgILvAba4GepqH3","italian adult pop","italian pop","rome indie",NA
"SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE","2022-02-03",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,0,1,195923,0.659,4,"0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA
"La storia infinita","Pinguini Tattici Nucleari","AHIA!","2020-12-04",64,0.169,0.701,0.744,0,0.115,-3.421,0.0411,89.986,4,1,207802,0.651,4,"2r1SRt8bhtR6a9bMRR0AgV","bergamo indie","italian indie pop","italian pop","milan indie"
