"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"Fuera del mercado","Danny Ocean","@dannocean","2022-02-17",81,0.32,0.453,0.673,0,0.131,-5.649,0.144,92.06,8,1,159849,0.266,4,"1UdzJEpgJxtuXAlCOvD4S0","pop venezolano","reggaeton","trap latino","urbano latino",NA,NA
"Una Vaina Loca","Fuego","Una Vaina Loca","2011-08-10",74,0.172,0.792,0.676,1.93e-05,0.0654,-12.813,0.0546,117.011,1,1,188894,0.712,4,"6YYmoV9YbBefsspGmqFHbs","electro latino","rap dominicano","reggaeton","trap latino",NA,NA
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","2022-07-06",89,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,2,1,198937,0.55,4,"2tTmW7RDtMQtBk7m2rYeSw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",NA
"Yo Voy (feat. Daddy Yankee)","Zion & Lennox","Motivando a la Yal","2004-05-04",81,0.041,0.808,0.697,0,0.0546,-5.899,0.241,95.06,10,1,232019,0.554,4,"5gflgO9EPbIBf16n5TKnQS","reggaeton","urbano latino",NA,NA,NA,NA
"Where Are You Now","Lost Frequencies","Where Are You Now","2021-07-30",86,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,6,0,148197,0.262,4,"3uUuGVFu1V7jTQL60S1r8z","belgian edm","edm","pop dance","tropical house",NA,NA
"ROMANCE","Fred De Palma","ROMANCE","2022-04-01",54,0.249,0.706,0.828,5.25e-06,0.0718,-2.554,0.0675,175.942,11,0,180170,0.522,4,"2tkQXP7XlPbtNKj99NepLa","italian adult pop","italian pop",NA,NA,NA,NA
"BIZCOCHITO","ROSALÍA","MOTOMAMI","2022-03-18",72,0.605,0.93,0.774,0.0238,0.12,-4.203,0.0744,116.972,1,1,109120,0.781,4,"4kXxEhuatrvwrTQycA7s9B","latin viral pop","pop","r&b en espanol",NA,NA,NA
"PROVENZA","KAROL G","PROVENZA","2022-04-22",80,0.656,0.87,0.516,0.00823,0.11,-8.006,0.0541,111.005,1,1,210200,0.53,4,"7dSZ6zGTQx66c2GF91xCrb","reggaeton","reggaeton colombiano","trap latino","urbano latino",NA,NA
"Shakerando","Rhove","Shakerando","2021-12-15",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,7,0,195555,0.469,4,"4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA
"Mujeriego","Ryan Castro","Mujeriego","2021-12-17",72,0.0628,0.758,0.621,0,0.0809,-8.033,0.125,79.949,9,1,142500,0.92,4,"78kygHp1dvW1kncYjBgbe1","reggaeton","trap colombiano","trap latino","urbano latino",NA,NA
