"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"COMMITMENT ISSUES","Tiffany Day","I'M ALIVE","2020-01-01",46,0.856,0.84,0.329,0.00218,0.0884,-12.842,0.0447,105.038,4,0,166687,0.545,4,"6YNDDWhMqM0BjNJuciXzG5","chill r&b",NA,NA,NA,NA,NA,NA,NA
"FROOTY LOOPS","Tiffany Day","I'M ALIVE","2020-01-01",30,0.602,0.835,0.373,0.000305,0.305,-5.981,0.0797,170.009,4,1,87379,0.393,4,"5ultnRBZbSCptoBcRTNFjG","chill r&b",NA,NA,NA,NA,NA,NA,NA
"IF I DON'T TEXT YOU FIRST","Tiffany Day","IF I DON'T TEXT YOU FIRST","2021-06-21",64,0.269,0.76,0.492,0,0.305,-6.802,0.0824,104.987,9,1,133547,0.677,4,"2lNb0SzyOEHizMxlpT9HM6","chill r&b",NA,NA,NA,NA,NA,NA,NA
"Best Thing","JAWNY","The Story Of Hugo","2021-07-14",52,0.529,0.65,0.739,0,0.101,-6.252,0.569,192.135,5,0,156706,0.874,4,"1nBVHNr7KSYHNj6BdhlNx3","bedroom pop","pov: indie",NA,NA,NA,NA,NA,NA
"Shoe Laces","Curtis Waters","Pity Party","2020-10-09",31,0.5,0.786,0.366,0.065,0.106,-8.697,0.0418,110.118,3,1,92495,0.68,4,"4NoejMzvFIHYm2MJClZppf",NA,NA,NA,NA,NA,NA,NA,NA
"o shit!","lentra","o shit!","2021-04-02",41,0.875,0.829,0.631,0.0123,0.109,-7.876,0.106,106.863,1,1,136822,0.792,4,"0RQpg3Q0QOxp6gqDpE8uWH","canadian hip hop","meme rap",NA,NA,NA,NA,NA,NA
"Tree Among Shrubs","Men I Trust","Untourable Album","2021-08-25",72,0.656,0.713,0.443,0.804,0.111,-11.704,0.0531,76.791,11,0,188301,0.864,4,"4JYJU761kWJEK91hyug33F","indie pop","pov: indie",NA,NA,NA,NA,NA,NA
"Good Luck","Abhi The Nomad","Abhi vs The Universe","2021-09-01",56,0.383,0.876,0.75,1.19e-06,0.0963,-8.056,0.0568,115.985,11,0,135213,0.978,4,"6IVsYkP3RWt3AwMeHOgDFF","desi hip hop",NA,NA,NA,NA,NA,NA,NA
"Frankenstein","Claire Rosinkranz","Frankenstein","2021-05-14",62,0.13,0.826,0.745,1.32e-05,0.178,-6.091,0.141,119.92,2,1,202248,0.883,4,"1xSmjB0t19q4CSJ0X0ymGB","alt z","modern indie pop",NA,NA,NA,NA,NA,NA
"Business Is Business","Piero Umiliani","Bon Voyage!!!","2014-01-31",5,0.261,0.631,0.498,0.424,0.065,-8.787,0.0384,99.075,1,1,262556,0.88,4,"5ZPRSE7Vb3QTXmAJjnQ5Z2","vintage italian soundtrack",NA,NA,NA,NA,NA,NA,NA
"RACECAR (feat. Clairo, Coco & Clair Clair)","Deaton Chris Anthony","BO Y","2019-11-20",49,0.0294,0.632,0.579,0.000918,0.115,-11.053,0.102,104.994,5,1,170638,0.164,4,"4hie5sbZpqiMzzZY25dOVp","experimental r&b",NA,NA,NA,NA,NA,NA,NA
"CHANGE THE CHANNEL","MIA GLADSTONE","CHANGE THE CHANNEL","2020-10-15",44,0.0587,0.859,0.714,0,0.256,-5.944,0.039,111.027,0,1,155675,0.909,4,"7jCwlREfUpw0NCIU23hMhx","modern indie pop",NA,NA,NA,NA,NA,NA,NA
"FYO","MICHELLE","FYO","2021-01-27",48,0.279,0.869,0.552,0.00445,0.105,-8.586,0.0367,106.999,5,1,164963,0.617,4,"2pIZ6QqkFK6Ayg8pZGjomA","bedroom pop",NA,NA,NA,NA,NA,NA,NA
"Wishful Thinking","BENEE","FIRE ON MARZZ","2019-06-28",60,0.144,0.644,0.661,1.54e-06,0.177,-6.161,0.0332,82.022,4,1,213373,0.55,4,"06Xh1KvQofFghlSt33mFjc","alt z","nz pop",NA,NA,NA,NA,NA,NA
"Alphabet Soup","Payday","House Of P.U.K.E","2021-06-04",27,0.255,0.741,0.479,0,0.11,-6.822,0.109,73.989,8,1,129729,0.423,4,"7tEmu37UsmWxA46pflTnpu","modern alternative pop",NA,NA,NA,NA,NA,NA,NA
