"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","2022-07-06",90,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,2,1,198937,0.55,4,"2tTmW7RDtMQtBk7m2rYeSw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino"
"okk@pp@","thasup","okk@pp@","2022-09-23",46,0.0963,0.747,0.675,0.000342,0.345,-4.879,0.0422,106.96,10,1,142373,0.683,4,"6Eut6MtJYENAxBtNG0stnT","italian hip hop","italian pop","trap italiana",NA,NA
"DESPECHÁ","ROSALÍA","MOTOMAMI +","2022-09-09",80,0.146,0.914,0.622,1.68e-05,0.0632,-6.538,0.0892,130.04,7,1,156787,0.77,4,"53tfEupEzQRtVFOeZvk7xq","latin viral pop","pop","r&b en espanol",NA,NA
"!ly (feat. Coez)","thasup","c@ra++ere s?ec!@le","2022-09-30",63,0.247,0.764,0.725,0,0.122,-5.262,0.0513,126.565,7,1,206494,0.676,4,"60r5kXIqq9d89Y6SsNQC6o","italian hip hop","italian pop","trap italiana",NA,NA
"Noche de Novela (feat. Ed Sheeran)","Paulo Londra","Noche de Novela (feat. Ed Sheeran)","2022-08-11",57,0.00208,0.522,0.585,0,0.0909,-7.205,0.129,97.99,7,1,191896,0.411,4,"6N7LquYjc3c53qr4PSJbi5","argentine hip hop","trap argentino","trap latino","urbano latino",NA
"Turista per sempre","wax","wax","2023-07-07",44,0.011,0.57,0.786,0,0.363,-5.388,0.193,171.968,8,1,142205,0.486,4,"47LE1JZBBQDGGaA5r6atQ0","italian pop",NA,NA,NA,NA
"VISTA AL MAR","Quevedo","VISTA AL MAR","2022-09-09",75,0.803,0.759,0.561,0.121,0.101,-5.643,0.131,104.915,0,0,180672,0.491,4,"7iwJOi3hlMqZt6pj1sQOBj","rap canario","trap latino","urbano latino",NA,NA
"Ferrari - Remix","James Hype","Ferrari (Remix)","2022-09-09",66,0.0985,0.818,0.728,0,0.0917,-5.705,0.0724,124.974,1,0,172000,0.597,4,"3XucsgiwXb8KPn9Csf9Zmu","deep groove house","house","pop dance","uk dance",NA
"Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022-03-04",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,8,1,171437,0.705,4,"4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA
"Fuera del mercado","Danny Ocean","@dannocean","2022-02-17",81,0.32,0.453,0.673,0,0.131,-5.649,0.144,92.06,8,1,159849,0.266,4,"1UdzJEpgJxtuXAlCOvD4S0","pop venezolano","reggaeton","trap latino","urbano latino",NA
"Too Good At Goodbyes","Sam Smith","The Thrill Of It All (Special Edition)","2017-11-03",87,0.64,0.681,0.372,0,0.169,-8.237,0.0432,91.873,5,1,201000,0.476,4,"1mXVgsBdtIVeCLJnSnmtdV","pop","uk pop",NA,NA,NA
"Ritmo","Raffa Fl","Ritmo","2021-08-13",67,0.000832,0.777,0.867,0.000655,0.374,-5.16,0.0936,124.005,7,0,183810,0.698,4,"4FHXsehfIbyPCJLP7fCnIF","italian tech house","tech house",NA,NA,NA
