"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"BABY GODDAMN","Tananai","BABY GODDAMN","2021-03-26",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,10,0,149605,0.885,4,"3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE","2022-02-03",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,0,1,195923,0.659,4,"0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA,NA,NA
"LA CODA DEL DIAVOLO (con ELODIE)","Rkomi","TAXI DRIVER","2021-11-30",68,0.132,0.481,0.748,7.77e-06,0.126,-6.007,0.356,128.777,6,0,188975,0.549,4,"6oYcyS6salzWI1ysjEScFh","italian hip hop","italian pop",NA,NA,NA,NA,NA
"Giusto Un Giro","Marracash","King Del Rap","2011-01-01",50,0.0407,0.708,0.871,0,0.163,-3.452,0.0425,97.533,4,0,263613,0.444,4,"4ymxzc4KbgQiVzjAMTdmgE","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA
"The Spins","Mac Miller","K.I.D.S. (Deluxe)","2010-08-13",83,0.0135,0.794,0.766,0,0.0785,-3.894,0.0377,127.006,9,0,195873,0.55,4,"7FAFkQQZFeNwOFzTrSDFIh","hip hop","pittsburgh rap","pop rap","rap",NA,NA,NA
"Si Baciano Tutti (feat. CoCo)","Mecna","Neverland","2019-10-10",59,0.198,0.335,0.748,0,0.173,-6.598,0.21,86.316,11,1,170400,0.298,4,"7g0dmj4mrpVxa6rkm8gqYl","italian hip hop","r&b italiano",NA,NA,NA,NA,NA
"INSUPERABILE","Rkomi","TAXI DRIVER","2022-02-24",61,0.0344,0.667,0.848,0,0.183,-5.195,0.0851,122.035,4,0,172461,0.84,4,"3nNxdeQX9iFeuosMcFEeDd","italian hip hop","italian pop",NA,NA,NA,NA,NA
"L'ultima notte","ARIETE","L'ultima notte","2021-05-03",65,0.268,0.618,0.687,0,0.126,-5.603,0.0446,94.037,2,1,157566,0.398,4,"63mdY4U0KvnbMkUEc7FHN8","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"Caffè","Bresh","Caffè","2021-07-02",40,0.0149,0.67,0.785,0,0.0934,-6.119,0.0424,94.509,8,1,189108,0.534,4,"4V5gmy8imyB0TJwdIYuGRv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"Sbronza","Laila Al Habash","Mystic Motel","2021-11-05",39,0.175,0.769,0.563,1.12e-05,0.0992,-7.395,0.222,170.045,1,0,173936,0.637,4,"13O6v6qGF3GI60fKpFkJIU","italian indie pop",NA,NA,NA,NA,NA,NA
"Amore Disperato - 2004 Remaster","Nada","Made In Italy","2004-01-01",60,0.183,0.679,0.902,7.38e-05,0.133,-5.848,0.0628,157.726,11,1,240760,0.866,4,"3JiiSo4yW8FYVnWNlvzEFO","classic italian pop",NA,NA,NA,NA,NA,NA
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","2022-07-06",90,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,2,1,198937,0.55,4,"2tTmW7RDtMQtBk7m2rYeSw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",NA,NA
"ESAGERATA","Tananai","ESAGERATA","2021-12-03",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,0,1,198782,0.407,4,"6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA,NA,NA,NA
"Tití Me Preguntó","Bad Bunny","Un Verano Sin Ti","2022-05-06",87,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,106.672,5,0,243716,0.187,4,"1IHWl5LamUGEuP4ozKQSXZ","reggaeton","trap latino","urbano latino",NA,NA,NA,NA
"Ecco la Notte","Dov'è Liana","Ecco la Notte","2020-12-02",46,0.444,0.845,0.499,0.392,0.0993,-10.429,0.0514,119.997,2,1,344000,0.645,4,"07NTvJ2DpPtQ23qTu1YWOq",NA,NA,NA,NA,NA,NA,NA
