"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"Heat Waves","Glass Animals","Dreamland","2020-08-07",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,11,1,238805,0.531,4,"3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop"
"Ride It","Regard","Ride It","2019-07-26",82,0.177,0.88,0.751,6.43e-05,0.106,-4.258,0.0874,117.948,7,0,157605,0.884,4,"2tnVG71enUj33Ic2nFN6kZ","pop dance","pop edm","slap house","uk dance",NA
"Fairytale","Alexander Rybak","Fairytale","2009-01-12",72,0.61,0.573,0.784,3.89e-05,0.278,-5.359,0.0293,107.991,2,0,182600,0.655,4,"3MnAsEBBsEj86d03RgO4EM",NA,NA,NA,NA,NA
"Ride It","Jay Sean","My Own Way","2008",67,0.257,0.694,0.651,0,0.11,-5.645,0.127,93.887,11,0,190053,0.704,4,"2YSrlOiR9kyiqUURfYwDXI","dance pop","pop","pop rap","post-teen pop",NA
"love nwantiti (ah ah ah)","CKay","CKay The First","2019-08-30",82,0.365,0.727,0.739,0.00137,0.161,-3.805,0.0411,93.005,8,1,145800,0.533,4,"2Xr1dTzJee307rmrkt8c0g","afro r&b","afrobeats",NA,NA,NA
"Lady - Hear Me Tonight","Modjo","Modjo (Remastered)","2001",79,0.00793,0.72,0.808,0.0293,0.0634,-5.627,0.0379,126.041,6,1,307153,0.869,4,"49X0LAl6faAusYq02PRAY6","disco house","filter house",NA,NA,NA
"Time is Running Out","Muse","Absolution","2004-03-23",72,0.00242,0.585,0.842,0.00686,0.0866,-5.883,0.0556,118.211,9,0,237039,0.428,4,"2takcwOaAZWiXQijPHIx7B","alternative rock","modern rock","permanent wave","rock",NA
"Maps","Maroon 5","V","2014-09-02",87,0.0205,0.742,0.713,0,0.059,-5.522,0.0303,120.032,1,0,189960,0.879,4,"4gbVRS8gloEluzf0GzDOFc","pop",NA,NA,NA,NA
"Hall of Fame (feat. will.i.am)","The Script","#3 Deluxe Version","2012-09-10",84,0.0654,0.421,0.873,0,0.123,-4.343,0.0564,84.786,10,1,202533,0.629,4,"7wMq5n8mYSKlQIGECKUgTX","celtic rock","pop",NA,NA,NA
"Safe And Sound","Capital Cities","In A Tidal Wave Of Mystery (Deluxe Edition)","2013",85,0.000176,0.655,0.819,0.00374,0.104,-4.852,0.0316,117.956,0,1,192789,0.766,5,"6Z8R6UsFuGXGtiIxiD8ISb","metropopolis","modern rock",NA,NA,NA
