"track.name","artists","track.album.name","track.album.release_date","track.popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","track.duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"Under The Influence","Chris Brown","Indigo (Extended)","2019-10-04",88,0.0635,0.733,0.69,1.18e-06,0.105,-5.529,0.0427,116.992,9,0,184613,0.31,4,"5IgjP7X4th6nMNDh4akUHb","pop rap","r&b","rap",NA,NA,NA,NA,NA,NA
"SAOKO","ROSALÍA","MOTOMAMI","2022-03-18",71,0.79,0.827,0.768,2.45e-05,0.497,-5.702,0.265,99.988,0,1,137533,0.734,4,"2FYGZDfsAnNsrm1gVbyKnG","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA,NA
"SOLITE PARE (feat. thasup & Sfera Ebbasta)","Sick Luke","X2","2022-01-07",65,0.282,0.66,0.79,0,0.299,-4.344,0.0537,111.071,9,0,211660,0.556,3,"0PQxC8NHgiKXLK3Zm6QoCj","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"Boyz (feat. Nicki Minaj)","Jesy Nelson","Boyz (feat. Nicki Minaj)","2021-10-08",55,0.0547,0.715,0.731,0,0.374,-6.469,0.27,90.034,2,1,179992,0.774,4,"59nbIJxGb1qkrzbtTomZkL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Woo Baby (feat. Chris Brown)","Pop Smoke","Faith","2021-07-16",71,0.359,0.563,0.672,0,0.0972,-7.226,0.0765,99.772,9,0,156000,0.284,4,"58T4yPLn4NjBYXfRxeweyM","brooklyn drill","rap",NA,NA,NA,NA,NA,NA,NA
"Icon","Jaden","SYRE","2017-11-17",70,0.222,0.786,0.82,0,0.575,-5.093,0.232,119.982,9,0,220995,0.49,4,"22nyEAEM29tcBRhukR089b","pop rap","rap",NA,NA,NA,NA,NA,NA,NA
"Obsessed With You","Central Cee","23","2022-02-25",75,0.192,0.746,0.825,0,0.365,-4.457,0.0435,143.062,3,1,108650,0.904,4,"4oxGI8yyghLuMV7ybRG3kg","melodic drill",NA,NA,NA,NA,NA,NA,NA,NA
"FALENA (feat. Franco126, Coez & Ketama126)","Sick Luke","X2","2022-01-07",57,0.161,0.595,0.68,0,0.198,-5.665,0.0553,95.89,0,0,215016,0.235,4,"1FEAEKjVQLZuSeb0omUxep","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA,NA
"Come Through (feat. Chris Brown)","H.E.R.","Come Through (feat. Chris Brown)","2021-04-23",66,0.604,0.615,0.422,0,0.112,-8.019,0.0504,135.859,5,0,214093,0.185,5,"3krZxyBsWEHfEfJegYaWTd","r&b","rap",NA,NA,NA,NA,NA,NA,NA
"Wild Side (feat. Cardi B)","Normani","Wild Side (feat. Cardi B)","2021-07-22",70,0.0249,0.74,0.576,0,0.104,-6.744,0.146,110.095,6,0,209476,0.315,4,"2vXgyN14LX2zl7JEASw242","pop","r&b",NA,NA,NA,NA,NA,NA,NA
"OTW","Khalid","OTW","2018-04-20",74,0.183,0.652,0.678,3.26e-05,0.106,-6.183,0.0541,72.989,2,1,263013,0.28,4,"6Hgh47WXVKtXN5zGOu0hjI","pop","pop r&b",NA,NA,NA,NA,NA,NA,NA
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","INDUSTRY BABY (feat. Jack Harlow)","2021-07-23",81,0.0203,0.736,0.704,0,0.0501,-7.409,0.0615,149.995,3,0,212000,0.894,4,"27NovPIUIRrOZoCHxABJwK","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"USCITO DI GALERA","Lazza","SIRIO","2022-04-07",70,0.188,0.594,0.746,0,0.0991,-5.853,0.137,164.231,7,0,172654,0.0802,4,"01DXwNf1GzEJkYTbXgL0eb","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA,NA,NA
"LA FAMA","ROSALÍA","MOTOMAMI","2022-03-18",79,0.947,0.766,0.295,4.44e-05,0.119,-7.893,0.0464,136.016,0,0,188106,0.805,4,"6Y46tOTRhkBamosyuWa6YX","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA,NA
"EXPERIMENTO","Myke Towers","EXPERIMENTO","2021-09-23",72,0.0828,0.805,0.806,0,0.156,-3.589,0.0393,110.042,6,0,222728,0.682,4,"6c32C8T3KlXrbvWSoD5aON","reggaeton","trap latino","urbano latino",NA,NA,NA,NA,NA,NA
"Already Best Friends (feat. Chris Brown)","Jack Harlow","Thats What They All Say","2020-12-11",70,0.0891,0.873,0.575,0,0.108,-7.284,0.0702,103.005,10,0,197031,0.872,4,"4RKJRRd4VJfZWiqQTYsleE","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA,NA,NA,NA
"Djadja","Aya Nakamura","NAKAMURA","2018-11-02",71,0.0617,0.811,0.797,0,0.112,-5.428,0.165,97.988,5,1,171133,0.541,4,"7sKDftgGirHWTVFMtJoDoh","basshall","pop urbaine","r&b francais",NA,NA,NA,NA,NA,NA
"Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre","Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix]","2020-04-03",74,0.098,0.881,0.661,0.0187,0.101,-7.681,0.0343,124.023,11,0,181306,0.965,4,"5PNvgiKSwMdjBsDsgFCFLX","irish hip hop",NA,NA,NA,NA,NA,NA,NA,NA
"Sexy Bitch (feat. Akon)","David Guetta","One More Love","2010-11-22",79,0.0771,0.813,0.627,0.000616,0.131,-5.018,0.0486,130.011,11,0,195853,0.801,4,"127uq83uGFapbddqiMUKky","big room","dance pop","edm","pop","pop dance",NA,NA,NA,NA
"CHICKEN TERIYAKI","ROSALÍA","MOTOMAMI","2022-03-18",66,0.454,0.788,0.4,0.000141,0.0686,-6.454,0.115,97.936,2,1,122226,0.558,4,"6hH6QJ9ZAO0Z6m7PfvLoXW","latin viral pop","pop","r&b en espanol",NA,NA,NA,NA,NA,NA
"Brividi","Mahmood","Brividi","2022-02-02",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,7,1,199146,0.342,4,"1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA,NA
"Chocolat","Ya Levis","LCLM :Prélude","2021-06-25",58,0.443,0.742,0.496,1.82e-05,0.313,-5.674,0.198,152.994,9,0,221213,0.676,4,"5DlEHbXTtsbmbRjcrv4xL8","r&b francais",NA,NA,NA,NA,NA,NA,NA,NA
