"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Starlight","Dave","Starlight","2022","Spring",78,0.341,0.954,0.367,5.48e-06,0.0979,-9.551,0.288,124.026,"4","0",211935,0.372,"4","531KGXtBroSrOX9LVmiIgc","uk hip hop",NA,NA,NA,NA,NA,NA,NA
"2","Iris","The Goo Goo Dolls","Dizzy up the Girl","1998","Autumn",87,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,"11","0",289533,0.497,"3","6Qyc6fS4DsZjB2mRW9DsQs","neo mellow","permanent wave","pop rock","post-grunge",NA,NA,NA,NA
"3","MEMORIES!","347aidan","TROUBLED MEMORIES!","2021","Summer",74,0.757,0.835,0.381,4.59e-06,0.121,-6.121,0.342,154.973,"9","1",137806,0.31,"4","27XMmSWSOXJ7eVb40tH93T","sad rap",NA,NA,NA,NA,NA,NA,NA
"4","Don't Stop Believin'","Journey","Escape (Bonus Track Version)","1981","missing",86,0.127,0.5,0.748,0,0.447,-9.072,0.0363,118.852,"4","1",250986,0.514,"4","4bHsxqR3GMrXTxEPLuK5ue","album rock","classic rock","hard rock","heartland rock","mellow gold","rock","soft rock",NA
"5","Television / So Far So Good","Rex Orange County","Apricot Princess","2017","Spring",77,0.592,0.403,0.505,0,0.121,-7.75,0.0463,164.902,"5","1",262600,0.32,"4","27rZYxE4l21wTaovX4WTnI","bedroom pop","pov: indie",NA,NA,NA,NA,NA,NA
"6","As the World Caves In","Matt Maltese","As the World Caves In","2017","Spring",74,0.365,0.331,0.45,0.00464,0.22,-5.362,0.034,123.829,"10","1",218754,0.18,"4","4JE6agBLHGA5TaF6FlqfBD","indie anthem-folk","indie pop","pov: indie",NA,NA,NA,NA,NA
"7","505","Arctic Monkeys","Favourite Worst Nightmare","2007","Spring",88,0.00287,0.526,0.866,7.78e-05,0.0945,-5.822,0.0568,140.266,"0","1",253586,0.248,"4","0BxE4FqsDD1Ot4YuBXwAPp","garage rock","modern rock","permanent wave","rock","sheffield indie",NA,NA,NA
"8","Lost","Frank Ocean","channel ORANGE","2012","Summer",86,0.0272,0.913,0.603,0.000503,0.167,-4.892,0.226,123.061,"8","1",234093,0.497,"4","3GZD6HmiNUhxXYf8Gch723","lgbtq+ hip hop","neo soul",NA,NA,NA,NA,NA,NA
"9","Demons","Imagine Dragons","Night Visions","2012","Autumn",87,0.19,0.505,0.71,0.00025,0.269,-3.015,0.0321,89.938,"3","1",177506,0.428,"4","5qaEfEh1AtSdrdrByCP7qR","modern rock","pop","rock",NA,NA,NA,NA,NA
"10","Can't Help Falling in Love","Elvis Presley","Blue Hawaii","1961","Autumn",82,0.941,0.396,0.293,0.000196,0.105,-14.062,0.0275,100.307,"2","1",182360,0.343,"3","44AyOl4qVkzS48vBsbNXaC","rock-and-roll","rockabilly",NA,NA,NA,NA,NA,NA
"11","Mr. Brightside","The Killers","Hot Fuss","2004","missing",88,0.00121,0.352,0.911,0,0.0995,-5.23,0.0747,148.033,"1","1",222973,0.236,"4","003vvx7Niy0yvhvHt4a68B","alternative rock","dance rock","modern rock","permanent wave","rock",NA,NA,NA
"12","All of Me","John Legend","Love In The Future (Expanded Edition)","2013","Summer",87,0.922,0.422,0.264,0,0.132,-7.064,0.0322,119.93,"8","1",269560,0.331,"4","3U4isOIWM3VvDubwSI3y7a","neo soul","pop","pop soul","urban contemporary",NA,NA,NA,NA
"13","Dakota","Stereophonics","Language.Sex.Violence.Other?","2005","Winter",72,0.129,0.506,0.93,0.00682,0.0931,-3.499,0.0675,146.994,"4","1",297426,0.305,"4","3qaSqrrevBrb84xl5JlptU","britpop","modern rock","welsh rock",NA,NA,NA,NA,NA
"14","Sweater Weather","The Neighbourhood","I Love You.","2013","Spring",73,0.0426,0.613,0.808,0.0159,0.102,-2.851,0.0346,124.037,"10","1",240426,0.38,"4","0cQVqPuHQP4KEwc7ZUQmj6","modern alternative rock","modern rock","pop","pov: indie",NA,NA,NA,NA
"15","We Are Young (feat. Janelle Monáe)","fun.","Some Nights","2012","Winter",80,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,"10","1",250626,0.735,"4","5rgy6ghBq1eRApCkeUdJXf","baroque pop","metropopolis",NA,NA,NA,NA,NA,NA
"16","Runaway","AURORA","All My Demons Greeting Me As A Friend (Deluxe)","2016","Spring",80,0.629,0.422,0.302,7.83e-05,0.104,-9.214,0.0372,114.089,"11","1",248826,0.123,"4","1v1oIWf2Xgh54kIWuKsDf6","art pop","norwegian pop",NA,NA,NA,NA,NA,NA
"17","Ride","Twenty One Pilots","Blurryface","2015","Spring",85,0.00835,0.645,0.713,0,0.113,-5.355,0.0393,74.989,"6","1",214506,0.566,"4","2Z8WuEywRWYTKe1NybPQEW","modern rock","pop","pov: indie","rock",NA,NA,NA,NA
