"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11"
"1","In The Heat Of The Morning","The Last Shadow Puppets","The Age Of The Understatement","2008","Spring",56,3.04e-05,0.339,0.881,4.83e-05,0.119,-6.524,0.0668,126.367,"7","1",161333,0.59,"4","2pAm0eho3UtxAK1bsRuOK7","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"2","Miracle Aligner","The Last Shadow Puppets","Everything You've Come To Expect (Deluxe Edition)","2016","Winter",64,0.0124,0.562,0.724,1.42e-06,0.223,-8.627,0.0271,113.056,"6","0",245727,0.855,"4","4iwpCp7qdDLngGI3gsVTza","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"3","Wet Sand","Red Hot Chili Peppers","Stadium Arcadium","2006","Spring",68,0.0313,0.313,0.753,2.25e-06,0.142,-3.921,0.0285,176.748,"4","0",309800,0.514,"4","3L2Nyi3T7XabH8EEZFLDdX","alternative rock","funk metal","funk rock","permanent wave","rock",NA,NA,NA,NA,NA,NA
"4","Norwegian Wood (This Bird Has Flown) - Remastered 2009","The Beatles","Rubber Soul (Remastered)","1965","Winter",74,0.183,0.425,0.369,0.00126,0.112,-11.876,0.0379,176.625,"4","1",124693,0.65,"3","1H7gMYGykdtwZOV6s1N0by","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"5","Make It Wit Chu","Queens of the Stone Age","Era Vulgaris","2007","Winter",66,0.413,0.708,0.828,0.000104,0.12,-5.286,0.0286,91.977,"9","1",290493,0.505,"4","6GyDY0yE47rfk8pcuKhioh","alternative metal","alternative rock","grunge","modern rock","nu metal","palm desert scene","rock","stoner metal","stoner rock",NA,NA
"6","Little Wing","Jimi Hendrix","Axis: Bold As Love","1967","Winter",74,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.0768,70.776,"6","1",145746,0.426,"4","1Eolhana7nKHYpcYpdVcT5","acid rock","album rock","alternative rock","classic rock","hard rock","proto-metal","psychedelic rock","rock",NA,NA,NA
"7","Touch Me","The Doors","The Soft Parade","1969","Summer",68,0.405,0.425,0.903,0.0128,0.117,-4.801,0.0732,108.748,"1","1",190253,0.769,"4","4BVE5tIIpYabZcYCbephNW","acid rock","album rock","classic rock","hard rock","psychedelic rock","rock",NA,NA,NA,NA,NA
"8","Kids","MGMT","Oracular Spectacular","2007","Winter",80,0.00076,0.451,0.931,0.0049,0.361,-3.871,0.0719,122.961,"9","1",302840,0.172,"4","1jJci4qxiYcOHhQR247rEU","alternative rock","indie rock","indietronica","modern rock","rock",NA,NA,NA,NA,NA,NA
"9","Don't Let Me Down - Remastered 2009","The Beatles","The Beatles 1967 - 1970 (Remastered)","1973","Spring",69,0.568,0.593,0.289,0.000829,0.0928,-11.049,0.0259,77.119,"4","1",215733,0.733,"4","3evG0BIqEFMMP7lVJh1cSf","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
"10","Gas Dance","The Last Shadow Puppets","Standing Next To Me","2008","Summer",45,0.0801,0.354,0.708,0.00227,0.135,-7.472,0.0441,130.449,"0","1",219880,0.475,"4","3GVF9xpMZfIWDjpOszCc0g","baroque pop","modern rock","sheffield indie",NA,NA,NA,NA,NA,NA,NA,NA
"11","Hurdy Gurdy Man","Donovan","The Hurdy Gurdy Man","1968","missing",58,0.00379,0.405,0.463,0.0442,0.392,-16.167,0.0542,79.451,"0","1",193466,0.542,"4","7AL6qzIDHIX7pEUWrzNiIs","british blues","british folk","british invasion","classic rock","folk","folk rock","glam rock","psychedelic folk","psychedelic rock","scottish singer-songwriter","singer-songwriter"
"12","Jumpin' Jack Flash","The Rolling Stones","Jumpin' Jack Flash / Child Of The Moon","2021","Spring",61,0.0744,0.595,0.885,0.534,0.0844,-7.688,0.0518,137.243,"3","1",222933,0.643,"4","1uBsu3PbD2909UBIfEMLvK","album rock","british invasion","classic rock","rock",NA,NA,NA,NA,NA,NA,NA
"13","Helter Skelter - Remastered 2009","The Beatles","The Beatles (Remastered)","1968","Autumn",62,0.000606,0.166,0.831,0.846,0.811,-8.469,0.0894,167.518,"9","1",269786,0.281,"4","0Bs0hUYxz7REyIHH7tRhL2","beatlesque","british invasion","classic rock","merseybeat","psychedelic rock","rock",NA,NA,NA,NA,NA
