"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"1","GIOVANI MAI","MOBRICI","GIOVANI MAI","2022","Spring",29,0.0612,0.538,0.95,0,0.149,-3.407,0.0416,143.968,"9","1",165081,0.843,"4","2zK7t7ZyzdykkkgdXPlD9t","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"2","The Death Of You And Me","Noel Gallagher's High Flying Birds","Back the Way We Came: Vol. 1 (2011 - 2021)","2021","Summer",32,0.213,0.558,0.79,0.000147,0.356,-3.603,0.0267,106.004,"8","0",208653,0.328,"4","4HL5kksHJkDyK62XiHEEEQ","britpop",NA,NA,NA,NA,NA,NA,NA,NA
"3","Put On A Smile","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",61,0.0471,0.548,0.627,0,0.285,-8.949,0.0409,143.994,"9","1",255455,0.493,"4","5f7UJCMrA1VRLvbPrq1h0G","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"4","nuts","Lil Peep","LIVE FOREVER","2022","Winter",83,0.00872,0.51,0.739,0,0.111,-7.41,0.0415,62.007,"2","1",85360,0.148,"4","4k3xDpAdBuM17mNNHhOZkK","cloud rap","emo rap","lgbtq+ hip hop",NA,NA,NA,NA,NA,NA
"5","Seize the Day","Avenged Sevenfold","City of Evil","2005","Summer",69,0.0168,0.393,0.802,0,0.193,-4.499,0.0367,140.101,"5","1",334066,0.338,"4","7HKRWMTErKh56EIBeFcmdf","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"6","Ain't It The Life","Foo Fighters","There Is Nothing Left To Lose","1999","Autumn",50,0.00272,0.57,0.836,0.645,0.329,-4.58,0.0258,108.866,"0","1",254773,0.303,"4","2ifYUfvMNbXQDPJEyk68rP","alternative metal","alternative rock","modern rock","permanent wave","post-grunge","rock",NA,NA,NA
"7","Leave The Door Open","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",83,0.182,0.586,0.616,0,0.0927,-7.964,0.0324,148.088,"5","1",242096,0.719,"4","02VBYrHfVwfEWXk5DXyf0T","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"8","ANNA MERAVIGLIA","MOBRICI","ANCHE LE SCIMMIE CADONO DAGLI ALBERI","2021","Autumn",39,0.246,0.63,0.741,0,0.0783,-4.464,0.0293,108.022,"2","1",165786,0.461,"4","6j06mxr8BcHnUBAT1AZCbm","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"9","Asteroide","Galeffi","Belvedere","2022","Spring",27,0.0654,0.318,0.578,0,0.192,-6.625,0.0324,185.655,"11","1",196666,0.447,"3","2vqdkRjK9jFvZlawWujKqZ","italian indie pop","rome indie",NA,NA,NA,NA,NA,NA,NA
"10","Carlito's way","TROPICO","Carlito's way","2021","Spring",29,0.204,0.537,0.683,0,0.293,-5.147,0.0591,137.951,"0","1",210121,0.552,"4","6VzhyXPl1DgaWVvjE9Jiuj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","It'll Be OK","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","2000","Autumn",55,0.0061,0.529,0.887,0.0677,0.0938,-3.49,0.0271,98.779,"6","1",306226,0.297,"4","5QYwIidpvmcqBWYx6hy8AT","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"12","20 100","MOBRICI","20 100","2021","Winter",24,0.781,0.48,0.534,0,0.153,-8.146,0.0278,139.973,"7","1",196285,0.379,"4","7E9TgqFHd4he1sEUFQkhLS","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"13","Silk Sonic Intro","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",64,0.097,0.696,0.553,3.91e-06,0.617,-8.702,0.0759,114.993,"1","1",63060,0.674,"4","4K09vJ27xCOreumtSuU6Ao","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"14","PASTA","Tananai","PASTA","2022","Summer",45,0.0675,0.871,0.748,0.0184,0.275,-4.4,0.166,105.018,"6","0",129142,0.517,"4","5s7DyFhIKaE6ZLpjbZ1VNL","italian pop",NA,NA,NA,NA,NA,NA,NA,NA
"15","I Won't See You Tonight Part 1","Avenged Sevenfold","Waking The Fallen","2003","Summer",60,0.000451,0.4,0.719,0.00581,0.218,-5.109,0.0492,129.505,"7","0",538333,0.101,"4","67w1cb9ESAnCGJkC9hW2nO","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"16","The Drugs Don't Work - Remastered 2004","The Verve","This Is Music: The Singles 92-98","2004","Winter",37,0.206,0.443,0.537,0,0.132,-8.643,0.0259,77.46,"0","1",305760,0.194,"4","39HGBiY1Q2jMqDP1eY30V4","britpop","permanent wave","rock","shoegaze",NA,NA,NA,NA,NA
"17","Gli occhi","Frah Quintale","Regardez moi","2017","Autumn",70,0.382,0.661,0.544,0,0.164,-7.528,0.0782,99.783,"4","1",142350,0.768,"4","7L7QYf7S6wg6pseN2C0d6K","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA,NA
"18","TASSISTI DELLA NOTTE","MOBRICI","TASSISTI DELLA NOTTE","2021","Autumn",15,0.307,0.584,0.831,0,0.0801,-3.405,0.0436,132.019,"4","1",225320,0.488,"4","1Cm3jk76uHcCbZVCidOkf3","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"19","Je te laisserai des mots","Patrick Watson","Je te laisserai des mots","2010","Autumn",86,0.989,0.303,0.187,0.489,0.101,-16.757,0.0356,132.731,"2","1",160853,0.213,"4","0V5cvmTKsYmF5FmGGEAfmS","indie folk","indie quebecois",NA,NA,NA,NA,NA,NA,NA
"20","Goodbye Goodbye","Canova","Vivi Per Sempre","2019","Spring",30,0.000472,0.45,0.661,0,0.0982,-2.848,0.0314,134.009,"9","1",229941,0.602,"4","2YdGLaBr53D4J7lnRYtQxN","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"21","After Last Night (with Thundercat & Bootsy Collins)","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",76,0.0297,0.651,0.703,0,0.0608,-8.958,0.0816,140.051,"0","0",249444,0.647,"4","3jiKUMXqwEodB7gVv1RMZU","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"22","Boiler","Limp Bizkit","Chocolate Starfish And The Hot Dog Flavored Water","2000","Autumn",58,0.00393,0.443,0.722,0.0155,0.0373,-6.326,0.0865,111.324,"6","1",420266,0.167,"4","1a3RarhRdrNSTEEERYEFJn","alternative metal","funk metal","nu metal","post-grunge","rap metal","rock",NA,NA,NA
"23","Not Ready to Die - From ""Call of the Dead""","Avenged Sevenfold","Not Ready to Die (From ""Call of the Dead"")","2011","Spring",61,0.000178,0.434,0.984,0.000226,0.08,-6.201,0.123,160.011,"10","1",425264,0.158,"4","6haHIyPMUnVCZn6pHpyzM8","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
"24","MAI SONNO","bnkr44","FARSI MALE A NOI VA BENE","2021","Autumn",29,0.478,0.621,0.681,0,0.0984,-5.829,0.0285,104.012,"1","1",231480,0.521,"4","6UbmLoVVOFzLbOX05JYHPo","hyperpop italiano",NA,NA,NA,NA,NA,NA,NA,NA
"25","Fly As Me","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",63,0.00756,0.783,0.627,0,0.0606,-8.521,0.102,100.025,"2","1",219389,0.48,"4","7suB6D6uKX5DfPukdGaz0W","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"26","Il suonatore Jones","Fabrizio De André","Faber Nostrum","2019","Spring",32,0.00634,0.498,0.653,0,0.227,-5.928,0.0262,144.03,"10","0",209960,0.299,"3","5R7Zbpxe4ZEjl8Lmmc8uEE","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA,NA
"27","CANTAUTORE","MOBRICI","ANCHE LE SCIMMIE CADONO DAGLI ALBERI","2021","Autumn",23,0.071,0.453,0.816,0,0.277,-4.45,0.0328,149.89,"7","1",178600,0.54,"4","69hNB559u9OVfsH08yMuUh","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"28","As It Was","Harry Styles","Harry's House","2022","Spring",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,"6","0",167303,0.662,"4","4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA,NA,NA,NA
"29","Love's Train","Bruno Mars","An Evening With Silk Sonic","2021","Autumn",62,0.0396,0.711,0.605,2.29e-05,0.104,-9.801,0.031,140.981,"6","0",307014,0.807,"4","2ALh2jqA7KldpHMUHvRomw","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"30","November Rain","Guns N' Roses","Use Your Illusion I","1991","Autumn",82,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,79.759,"11","1",536066,0.226,"4","3YRCqOhFifThpSRFJ1VWFM","glam metal","hard rock","rock",NA,NA,NA,NA,NA,NA
"31","AMICI COSÌ","MOBRICI","ANCHE LE SCIMMIE CADONO DAGLI ALBERI","2021","Autumn",23,0.0281,0.603,0.782,0,0.403,-5.107,0.0338,104.014,"2","1",223560,0.391,"4","1quqXdfvhKaFm5O3jFwcDp","italian indie pop",NA,NA,NA,NA,NA,NA,NA,NA
"32","Ramen","Canova","Vivi Per Sempre","2019","Spring",33,0.0364,0.561,0.88,0,0.194,-5.434,0.0306,123.99,"7","1",205573,0.474,"4","5za4alYiIyge5uBsDSSGr1","italian alternative","italian indie pop","milan indie",NA,NA,NA,NA,NA,NA
"33","Moth To A Flame (with The Weeknd)","Swedish House Mafia","Paradise Again","2022","Spring",83,0.0027,0.553,0.659,0,0.105,-7.295,0.0391,120.146,"8","1",234000,0.105,"4","0VO8gYVDSwM1Qdd2GsMoYK","edm","pop dance","progressive electro house",NA,NA,NA,NA,NA,NA
"34","Welcome To The Jungle","Guns N' Roses","Appetite For Destruction","1987","Summer",85,0.0195,0.453,0.987,0.283,0.268,-4.485,0.0889,123.544,"8","1",273480,0.316,"4","0G21yYKMZoHa30cYVi1iA8","glam metal","hard rock","rock",NA,NA,NA,NA,NA,NA
"35","Buried Alive","Avenged Sevenfold","Nightmare","2010","Summer",66,0.00116,0.607,0.804,0,0.159,-5.209,0.0296,139.983,"9","0",404386,0.469,"4","4veeNpXDK1YRHMTJ1Cppsg","alternative metal","nu metal",NA,NA,NA,NA,NA,NA,NA
