"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"1","Step By Step","Tedua","Orange County California","2017","Winter",59,0.356,0.707,0.641,0,0.0967,-6.966,0.229,130.914,"4","0",194160,0.674,"4","2XAc52iETi9FAGypO1oZAX","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"2","Shakerando","Rhove","Shakerando","2021","Winter",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,"7","0",195555,0.469,"4","4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA
"3","Blueface (feat. Izi, Tedua)","Disme","Glory Days EP","2021","Autumn",59,0.148,0.483,0.819,0,0.224,-4.404,0.0783,93.331,"8","0",222968,0.528,"3","2Ctj9DfXfh9kW3erTp907i","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA
"4","BABY GODDAMN","Tananai","BABY GODDAMN","2021","Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA
"5","Love Yourself","Justin Bieber","Purpose (Deluxe)","2015","Autumn",86,0.835,0.609,0.378,0,0.28,-9.828,0.438,100.418,"4","1",233720,0.515,"4","50kpGaPAhYJ3sGmk6vplg0","canadian pop","pop",NA,NA,NA
"6","NIGHTTIME (Interlude)","Russ","SHAKE THE SNOW GLOBE","2020","Winter",57,0.34,0.823,0.556,0.00121,0.084,-5.883,0.118,142,"5","0",189866,0.879,"4","1LErJ8H8vJK9uJi66zlvbw","hawaiian hip hop",NA,NA,NA,NA
"7","SOLITE PARE (feat. thasup & Sfera Ebbasta)","Sick Luke","X2","2022","Winter",65,0.282,0.66,0.79,0,0.299,-4.344,0.0537,111.071,"9","0",211660,0.556,"3","0PQxC8NHgiKXLK3Zm6QoCj","italian hip hop","trap italiana",NA,NA,NA
"8","SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE","2022","Winter",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,"0","1",195923,0.659,"4","0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA
"9","OC (California)","Tedua","Orange County California","2017","Winter",53,0.297,0.458,0.705,0,0.149,-6.138,0.254,156.727,"4","1",158093,0.838,"4","78mcS5nv7lZ10qJUfsGbBG","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"10","Slow Dancing in a Burning Room","John Mayer","Continuum","2006","Autumn",77,0.575,0.667,0.361,0.00506,0.0805,-8.69,0.0273,134.018,"1","0",242000,0.29,"5","2jdAk8ATWIL3dwT47XpRfu","neo mellow","singer-songwriter",NA,NA,NA
"11","PIOVE (feat. Sfera Ebbasta)","Lazza","SIRIO","2022","Spring",69,0.232,0.381,0.627,0,0.0803,-5.446,0.114,187.835,"4","0",155862,0.458,"5","6BUueuMQR4k7CuoMEsnGou","italian hip hop","italian pop","rap genovese","trap italiana",NA
"12","Lifestyle","Guè","Fastlife 4","2021","Spring",56,0.133,0.739,0.627,0,0.223,-4.955,0.162,93.591,"6","0",129625,0.196,"4","20XT7TO32dN1s9xtowLPuR","italian hip hop","italian pop",NA,NA,NA
"13","LAPROVINCE #2","Rhove","PROVINCIALE","2022","Summer",58,0.323,0.805,0.588,0,0.126,-6.573,0.301,76.203,"1","1",116500,0.666,"4","19K6cNyRncbtR4SA78bIHa","italian hip hop","italian pop","trap italiana",NA,NA
"14","CRUDELIA - I nervi","Marracash","Persona","2020","Spring",65,0.149,0.547,0.554,0,0.344,-7.563,0.102,82.178,"7","1",230922,0.0702,"3","5dsz7MTrNdN9aMTrnp7sOG","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"15","NOTTE SCURA (feat. Gazzelle & Tedua)","Sick Luke","X2","2022","Winter",54,0.327,0.629,0.597,0,0.148,-6.135,0.208,79.941,"11","1",176360,0.625,"4","7sp2D8wdzeyd3epj5NnlLC","italian hip hop","trap italiana",NA,NA,NA
"16","Ballando Al Buio","Stadio","Di Volpi, Di Vizi E Di Virtu'","1995","Winter",49,0.728,0.57,0.264,9.6e-06,0.123,-10.115,0.0252,103.86,"2","1",255560,0.187,"4","18guzeqW5F4ozVbwIzJbSX","classic italian pop","italian adult pop",NA,NA,NA
"17","Tran Tran","Sfera Ebbasta","Rockstar","2018","Winter",68,0.137,0.774,0.637,0,0.0694,-5.523,0.0332,126.058,"6","0",219733,0.886,"4","3cGuiySfwJPXqvE15OiEEg","italian hip hop","italian pop","trap italiana","trap latino",NA
"18","Corso Europa","Rhove","Corso Europa","2021","Spring",54,0.43,0.838,0.881,0,0.115,-5.436,0.187,142.963,"3","0",132587,0.815,"4","5uzsoxwEGHQe1xcUTrn55e","italian hip hop","italian pop","trap italiana",NA,NA
"19","Fifty Fifty","Tedua","Orange County California","2017","Winter",49,0.0855,0.698,0.796,0,0.0801,-4.068,0.0702,129.943,"4","0",178120,0.273,"4","0WGq2PNjoQ6A3wIew5DhcZ","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"20","LUNA PIENA (con IRAMA)","Rkomi","TAXI DRIVER","2021","Autumn",67,0.405,0.722,0.841,0,0.0876,-3.561,0.0545,99.963,"1","1",166983,0.467,"4","6z7tGTD6yvyloEm6K2H8EX","italian hip hop","italian pop",NA,NA,NA
"21","Wow.","Post Malone","Hollywood's Bleeding","2019","Autumn",84,0.136,0.829,0.539,1.78e-06,0.103,-7.359,0.208,99.96,"11","0",149546,0.388,"4","7xQAfvXzm3AkraOtGPWIZg","dfw rap","melodic rap","pop","rap",NA
"22","Veleno","Guè","GVESVS","2021","Winter",62,0.24,0.793,0.772,3.15e-06,0.145,-6.005,0.0422,94.998,"2","1",194106,0.674,"4","5b5LAmQZx3mKmhL7PQGegi","italian hip hop","italian pop",NA,NA,NA
"23","Ci Vuole Poco","Tedua","Orange County California","2017","Winter",45,0.183,0.692,0.731,0,0.122,-4.467,0.123,113.999,"4","0",259973,0.252,"4","574xzmZpXfuasJUYyZxP5W","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"24","Daddy chocolat","Koba LaD","Cartel : volume 1","2021","Summer",68,0.0693,0.721,0.523,0,0.281,-8.399,0.147,141.034,"7","1",191984,0.757,"4","4IbDTrLxImTJfZePAX2nKB","french hip hop","pop urbaine","rap francais",NA,NA
"25","Yankee Candle","Vegas Jones","Bellaria","2018","Spring",45,0.172,0.775,0.546,3.28e-05,0.132,-8.958,0.283,156.045,"8","0",199989,0.414,"4","3js3i9hDnqzh2qPJxxQh0b","italian hip hop",NA,NA,NA,NA
"26","Rompo (feat. Boro)","VillaBanks","Filtri","2021","Spring",61,0.295,0.7,0.747,9.09e-06,0.0919,-5.25,0.152,174.008,"8","1",169683,0.885,"4","4oPh7HAoMR1bLBbxwqKmgn","italian hip hop","italian pop","trap italiana",NA,NA
"27","Jungle","Tedua","Mowgli","2018","Spring",36,0.0383,0.727,0.794,0,0.0887,-6.491,0.247,127.606,"9","1",206386,0.202,"4","4vy9aDSMkxzTD14JBuvHCj","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"28","Phi","Ernia","68 (Till The End)","2019","Spring",56,0.0328,0.896,0.523,0.0243,0.123,-6.858,0.256,100.008,"1","1",174000,0.0662,"4","0E5bmLyxyiHsmc82D5gsiY","italian hip hop","italian pop","milan indie",NA,NA
"29","Hollywood's Bleeding","Post Malone","Hollywood's Bleeding","2019","Autumn",79,0.331,0.405,0.646,0,0.103,-3.206,0.0476,130.218,"4","0",156266,0.17,"4","7sWRlDoTDX8geTR8zzr2vt","dfw rap","melodic rap","pop","rap",NA
"30","La zone (feat. Shiva)","Rhove","La zone (feat. Shiva)","2021","Summer",63,0.0277,0.868,0.614,0,0.0868,-4.652,0.0607,130.01,"1","0",158769,0.9,"4","2Q1ICiLBk9lmLQz7GhMoWB","italian hip hop","italian pop","trap italiana",NA,NA
"31","La legge del più forte","Tedua","Mowgli","2018","Spring",50,0.217,0.697,0.637,0,0.178,-7.373,0.3,126.678,"7","1",187053,0.403,"4","1fHP9qfz4v4df0XiAppzmf","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"32","Drippin' in Milano","ANNA","Drippin' in Milano","2021","Summer",57,0.0964,0.841,0.772,0,0.136,-3.825,0.199,93.032,"6","0",159989,0.496,"4","1TrjxEcRPHvaLF3saKCSs4","italian hip hop","italian pop",NA,NA,NA
"33","Circles","Post Malone","Hollywood's Bleeding","2019","Autumn",89,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,"0","1",215280,0.553,"4","21jGcNKet2qwijlDFuPiPb","dfw rap","melodic rap","pop","rap",NA
"34","Cenere","Nashley","Cenere","2019","Spring",63,0.683,0.722,0.685,2.52e-05,0.141,-8.815,0.114,109.968,"7","0",170196,0.334,"4","45xyKCey4BM3fMeFEsF1Hp","italian hip hop",NA,NA,NA,NA
"35","Pegaso","Tedua","Orange County California","2017","Winter",46,0.0164,0.72,0.807,0,0.114,-3.627,0.0538,120.992,"9","1",148053,0.27,"4","784slUv6u70VcqKt0zPOpi","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"36","Effe","Tony Effe","Untouchable","2021","Autumn",58,0.00331,0.629,0.808,0.000132,0.0709,-6.101,0.051,96.032,"7","1",151440,0.503,"4","6RQjUikQBjV183yPTvrUvr","italian hip hop","italian pop","trap italiana",NA,NA
"37","Better Now","Post Malone","beerbongs & bentleys","2018","Spring",84,0.331,0.68,0.578,0,0.135,-5.804,0.04,145.038,"10","1",231266,0.341,"4","7dt6x5M1jzdTEt8oCbisTK","dfw rap","melodic rap","pop","rap",NA
"38","Le Donne","Fabri Fibra","Controcultura","2010","Winter",53,0.0996,0.759,0.739,0,0.455,-6.846,0.164,120.02,"6","0",241546,0.584,"4","7HL3nLbwsNGljEi1tivQwe","italian hip hop","italian pop","rap napoletano",NA,NA
"39","PARA' - feat. Tedua","Bresh","CHE IO MI AIUTI","2020","Winter",61,0.18,0.749,0.653,0,0.0812,-8.404,0.107,140.926,"1","1",176008,0.682,"4","4dTZAG78TpWGifu1kMefaF","italian hip hop","italian pop","rap genovese",NA,NA
"40","Borsello (feat. Sfera Ebbasta & DrefGold)","Guè","Sinatra","2018","Autumn",53,0.36,0.77,0.584,0,0.208,-7.453,0.226,154.028,"2","0",202826,0.625,"4","31wSmTMwl9CIr1RQds2Tvy","italian hip hop","italian pop",NA,NA,NA
"41","OLELE","Germo67","OLELE","2022","Summer",11,0.147,0.817,0.634,0.000102,0.0753,-7.12,0.098,119.99,"11","0",162645,0.696,"4","6XaNIlbIZBy0O7ToD9Gr58","r&b italiano",NA,NA,NA,NA
"42","Gravity","John Mayer","Continuum","2006","Autumn",74,0.731,0.753,0.326,0.00131,0.24,-9.883,0.0342,123.799,"7","1",245826,0.237,"3","3SktMqZmo3M9zbB7oKMIF7","neo mellow","singer-songwriter",NA,NA,NA
"43","Paris","Tedua","Don't Panic","2021","Spring",39,0.0321,0.677,0.571,0,0.0995,-9.121,0.38,154.027,"10","0",87531,0.121,"4","7mF9ECkl1LQw0ZnFkHpf87","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"44","Couple (feat. Sasso)","Rhove","PROVINCIALE","2022","Summer",45,0.689,0.89,0.594,0.000142,0.0913,-6.639,0.321,137.948,"10","0",201739,0.786,"4","6RAWZ5VDvRZKscKurY0Lhs","italian hip hop","italian pop","trap italiana",NA,NA
"45","Li struscele","Cantori di Monte Sant'Angelo","All'use antiche","2008","Winter",10,0.808,0.708,0.724,0,0.185,-4.765,0.0495,146.77,"0","0",172053,0.961,"4","4qJu6Cm4fWqg4EHdKz0AOk",NA,NA,NA,NA,NA
"46","Moth To A Flame (with The Weeknd)","Swedish House Mafia","Paradise Again","2022","Spring",83,0.0027,0.553,0.659,0,0.105,-7.295,0.0391,120.146,"8","1",234000,0.105,"4","0VO8gYVDSwM1Qdd2GsMoYK","edm","pop dance","progressive electro house",NA,NA
"47","Colori – feat. Rkomi, Lita","Tedua","Vita Vera Mixtape","2020","Summer",49,0.273,0.812,0.681,0,0.0918,-6.321,0.343,134.909,"7","0",233102,0.209,"4","1FYMHrbdJxiiF4ur4ZrJy2","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"48","LA DOLCE VITA","Fedez","LA DOLCE VITA","2022","Summer",62,0.0124,0.737,0.858,0,0.382,-3.589,0.0527,144.991,"8","1",187862,0.919,"4","0I0b7uTFfHhBz5bMkSDouF","italian adult pop","italian pop",NA,NA,NA
"49","rockstar (feat. 21 Savage)","Post Malone","beerbongs & bentleys","2018","Spring",86,0.124,0.585,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,"5","0",218146,0.129,"4","0e7ipj03S05BNilyu5bRzt","dfw rap","melodic rap","pop","rap",NA
"50","∞ LOVE (feat. Guè)","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",69,0.105,0.726,0.828,0,0.0873,-5.191,0.071,125.002,"7","0",218367,0.307,"4","0HhSB4nAJpI5expWnZL199","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"51","00","Tedua","Orange County California","2017","Winter",45,0.192,0.703,0.766,2.33e-06,0.123,-5.373,0.128,117.997,"0","0",194280,0.388,"4","0KAZ6WZunHMQazrZW2hhst","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"52","Whiskey (feat. A$AP Rocky)","Maroon 5","Red Pill Blues (Deluxe)","2018","Summer",45,0.735,0.604,0.405,0,0.105,-8.279,0.0597,103.98,"10","1",210422,0.0861,"4","33GjvFhe7CEj40gVDOwT1J","pop",NA,NA,NA,NA
"53","SEVEN 7oo (feat. Rondodasosa, Sacky, Vale Pain, Neima Ezza, Kilimoney, Keta, Nko)","SEVEN 7oo","SEVEN 7oo (feat. Rondodasosa, Sacky, Vale Pain, Neima Ezza, Kilimoney, Keta, Nko)","2021","Winter",51,0.169,0.609,0.711,0,0.267,-4.764,0.163,137.82,"10","0",209565,0.439,"4","2KYLg9El0wzvX4S13CDoZf","drill italiana",NA,NA,NA,NA
"54","Die For Me (feat. Future & Halsey)","Post Malone","Hollywood's Bleeding","2019","Autumn",71,0.19,0.614,0.66,0,0.211,-2.848,0.0441,145.01,"0","1",245266,0.452,"4","2C6WXnmZ66tHhHlnvwePiK","dfw rap","melodic rap","pop","rap",NA
"55","Wasabi Freestyle","Tedua","Orange County California","2017","Winter",51,0.353,0.561,0.655,0,0.118,-5.654,0.338,137.308,"5","0",104120,0.83,"4","05RA4ZuASGj3vmNnhKkIQj","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"56","NUOVO RANGE (con SFERA EBBASTA)","Rkomi","TAXI DRIVER","2021","Autumn",69,0.233,0.68,0.76,0,0.13,-4.866,0.0556,82.54,"1","0",176772,0.709,"4","5YSR0sWUZk7NuIbkycxndu","italian hip hop","italian pop",NA,NA,NA
"57","Candy","VillaBanks","Non Lo So","2019","Autumn",57,0.338,0.95,0.594,0,0.0955,-6.651,0.283,103.012,"7","1",142718,0.632,"4","3a3EzSxWvDno8RpTMv7Xch","italian hip hop","italian pop","trap italiana",NA,NA
"58","Stay","Post Malone","beerbongs & bentleys","2018","Spring",76,0.449,0.507,0.48,0,0.147,-5.418,0.0266,86.046,"5","1",204426,0.35,"4","4H7WNRErSbONkM06blBoGc","dfw rap","melodic rap","pop","rap",NA
"59","Pugile","Tedua","Orange County California","2017","Winter",49,0.103,0.774,0.538,0,0.116,-7.218,0.0961,129.057,"4","0",198173,0.461,"4","610JdT4CFgOGOZFHboOhVc","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"60","Copacabana","Rhove","PROVINCIALE","2022","Summer",43,0.227,0.805,0.471,0,0.0914,-6.895,0.307,160.116,"2","1",169937,0.422,"4","5S7fTiSn3bpJF9UMCp9j97","italian hip hop","italian pop","trap italiana",NA,NA
"61","Hangover","Taio Cruz","TY.O (International Version)","2011","Winter",75,0.00872,0.606,0.883,0,0.0698,-3.243,0.0423,128.053,"3","1",244906,0.608,"4","5pmL3RzOy3IvGFaSDi4hZL","dance pop","pop","pop rap",NA,NA
"62","Goodbyes (feat. Young Thug)","Post Malone","Hollywood's Bleeding","2019","Autumn",82,0.456,0.548,0.653,0,0.103,-3.875,0.081,150.068,"5","1",174853,0.163,"4","0t3ZvGKlmYmVsDzBJAXK8C","dfw rap","melodic rap","pop","rap",NA
"63","Vertigini","Tedua","Mowgli","2018","Spring",65,0.164,0.579,0.774,0,0.131,-6.34,0.164,133.722,"5","0",203040,0.476,"4","1Oou7m2VuxCDSOdqsu07TU","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"64","Ti ti ti ti","Rino Gaetano","E Io Ci Sto","1980","Summer",47,0.521,0.537,0.426,0,0.105,-14.487,0.26,153.409,"9","0",197666,0.65,"4","5UhAB2aZrLnBeo50TYo23S","canzone d'autore","classic italian pop","italian adult pop",NA,NA
"65","Blueberry Faygo","Lil Mosey","Certified Hitmaker","2020","Winter",77,0.207,0.774,0.554,0,0.132,-7.909,0.0383,99.034,"0","1",162546,0.349,"4","22LAwLoDA5b4AaGSkg6bKW","melodic rap","rap conscient",NA,NA,NA
"66","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","Hollywood's Bleeding","2019","Autumn",86,0.533,0.755,0.522,0,0.0685,-4.368,0.0575,89.96,"2","1",157560,0.925,"4","0RiRZpuVRbi7oqRdSMwhQY","dfw rap","melodic rap","pop","rap",NA
"67","Acqua (Malpensandoti)","Tedua","Mowgli","2018","Spring",49,0.0396,0.807,0.582,0,0.106,-5.522,0.0415,100.005,"5","0",261360,0.34,"4","7ptjE5B67m9zEyB7Mbr44s","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"68","PEZZI DA 20 (feat. Emis Killa & Side Baby)","Sick Luke","X2","2022","Winter",44,0.279,0.797,0.871,0,0.0807,-5.097,0.292,95.038,"1","0",140210,0.593,"4","6rVkw5cFGPRnvK88p6Rs1C","italian hip hop","trap italiana",NA,NA,NA
"69","Forte","Gemitaiz","Nonostante Tutto","2016","Winter",62,0.148,0.775,0.661,0.00132,0.0857,-6.819,0.235,100.022,"7","1",207322,0.397,"4","5G6jHSoLrzhtPBhS2gMvfW","italian hip hop",NA,NA,NA,NA
"70","Eravamo Re","Guè","Vero","2015","Summer",60,0.496,0.601,0.514,0,0.123,-9.545,0.432,87.621,"10","1",182232,0.328,"4","6VwGytUkC11Mj5kcHXggYj","italian hip hop","italian pop",NA,NA,NA
"71","Natura","Tedua","Mowgli","2018","Spring",38,0.0844,0.765,0.722,0,0.0767,-6.463,0.2,104.005,"7","1",199320,0.502,"4","6x8apgICRI8BzyNqnwcOIF","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"72","Harley Quinn","Highsnob","Harley Quinn","2017","Spring",52,0.0276,0.735,0.702,1.31e-06,0.213,-6.204,0.0761,139.991,"4","0",212571,0.176,"4","7vzPsgWRXO22GSbqTcPOrx","italian hip hop",NA,NA,NA,NA
"73","IO","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",60,0.408,0.733,0.595,0,0.269,-7.17,0.04,120.005,"9","1",195560,0.309,"4","52e9HFHtUOfHTET6IrcWUy","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"74","Bling Bling (Oro)","Guè","Sinatra","2018","Autumn",64,0.0412,0.693,0.731,0.000119,0.0812,-6.149,0.0372,97.959,"10","0",208506,0.419,"4","11AXfsh0V6zCCU7Po6kQiY","italian hip hop","italian pop",NA,NA,NA
"75","Buste Della Spesa","Tedua","Orange County California","2017","Winter",54,0.0252,0.643,0.674,0,0.0909,-5.831,0.26,159.976,"3","0",194133,0.474,"4","0AQM2u3y5mOBaAnyP9LhSO","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"76","CULT","Emis Killa","CULT","2016","Summer",32,0.14,0.774,0.863,0,0.101,-4.448,0.13,100.011,"1","1",225639,0.495,"4","2qZKzHdBJGrEVNlYV7LH6s","italian hip hop","italian pop",NA,NA,NA
"77","Bastavano Le Briciole","Marracash","Marracash","2008","Winter",49,0.0279,0.762,0.625,0,0.0519,-5.999,0.217,87.008,"1","1",233133,0.507,"4","7JcZl2MI6WlcqakhbVYJp8","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"78","DIRTY RMX","Ketama126","KETY REBORN","2020","Summer",40,0.00395,0.94,0.681,2.37e-05,0.429,-5.881,0.259,127.983,"8","1",187734,0.26,"4","7eRAADjLnamHPbh3non7Th","drill italiana","emo rap italiano","italian hip hop","trap italiana",NA
"79","Al lupo al lupo","Tedua","Mowgli","2018","Spring",38,0.0268,0.565,0.74,0,0.117,-6.225,0.148,148.298,"0","1",199200,0.14,"4","6l5bBEVyITiWlD4wtre4ee","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"80","Heavy (feat. Kiiara)","Linkin Park","One More Light","2017","Spring",71,0.0484,0.59,0.671,0,0.0604,-6.098,0.0706,149.982,"9","1",169800,0.438,"4","104buTcnP2AsxqB7U1FIZ4","alternative metal","nu metal","post-grunge","rap metal","rock"
"81","CRAZY LOVE","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",68,0.224,0.725,0.713,2.13e-05,0.104,-5.958,0.0484,123.003,"9","0",192688,0.392,"4","2p5OyhSm5fS90n0Q7R3r6D","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"82","Glory Days (feat. Bresh)","Disme","Glory Days (feat. Bresh)","2021","Summer",44,0.0598,0.462,0.847,0,0.363,-5.264,0.118,106.958,"5","1",160931,0.582,"5","1UZbZrPjCFs7izXTBAXFUF","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA
"83","Circonvalley","Tedua","Orange County California","2017","Winter",51,0.0662,0.727,0.623,0,0.111,-6.864,0.072,129.87,"9","1",150626,0.399,"4","22hwy86Bxy2wnhCrvmanN3","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"84","Thinking out Loud","Ed Sheeran","x (Deluxe Edition)","2014","Summer",85,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,"2","1",281560,0.591,"4","34gCuhDGsG4bRPIf9bb02f","pop","singer-songwriter pop","uk pop",NA,NA
"85","La Famiglia (feat. 8blevrai, Kassimi, Yunes LaGrintaa, Sisco, Néza & Nabi)","Rhove","PROVINCIALE","2022","Summer",52,0.168,0.829,0.761,0.000139,0.0938,-6.374,0.186,142.908,"10","0",309650,0.817,"4","3I8BqKLrfzZk1oGRe2pcnV","italian hip hop","italian pop","trap italiana",NA,NA
"86","Lalala","Y2K","Lalala","2019","Summer",75,0.178,0.843,0.39,0,0.137,-7.899,0.0846,129.972,"2","1",160626,0.495,"4","51Fjme0JiitpyXKuyQiCDo","pop rap","viral rap",NA,NA,NA
"87","Revolver Freestyle","Tedua","Orange County California","2017","Winter",47,0.522,0.588,0.766,0,0.106,-5.239,0.136,139.623,"7","0",292080,0.535,"4","2UxtqVffYR6dF7uotB001G","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"88","2% (feat. Frah Quintale)","Guè","Sinatra","2018","Autumn",66,0.237,0.754,0.602,0,0.151,-6.785,0.428,82.043,"10","0",211840,0.587,"4","5ODlTG5qxhCsC05E36Rv25","italian hip hop","italian pop",NA,NA,NA
"89","La Haine","Rhove","PROVINCIALE","2022","Summer",46,0.729,0.735,0.456,0,0.147,-11.233,0.436,91.791,"6","0",172173,0.865,"4","7BW4fxpnJjIU1ETT6pdSJW","italian hip hop","italian pop","trap italiana",NA,NA
"90","CRY LATER (feat. Sfera Ebbasta & Luchè)","Noyz Narcos","VIRUS","2022","Winter",56,0.505,0.703,0.885,0,0.18,-5.277,0.138,92.041,"0","0",174619,0.669,"4","6rY8VQS4hEgdG3OqKd9lBJ","italian hip hop","italian underground hip hop",NA,NA,NA
"91","Rital","Tedua","Mowgli","2018","Spring",36,0.0517,0.865,0.717,0,0.0969,-6.185,0.294,115.93,"4","0",203413,0.661,"4","4JFfGMEjMhmlwtdmh5JQiJ","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana"
"92","S.e.n.i.c.a.r.","Marracash","King Del Rap","2011","Winter",62,0.234,0.653,0.903,0,0.106,-2.723,0.0382,142.025,"1","0",205720,0.764,"4","4emN0MkKDuGAdeDGxBlAML","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA
"93","Montpellier","Rhove","Montpellier","2021","Spring",57,0.154,0.666,0.443,0,0.237,-11.047,0.513,88.644,"7","1",130949,0.667,"4","0B6URTmcGaWaXCnBtRiDGR","italian hip hop","italian pop","trap italiana",NA,NA
