"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"1","Tienaté","Nu Genea","Bar Mediterraneo","2022","Spring",59,0.096,0.699,0.806,0.00839,0.349,-7.428,0.0507,118.806,"0","1",278029,0.953,"4","1SIXMGcsAeA6sNxaY1EG3O","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA,NA,NA
"2","Nessuno","Mina","Nessuno","2016","Autumn",43,0.843,0.663,0.614,5.81e-06,0.0744,-3.598,0.0323,126.613,"10","1",134160,0.863,"4","1vt6JdBvAorAqUCoiwgRb9","classic italian pop","italian adult pop","italian pop","ye ye",NA,NA,NA,NA,NA
"3","Marechià","Nu Genea","Bar Mediterraneo","2022","Spring",56,0.124,0.719,0.832,0.0726,0.0697,-7.412,0.0366,110.077,"1","0",264296,0.961,"4","3NYm3ZimuJNb0Z0px5OEwO","indie napoletano","neapolitan funk",NA,NA,NA,NA,NA,NA,NA
"4","The Piano Duet","Various Artists","Tim Burton's Corpse Bride Original Motion Picture Soundtrack (U.S. Release)","2005","Autumn",62,0.99,0.475,0.0931,0.951,0.0899,-20.771,0.0532,134.217,"2","0",113306,0.188,"4","2CPnPnfbCMESaNpBQbeA0X",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Toumast","Ahmoudou Madassane","Zerzura (Original Soundtrack Recording)","2018","Autumn",26,0.323,0.428,0.714,0.473,0.174,-6.894,0.116,153.105,"2","0",158000,0.764,"3","1P2RbLiuEHhRQM6gfFeTCP","tuareg guitar",NA,NA,NA,NA,NA,NA,NA,NA
"6","Mujeriego","Ryan Castro","Mujeriego","2021","Winter",72,0.0628,0.758,0.621,0,0.0809,-8.033,0.125,79.949,"9","1",142500,0.92,"4","78kygHp1dvW1kncYjBgbe1","reggaeton","trap colombiano","trap latino","urbano latino",NA,NA,NA,NA,NA
"7","telepatía","Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ∞","2020","Winter",85,0.112,0.653,0.524,0,0.203,-9.016,0.0502,83.97,"11","0",160191,0.553,"4","6tDDoYIxWvMLTdKpjFkc1B","colombian pop",NA,NA,NA,NA,NA,NA,NA,NA
"8","I Believe to My Soul","Ray Charles","The Genius Sings the Blues","1961","missing",54,0.91,0.578,0.156,1.47e-06,0.114,-14.07,0.0348,143.431,"3","0",181373,0.36,"4","59Sz3l6T9qTWsa8Smv2ve1","classic soul","jazz blues","piano blues","soul","soul blues","vocal jazz",NA,NA,NA
"9","Werewolf Disco Club","I Hate Models","Werewolf Disco Club","2021","Autumn",50,0.00218,0.622,0.923,0.821,0.12,-5.224,0.0385,146.004,"9","1",563840,0.214,"4","5EiohoCxbWCOyN1oq8PD2e","dark techno","french techno","industrial techno",NA,NA,NA,NA,NA,NA
"10","Arp","Contrefaçon","Mydriaze","2019","Autumn",33,0.193,0.395,0.961,0.114,0.295,-4.689,0.346,132.69,"2","1",227777,0.309,"4","7JbFm13xlBVdiezYmRTHGZ","french indietronica",NA,NA,NA,NA,NA,NA,NA,NA
