"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"1","SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE",2022,"Winter",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,"0","1",195923,0.659,"4","0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA,NA,NA
"2","BABY GODDAMN","Tananai","BABY GODDAMN",2021,"Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"3","Terra","Eugenio In Via Di Gioia","Terra",2022,"Spring",28,0.331,0.575,0.771,0,0.052,-3.686,0.0468,79.642,"2","1",205730,0.646,"4","29iL8l3TjxN6W0SDCUTsms","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"4","Ricordi","Pinguini Tattici Nucleari","Ricordi",2022,"Autumn",61,0.101,0.678,0.656,0,0.227,-5.97,0.0349,135.012,"9","1",202560,0.597,"4","6Tj82tvIsDmfMTskuomuEq","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA
"5","Umano","Eugenio In Via Di Gioia","Umano",2021,"Autumn",26,0.289,0.615,0.817,0,0.336,-5.76,0.0637,78.974,"1","0",195044,0.647,"4","0y9EISDgybK8rz6tn0j2db","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"6","Brividi","Mahmood","Brividi",2022,"Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA
"7","Extasi","Fred De Palma","Extasi",2022,"Summer",67,0.0508,0.859,0.776,1.07e-06,0.0263,-4.028,0.0749,130.008,"0","1",157846,0.222,"4","6ojrj2NSj3EkMm05yiuaMG","italian adult pop","italian pop",NA,NA,NA,NA,NA
"8","SAPORE – with Tedua","Fedez","DISUMANO",2021,"Autumn",57,0.061,0.76,0.692,2.8e-06,0.303,-6.243,0.113,125.041,"5","1",195480,0.482,"4","6DWJhb5KfEbOOXlEcpqfh6","italian adult pop","italian pop",NA,NA,NA,NA,NA
"9","Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe",2022,"Spring",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,"11","0",212966,0.948,"4","7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA
"10","Quarta rivoluzione industriale (con Elio)","Eugenio In Via Di Gioia","Amore e Rivoluzione",2022,"Spring",30,0.398,0.719,0.831,0,0.352,-4.092,0.122,133.927,"0","0",252280,0.84,"4","3UjdfDsshwdeGZgkvGDouB","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"11","Leggermente","Galeffi","Belvedere",2022,"Spring",40,0.0767,0.583,0.82,0,0.405,-5.501,0.0388,99.004,"4","0",227624,0.437,"4","46yB0circwzdvnVlv67WvM","italian indie pop","rome indie",NA,NA,NA,NA,NA
"12","!ly (feat. Coez)","thasup","c@ra++ere s?ec!@le",2022,"Autumn",63,0.247,0.764,0.725,0,0.122,-5.262,0.0513,126.565,"7","1",206494,0.676,"4","60r5kXIqq9d89Y6SsNQC6o","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"13","SIAMO DI UN ALTRO PIANETA","Random","SIAMO DI UN ALTRO PIANETA",2021,"Summer",53,0.0393,0.76,0.698,0,0.104,-5.322,0.257,129.886,"6","1",181786,0.624,"4","2N4HQV7JawhkLDxsxUcN3W","italian adult pop",NA,NA,NA,NA,NA,NA
"14","ESAGERATA","Tananai","ESAGERATA",2021,"Winter",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,"0","1",198782,0.407,"4","6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA,NA,NA,NA
"15","Virale","Matteo Romano","Virale",2022,"Winter",52,0.0306,0.651,0.569,0,0.104,-5.821,0.0439,137.895,"7","0",184560,0.547,"4","2UaTiaxdp9uaRb6fMy8qpR","italian pop",NA,NA,NA,NA,NA,NA
"16","You Make Me So Happy","Alfa","You Make Me So Happy",2022,"Summer",54,0.0892,0.762,0.803,0,0.112,-3.623,0.0348,119.989,"10","1",142062,0.857,"4","7qHjjgaBZxth738ejGDqhw","pop virale italiano",NA,NA,NA,NA,NA,NA
"17","VIOLA – with Salmo","Fedez","VIOLA – with Salmo",2022,"Autumn",52,0.0279,0.63,0.748,0,0.214,-4.497,0.0802,92.938,"10","1",182338,0.906,"4","6UMOpKOam549hPEhpLtS9L","italian adult pop","italian pop",NA,NA,NA,NA,NA
"18","PANICO (feat. Takagi & Ketra)","Lazza","SIRIO",2022,"Spring",71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,"4","0",188564,0.258,"4","0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"19","Apatico","Matteo Romano","Apatico",2022,"Spring",38,0.0229,0.763,0.599,0,0.0713,-5.335,0.0697,88.018,"0","1",174600,0.543,"4","4uTvCzchzVQZUko6c6q0I2","italian pop",NA,NA,NA,NA,NA,NA
"20","Vieni nel mio cuore","Ultimo","Vieni nel mio cuore",2022,"Spring",57,0.248,0.677,0.66,0,0.177,-7.104,0.0462,127.087,"1","1",172761,0.253,"4","0OHD6Ask31KqVqxge0OwlG","italian adult pop","italian pop",NA,NA,NA,NA,NA
"21","Shakerando","Rhove","Shakerando",2021,"Winter",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,"7","0",195555,0.469,"4","4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA
"22","farfalle","sangiovanni","farfalle",2022,"Winter",59,0.0927,0.733,0.784,0,0.195,-5.211,0.0606,120.016,"3","1",164000,0.377,"4","5HujDMiRNqZwEzVAh3oFD3","italian adult pop","italian pop",NA,NA,NA,NA,NA
"23","USCITO DI GALERA","Lazza","SIRIO",2022,"Spring",70,0.188,0.594,0.746,0,0.0991,-5.853,0.137,164.231,"7","0",172654,0.0802,"4","01DXwNf1GzEJkYTbXgL0eb","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"24","Ascolta","gIANMARIA","Ascolta",2021,"Summer",51,0.544,0.852,0.416,1.07e-05,0.0939,-9.306,0.268,126.966,"0","1",154960,0.736,"4","2tX4EAq6MsQcncVfrNE1EP","emo trap italiana","italian pop",NA,NA,NA,NA,NA
"25","Cerchi","Eugenio In Via Di Gioia","Natura Viva",2019,"Spring",37,0.6,0.65,0.82,3.96e-05,0.38,-5.501,0.101,109.851,"4","0",230493,0.735,"4","0WGgNVPXpIdh7Pm9s7CCck","indie folk italiano","italian alternative","italian indie pop","turin indie",NA,NA,NA
"26","Come nelle canzoni","Coez","Volare",2022,"Spring",59,0.252,0.537,0.814,0,0.117,-5.855,0.281,175.878,"7","1",212897,0.505,"5","6Pnziw2QOsrYVJjvXpZ8fZ","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA,NA
