"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","The Thrill","Wiz Khalifa","The Thrill","2020","Autumn",78,0.277,0.817,0.775,0,0.108,-4.767,0.108,126.984,"10","0",234333,0.806,"4","56oGoEjA9eTZYgsttEFKY3","hip hop","pittsburgh rap","pop rap","rap","southern hip hop","trap",NA,NA
"2","LAPROVINCE #2","Rhove","LAPROVINCE #2","2022","Spring",48,0.329,0.745,0.58,0,0.122,-6.628,0.348,76.279,"1","1",116669,0.651,"4","3eBjQXQ5CuRaUbKXj9WIVJ","italian hip hop","italian pop","trap italiana",NA,NA,NA,NA,NA
"3","World Hold On - FISHER Rework","Bob Sinclar","World Hold On (FISHER Rework)","2022","Summer",59,0.00614,0.772,0.882,0.00633,0.136,-5.242,0.0589,127.008,"1","0",178304,0.891,"4","6t180YbVeK9MWrj2zjMr5Z","disco house","filter house",NA,NA,NA,NA,NA,NA
"4","Moves","Big Sean","I Decided.","2017","Winter",59,0.0433,0.812,0.522,0,0.154,-5.287,0.257,75.524,"2","1",142906,0.38,"4","0Fv5N0cHBsl4bzCbollCAS","detroit hip hop","hip hop","pop rap","r&b","rap","trap",NA,NA
"5","GASOLINA","ANNA","GASOLINA","2022","Summer",53,0.0695,0.713,0.862,3.95e-06,0.0847,-2.9,0.0423,130.139,"2","1",145846,0.691,"4","3uaQK6iP56b0oVzFWUO6mn","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"6","California Dreamin' (feat. High Jinx)","Chris Lorenzo","California Dreamin' (feat. High Jinx)","2021","Autumn",72,0.00552,0.685,0.911,0.0247,0.285,-4.977,0.144,128.02,"9","1",196899,0.351,"4","4ASOMWcJUrwEpjJy4GEijz","bass house","house","tech house",NA,NA,NA,NA,NA
"7","Prima di andare via","Neffa","I Molteplici Mondi Di Giovanni, Il Cantante Neffa","2003","Winter",53,0.0518,0.834,0.682,8.06e-06,0.107,-4.286,0.0313,111.002,"4","0",231093,0.944,"4","00b7i3sXa6hlR2ZIDwyNLN","italian adult pop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"8","It's A Killa","FISHER","It's A Killa","2022","Spring",57,0.00354,0.778,0.916,0.00776,0.152,-5.283,0.0433,125.987,"7","1",200028,0.82,"4","0uU5k5t4YZ1NTnwXCPhga2","australian house","house",NA,NA,NA,NA,NA,NA
"9","Bayside","Obskür","Bayside","2020","Autumn",57,0.0121,0.861,0.909,1.42e-05,0.076,-3.944,0.261,124.03,"1","1",329037,0.62,"4","7GhnJwfACNTFXOlyByTWtK","irish electronic",NA,NA,NA,NA,NA,NA,NA
"10","Like A Fool","Various Artists","Begin Again - Music From And Inspired By The Original Motion Picture","2014","Summer",49,0.898,0.704,0.233,0.000157,0.112,-13.689,0.035,114.928,"5","1",144426,0.181,"4","5OlZrp8e7scbytKHePJ4Pp",NA,NA,NA,NA,NA,NA,NA,NA
"11","No Diggity","HÄWK","No Diggity","2022","Winter",60,0.016,0.809,0.777,0.83,0.0721,-8.677,0.0498,125.034,"6","0",218880,0.436,"4","65nn7e1DOFh5MRHHQ7GWBi","stutter house","tech house",NA,NA,NA,NA,NA,NA
"12","Devotion - 2020 Remix","Bingo Players","Devotion (2020 Remix)","2020","Autumn",55,0.00059,0.701,0.802,0.819,0.332,-4.771,0.0451,124.025,"2","1",152131,0.365,"4","039VxfSo5FErqE65169VZL","big room","dutch house","edm","electro house","melbourne bounce","pop dance","progressive electro house","progressive house"
"13","In Da Club Quarantined X","Obskür","In Da Club Quarantined X","2020","Spring",50,0.0543,0.828,0.836,0.283,0.0762,-4.592,0.0761,128.005,"8","1",276567,0.559,"4","17fd6xOo6cZYdeOMfKiFTn","irish electronic",NA,NA,NA,NA,NA,NA,NA
"14","One Thing","Mr. Belt & Wezol","One Thing","2019","Spring",48,0.0917,0.76,0.963,0.477,0.129,-2.006,0.1,125.056,"3","0",157402,0.817,"4","5wRqbS5LWr06yeCy5laI5p","dutch edm","house",NA,NA,NA,NA,NA,NA
"15","Heartless","Kanye West","808s & Heartbreak","2008","Autumn",89,0.0515,0.79,0.647,0,0.248,-5.983,0.136,87.999,"10","0",211000,0.654,"4","4EWCNWgDS8707fNSZ1oaA5","chicago rap","hip hop","rap",NA,NA,NA,NA,NA
"16","Sun Goes Down","Cloonee","Sun Goes Down","2021","Winter",58,0.0339,0.771,0.939,0.000157,0.149,-5.145,0.158,126.036,"7","1",154523,0.635,"4","28cF5QOu0CWdyTt6lYxIeA","tech house",NA,NA,NA,NA,NA,NA,NA
"17","Ventitre","M.E.R.L.O.T","Ventitre","2019","Autumn",46,0.906,0.604,0.27,3.49e-06,0.0923,-17.041,0.14,140.915,"11","1",141363,0.543,"4","6vEFy7TE2d538IFaPtJ9Rz","italian indie pop",NA,NA,NA,NA,NA,NA,NA
"18","A Me Me Piace 'O Blues - Remastered 2008","Pino Daniele","Nero A Metà","1980","missing",50,0.246,0.751,0.896,1.51e-05,0.1,-4.472,0.23,118.433,"11","0",182120,0.91,"4","2Ef73KZoTCmkABkxetqQ17","canzone d'autore","canzone napoletana","classic italian pop","folk rock italiano","italian adult pop",NA,NA,NA
"19","Yeah The Girls","FISHER","Yeah The Girls","2022","Autumn",65,0.00117,0.755,0.968,0.773,0.103,-5.282,0.0424,126.007,"8","1",194310,0.785,"4","2ST4u9GusI2ddDfuMvXA5l","australian house","house",NA,NA,NA,NA,NA,NA
