"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"1","Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe",2022,"Spring",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,"11","0",212966,0.948,"4","7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA
"2","Ricordi","Pinguini Tattici Nucleari","Ricordi",2022,"Autumn",61,0.101,0.678,0.656,0,0.227,-5.97,0.0349,135.012,"9","1",202560,0.597,"4","6Tj82tvIsDmfMTskuomuEq","bergamo indie","italian indie pop","italian pop","milan indie",NA
"3","Give That Wolf A Banana","Subwoolfer","Give That Wolf A Banana",2022,"Winter",57,0.2,0.737,0.526,2.78e-06,0.0884,-10.101,0.0411,124.075,"7","0",171933,0.554,"4","50Cf2eYv8zT3v2HAkwhIiL",NA,NA,NA,NA,NA
"4","ALDO RITMO","Salmo","FLOP",2021,"Autumn",54,0.157,0.807,0.804,0,0.0811,-6.324,0.173,119.992,"1","1",160500,0.532,"4","1kZtyxJakwddLIxfEDDXEx","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA
"5","FUNERAL PARTY (feat. Cosmo & Pop X)","Sick Luke","X2",2022,"Winter",38,0.405,0.735,0.784,0,0.16,-4.544,0.039,107.007,"0","1",236384,0.328,"4","3twgJUY6T6RpP9cWUEdBrR","italian hip hop","trap italiana",NA,NA,NA
"6","Ciao Ciao","La rappresentante di lista","My Mamma",2022,"Winter",51,0.123,0.747,0.819,3.33e-06,0.332,-4.602,0.133,117.994,"4","0",184311,0.636,"4","4nY63p14MsBDJXRRbhFpas","indie siciliano","italian adult pop","italian alternative","italian indie pop","italian pop"
"7","Bocciofili (con Fedez e Mistico)","Dargen D'Amico","Vivere Aiuta A Non Morire",2013,"Winter",48,0.0561,0.673,0.874,0,0.0911,-3.967,0.0876,128.041,"8","1",239253,0.841,"4","1WG95iYndhwzCo7zpitKG6","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano"
"8","Pastello Bianco","Pinguini Tattici Nucleari","AHIA!",2020,"Winter",71,0.451,0.546,0.652,0,0.123,-3.852,0.0339,139.875,"0","1",236417,0.378,"4","0bKDQionn4VKcgNKbs4SWX","bergamo indie","italian indie pop","italian pop","milan indie",NA
"9","SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2",2022,"Winter",55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,"7","1",197009,0.297,"4","3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA
"10","SloMo","Chanel","SloMo",2021,"Winter",61,0.125,0.728,0.814,0.00448,0.0927,-3.29,0.0571,104.962,"1","0",176285,0.594,"4","3XREkzDHsWdBL5tybyCDBH",NA,NA,NA,NA,NA
"11","Dove Si Balla","Dargen D'Amico","Dove Si Balla",2022,"Winter",61,0.176,0.592,0.603,0,0.123,-5.403,0.0933,145.94,"0","1",198082,0.437,"4","3FVa0R2evbgjVOd3bejudr","italian adult pop","italian hip hop","italian pop","milan indie","r&b italiano"
"12","Non contare le ore (feat. LIAM)","DJ Matrix","Non contare le ore (feat. LIAM)",2021,"Autumn",36,0.0197,0.674,0.928,0,0.736,-3.411,0.0426,128.071,"0","1",171093,0.903,"4","51MGJxTW9rIxJlT8Rz3hWV","italian adult pop","italian pop","italo dance",NA,NA
"13","sottacqua","chiamamifaro","sottacqua",2022,"Summer",31,0.0789,0.593,0.898,0,0.156,-4.217,0.0606,145.967,"1","0",201189,0.701,"4","2Pdr33YqelbFwPepOAwBQy",NA,NA,NA,NA,NA
"14","Dentista Croazia","Pinguini Tattici Nucleari","Dentista Croazia",2022,"Summer",54,0.00407,0.587,0.804,0,0.252,-4.832,0.0298,142.017,"5","1",263454,0.435,"4","6aZzB0KaKW6C4W6LMT42LT","bergamo indie","italian indie pop","italian pop","milan indie",NA
"15","Eat Your Salad","Citi Zēni","Eat Your Salad",2022,"Spring",44,0.0121,0.752,0.693,0,0.335,-7.731,0.169,115.031,"11","0",181034,0.591,"4","1ShAVm7yacVov9jHpxvazy","latvian pop",NA,NA,NA,NA
"16","ESAGERATA","Tananai","ESAGERATA",2021,"Winter",43,0.0233,0.753,0.65,9.57e-05,0.104,-5.337,0.0545,115.013,"0","1",198782,0.407,"4","6yRqZK6gIT3zVu3y5JPcaF","italian pop",NA,NA,NA,NA
"17","Pioggia di CBD","chiamamifaro","Post Nostalgia",2022,"Summer",32,0.312,0.655,0.612,0,0.054,-4.285,0.046,79.997,"7","1",190516,0.199,"3","6OAiWagWlBvJC7EHxa1heg",NA,NA,NA,NA,NA
"18","Scrivile Scemo","Pinguini Tattici Nucleari","AHIA!",2020,"Winter",68,0.123,0.617,0.916,0,0.183,-3.538,0.0317,135.091,"9","1",214926,0.552,"4","71r3UlkV7sWvUYjas5paqi","bergamo indie","italian indie pop","italian pop","milan indie",NA
"19","Un Pacco Per Te","Il Pagante","Un Pacco Per Te",2021,"Winter",37,0.181,0.778,0.831,0,0.376,-4.847,0.0508,126.009,"11","0",169523,0.614,"4","60ZYAl00SnD5gzatqjcbRk","italian adult pop","italian pop",NA,NA,NA
"20","Brividi","Mahmood","Brividi",2022,"Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA
"21","Ti amo non lo so dire","Noemi","Ti amo non lo so dire",2022,"Winter",47,0.126,0.594,0.717,0,0.188,-6.087,0.0397,111.05,"2","1",217233,0.398,"4","0ghwEektHMemDGqmOzsNnc","italian adult pop","italian pop",NA,NA,NA
"22","la libertà","rovere","dalla terra a marte",2022,"Winter",37,0.129,0.499,0.762,0,0.0974,-5.791,0.0734,173.015,"1","0",211880,0.561,"4","7mYHGwwaJTLvZ8K3ppVcJM","italian indie pop",NA,NA,NA,NA
"23","La Triste Storia Dei Ragazzi Di Provincia","Il Pagante","Paninaro 2.0",2018,"Autumn",50,0.0102,0.688,0.741,0,0.168,-5.582,0.131,123.013,"6","1",202682,0.61,"4","6GqbjGT2Phm490iW8xPqcF","italian adult pop","italian pop",NA,NA,NA
"24","Chimica","Ditonellapiaga","Chimica",2022,"Winter",43,0.0344,0.671,0.736,0,0.0885,-6.436,0.288,160.038,"5","0",181312,0.673,"4","5u4WqrYhQA5BUvqN5syYil","italian indie pop",NA,NA,NA,NA
"25","SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE",2022,"Winter",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,"0","1",195923,0.659,"4","0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA
"26","Canto libero","DJ Matrix","Musica da giostra, Vol. 5",2018,"Winter",33,0.00174,0.744,0.931,6.69e-05,0.366,-4.996,0.0866,145.042,"11","1",186693,0.709,"4","61Sz0e2P0HSphOQnYMw3ef","italian adult pop","italian pop","italo dance",NA,NA
"27","Se Fem?","Il Pagante","Devastante",2022,"Winter",35,0.197,0.869,0.766,0,0.353,-5.053,0.0896,124.05,"9","1",182419,0.526,"4","4zvvPtGLxBFKvkQZdrR7N6","italian adult pop","italian pop",NA,NA,NA
"28","Cardio","Frah Quintale","Banzai (Lato arancio)",2021,"Summer",41,0.0384,0.77,0.588,0,0.0604,-7.007,0.046,104.951,"0","1",217428,0.532,"4","50sBM7nU6aKAnGJQIqNdeH","italian hip hop","italian indie pop","italian pop","milan indie",NA
"29","Occhi rossi","Coez","Volare",2022,"Spring",64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,"11","1",177310,0.353,"4","5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA
"30","SOLITE PARE (feat. thasup & Sfera Ebbasta)","Sick Luke","X2",2022,"Winter",65,0.282,0.66,0.79,0,0.299,-4.344,0.0537,111.071,"9","0",211660,0.556,"3","0PQxC8NHgiKXLK3Zm6QoCj","italian hip hop","trap italiana",NA,NA,NA
"31","La Grande Bellezza","Il Pagante","Devastante",2022,"Winter",29,0.113,0.731,0.764,0,0.212,-5.194,0.174,110.006,"4","0",223431,0.786,"4","2JQ6n0wH0i4cPsWUjZ8tDb","italian adult pop","italian pop",NA,NA,NA
"32","Fare schifo (feat. Michela Giraud)","Willie Peyote","Fare schifo (feat. Michela Giraud)",2022,"Spring",29,0.121,0.679,0.69,0,0.224,-7.256,0.206,106.98,"0","1",195786,0.573,"4","6lCe9PfOm9RlKXbQFupllB","italian alternative","italian indie pop","italian pop","rap napoletano","turin indie"
"33","SUPERMODEL","Måneskin","SUPERMODEL",2022,"Spring",75,0.00164,0.636,0.876,0,0.117,-3.413,0.0555,120.983,"7","1",148064,0.799,"4","63WuQOXohQIxOxIFA2K7bR","indie rock italiano","italian pop",NA,NA,NA
"34","FALENA (feat. Franco126, Coez & Ketama126)","Sick Luke","X2",2022,"Winter",57,0.161,0.595,0.68,0,0.198,-5.665,0.0553,95.89,"0","0",215016,0.235,"4","1FEAEKjVQLZuSeb0omUxep","italian hip hop","trap italiana",NA,NA,NA
"35","Guardare giù","Noemi","Guardare giù",2021,"Autumn",40,0.556,0.733,0.581,0,0.483,-4.726,0.0294,115.003,"0","0",168186,0.47,"3","0nZzbRLYgvdkQB6EKjWfAL","italian adult pop","italian pop",NA,NA,NA
