"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"1","Used to Know Me","Charli XCX","CRASH",2022,"Spring",61,0.0914,0.711,0.931,4.41e-05,0.0892,-4.042,0.0323,118.009,"1","1",145840,0.775,"4","5dry5tz8yLcLuOJ3l6ZEQd","art pop","candy pop","metropopolis","pop","uk pop",NA
"2","DIABLO","ROSALÍA","MOTOMAMI",2022,"Spring",62,0.819,0.753,0.277,0.000165,0.0661,-8.823,0.351,88.019,"0","1",165520,0.328,"4","4QlMiL1BPCBzLfn1XbSkpg","latin viral pop","pop","r&b en espanol",NA,NA,NA
"3","Evil Eye","Bellah","Evil Eye",2021,"Spring",51,0.461,0.61,0.59,6.62e-05,0.339,-6.248,0.199,104.001,"1","0",175194,0.784,"4","4FkAAesNdD4BeTAEHRdswW","alternative r&b","indie r&b",NA,NA,NA,NA
"4","Blu Intenso (feat. Tedua) - prod. thasup","Mara Sattei","UNIVERSO",2022,"Winter",46,0.122,0.691,0.796,0,0.111,-5.046,0.0636,152.96,"8","1",185283,0.597,"4","22iyseivOMmWjH5UtA2cmj","italian hip hop","italian pop",NA,NA,NA,NA
"5","Lil Secret","Jack Harlow","Come Home The Kids Miss You",2022,"Spring",53,0.144,0.779,0.653,0,0.0955,-5.977,0.206,69.056,"11","0",129565,0.841,"4","29SR6SFfjQJoddfmimHbQh","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA
"6","Ela","Andromache","Ela",2022,"Spring",46,0.244,0.659,0.626,0,0.0647,-6.809,0.0906,97.982,"3","0",182484,0.652,"4","70HQXHPuU7EyUroOYkOzdk","greek pop",NA,NA,NA,NA,NA
"7","Baby","Charli XCX","CRASH",2022,"Spring",54,0.139,0.779,0.859,0.0472,0.093,-1.572,0.0364,128.04,"5","0",159920,0.904,"4","2lE8pY64icLsx6k0Wr9iVF","art pop","candy pop","metropopolis","pop","uk pop",NA
"8","Envolver","Anitta","Envolver",2021,"Autumn",76,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,"4","0",193805,0.396,"4","3IAfUEeaXRX9s9UdKOJrFI","funk pop","funk rj","pagode baiano","pop","pop nacional",NA
"9","Bagno a mezzanotte","Elodie","Bagno a mezzanotte",2022,"Spring",59,0.0986,0.81,0.734,0,0.355,-6.665,0.0544,107.993,"11","0",178713,0.317,"4","5KkcthkQDnlhQN0WhO8DsM","italian adult pop","italian pop",NA,NA,NA,NA
"10","LA COMBI VERSACE","ROSALÍA","MOTOMAMI",2022,"Spring",71,0.561,0.835,0.495,0.000206,0.103,-5.791,0.522,90.97,"8","1",161266,0.426,"4","5gCNf9wMVrYuM2fvfgLTlF","latin viral pop","pop","r&b en espanol",NA,NA,NA
"11","Lightning","Charli XCX","CRASH",2022,"Spring",54,0.0265,0.715,0.683,2.31e-05,0.209,-5.042,0.0476,119.159,"11","1",237320,0.471,"4","4aguR8nLIlmF6WCOlCArhT","art pop","candy pop","metropopolis","pop","uk pop",NA
"12","Parent Trap (feat. Justin Timberlake)","Jack Harlow","Come Home The Kids Miss You",2022,"Spring",53,0.283,0.878,0.523,0.000155,0.116,-7.653,0.12,92.05,"1","1",189876,0.422,"4","5mSVnabiC2NDVIGfW3Znc4","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA
