"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"1","As It Was","Harry Styles","Harry's House","2022","Spring",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,"6","0",167303,0.662,"4","4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA,NA,NA,NA
"2","Late Night Talking","Harry Styles","Harry's House","2022","Spring",86,0.298,0.714,0.728,0,0.106,-4.595,0.0468,114.996,"10","1",177954,0.901,"4","1qEmFfgcLObUfQm0j1W2CK","pop",NA,NA,NA,NA,NA,NA,NA,NA
"3","Daylight","Harry Styles","Harry's House","2022","Spring",80,0.484,0.686,0.445,0.00144,0.175,-7.189,0.0398,145.5,"0","1",164533,0.626,"3","51Zw1cKDgkad0CXv23HCMU","pop",NA,NA,NA,NA,NA,NA,NA,NA
"4","Lady - Hear Me Tonight","Modjo","Modjo (Remastered)","2001","missing",79,0.00793,0.72,0.808,0.0293,0.0634,-5.627,0.0379,126.041,"6","1",307153,0.869,"4","49X0LAl6faAusYq02PRAY6","disco house","filter house",NA,NA,NA,NA,NA,NA,NA
"5","Cinema","Harry Styles","Harry's House","2022","Spring",74,0.354,0.829,0.644,0.0511,0.0944,-7.696,0.0427,105.993,"9","0",243507,0.896,"4","35TyJIMR3xRouUuo2sjS6v","pop",NA,NA,NA,NA,NA,NA,NA,NA
"6","Wait a Minute!","WILLOW","ARDIPITHECUS","2015","Winter",82,0.0371,0.764,0.705,1.94e-05,0.0943,-5.279,0.0278,101.003,"3","0",196520,0.672,"4","0y60itmpH0aPKsFiGxmtnh","afrofuturism","pop","post-teen pop","pov: indie",NA,NA,NA,NA,NA
"7","Be My Lover","La Bouche","Best Of La Bouche feat. Melanie Thornton","2003","Spring",69,0.00283,0.658,0.963,2.38e-06,0.951,-3.283,0.0326,134.798,"1","0",240866,0.793,"4","3vSn1frPgFcRXrjWOfhMLl","diva house","eurodance","german techno",NA,NA,NA,NA,NA,NA
"8","Woman","Doja Cat","Planet Her","2021","Summer",87,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,"5","0",172626,0.881,"4","6Uj1ctrBOjOas8xZXGqKk4","dance pop","pop",NA,NA,NA,NA,NA,NA,NA
"9","Keep Driving","Harry Styles","Harry's House","2022","Spring",80,0.321,0.721,0.479,0.00156,0.182,-9.669,0.226,164.948,"9","1",140241,0.902,"3","2NcQic8JxdjAlAHuNbOIRE","pop",NA,NA,NA,NA,NA,NA,NA,NA
"10","Toda Joia Toda Beleza - Remastered","Roy Paci","SuoNoGlobal (Remastered)","2007","Summer",41,0.302,0.693,0.973,1.28e-06,0.695,-4.193,0.0902,115.002,"4","0",260653,0.73,"4","6bg9Exy0CP1w1jWPfbE9g9","italian ska",NA,NA,NA,NA,NA,NA,NA,NA
"11","Goodie Bag","Still Woozy","Goodie Bag","2017","Autumn",78,0.821,0.739,0.522,0.00124,0.233,-12.304,0.151,138.263,"7","0",146390,0.619,"4","4vHNeBWDQpVCmGbaccrRzi","bedroom pop","oakland indie","pov: indie",NA,NA,NA,NA,NA,NA
"12","The Time Is Now","Never Dull","The Time Is Now","2021","Spring",44,0.0391,0.817,0.832,0.525,0.0818,-10.542,0.0757,124.02,"9","0",218104,0.944,"4","6SGt8j4UPdPdUsrBoz6YlW","funky house",NA,NA,NA,NA,NA,NA,NA,NA
"13","Daydreaming","Harry Styles","Harry's House","2022","Spring",75,0.311,0.707,0.811,0.0152,0.131,-5.298,0.0304,113.971,"4","0",187342,0.899,"4","69w5X6uTrOaWM32IetSzvO","pop",NA,NA,NA,NA,NA,NA,NA,NA
"14","Young Folks","Peter Bjorn and John","Writer's Block","2006","Winter",79,0.0164,0.699,0.812,0.000763,0.105,-6.005,0.0377,138.185,"0","1",276693,0.662,"4","4dyx5SzxPPaD8xQIid5Wjj","alternative dance","baroque pop","dance-punk","indie rock","modern rock","new rave","shimmer pop","swedish alternative rock","swedish indie pop"
"15","summer on the inside","warner case","summer on the inside","2021","Summer",69,0.45,0.833,0.822,0.635,0.479,-7.862,0.0702,120.788,"7","0",205166,0.784,"4","0IRDLaO3ng5eyl4Po8hZXj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","telepatía","Kali Uchis","Sin Miedo (del Amor y Otros Demonios) ∞","2020","Winter",85,0.112,0.653,0.524,0,0.203,-9.016,0.0502,83.97,"11","0",160191,0.553,"4","6tDDoYIxWvMLTdKpjFkc1B","colombian pop",NA,NA,NA,NA,NA,NA,NA,NA
"17","Satellite","Harry Styles","Harry's House","2022","Spring",84,0.143,0.576,0.457,3.05e-05,0.0917,-6.473,0.0304,138.984,"0","1",218577,0.301,"4","0rzaRSujxA0bKyjJl6vHYq","pop",NA,NA,NA,NA,NA,NA,NA,NA
