"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"1","Pastello Bianco","Pinguini Tattici Nucleari","AHIA!","2020","Winter",71,0.451,0.546,0.652,0,0.123,-3.852,0.0339,139.875,"0","1",236417,0.378,"4","0bKDQionn4VKcgNKbs4SWX","bergamo indie","italian indie pop","italian pop","milan indie",NA
"2","Sogni al cielo","Alex Wyse","Sogni al cielo","2021","Autumn",54,0.345,0.33,0.559,0,0.0683,-4.615,0.0392,185.982,"3","1",180967,0.202,"3","5AcWsvBp909Sjww1Wt5rlb","italian pop",NA,NA,NA,NA
"3","Giravolte","Albe","Giravolte","2022","Winter",45,0.0245,0.663,0.79,0,0.256,-6.188,0.0782,149.972,"9","1",153600,0.716,"4","1kZdkOs0auuBmyb3It7Ekf","italian pop",NA,NA,NA,NA
"4","Millevoci","Albe","Millevoci","2021","Autumn",49,0.49,0.61,0.716,0,0.669,-6.004,0.11,122.071,"10","1",182950,0.318,"4","1Or6zawXIrAvFd4REXcBHs","italian pop",NA,NA,NA,NA
"5","Muro","Luigi Strangis","Strangis","2022","Summer",43,0.0511,0.643,0.78,0,0.137,-3.695,0.0993,164.916,"6","0",154181,0.685,"4","2jdARFICmTdcfy4WCdTsFu",NA,NA,NA,NA,NA
"6","Quello che fa male","LDA","LDA","2022","Spring",54,0.488,0.55,0.569,0,0.107,-5.244,0.0847,143.081,"3","1",150104,0.589,"4","0kixls69dcA1aJCF1exb5H","italian adult pop","italian pop",NA,NA,NA
"7","Se non fosse per te","Max Pezzali","Qualcosa di nuovo","2020","Autumn",46,0.12,0.62,0.666,0,0.123,-7.508,0.0304,86.958,"5","1",232068,0.594,"4","5tOF2xQQzgU4J6WtPhdCpa","italian adult pop","italian pop",NA,NA,NA
"8","Voglio stare con te","Fabrizio Moro","Canzoni d'amore nascoste","2020","Autumn",43,0.116,0.578,0.6,0.0011,0.0835,-7.868,0.0296,143.839,"11","1",196102,0.434,"4","1b8kL6Gr6Kt8EIWtxeceKq","italian adult pop",NA,NA,NA,NA
"9","Concedimi","Matteo Romano","Concedimi","2020","Autumn",57,0.876,0.472,0.293,0,0.0972,-8.277,0.0613,205.602,"10","1",189320,0.379,"4","5p47A4tB8VQcsiscTLQi9L","italian pop",NA,NA,NA,NA
"10","Ammirare tutto","Alex Wyse","Ammirare tutto","2021","Winter",39,0.218,0.467,0.802,0,0.335,-3.894,0.266,151.531,"3","1",147631,0.438,"4","4T6HSNBgPjM9L0M3UsVfN7","italian pop",NA,NA,NA,NA
"11","Glicine","Noemi","Metamorfosi","2021","Spring",53,0.426,0.511,0.67,0,0.0996,-5.433,0.04,139.8,"3","1",217226,0.215,"4","3oTNtTmOOekaUDvDiqM4br","italian adult pop","italian pop",NA,NA,NA
"12","L'urlo di Munch","Emanuele Aloia","Sindrome di Stendhal","2021","Spring",52,0.101,0.667,0.801,0,0.0947,-4.961,0.0565,128.02,"4","1",165720,0.566,"4","4pWFqZNa1THbgHcAo8u4p9","italian pop",NA,NA,NA,NA
"13","Buongiorno vita","Ultimo","Solo","2021","Autumn",51,0.59,0.559,0.541,0,0.152,-5.451,0.0431,145.169,"7","1",190840,0.48,"4","14rcy4M0wqiPHiCaT8U1Ju","italian adult pop","italian pop",NA,NA,NA
"14","Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022","Spring",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,"11","0",212966,0.948,"4","7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA
"15","Tutto per me","Michele Merlo","Tutto per me","2018","Summer",49,0.592,0.554,0.457,0,0.101,-7.754,0.0297,144.074,"3","1",226422,0.206,"4","4SiUjcDLZyvMsCMXmxI2gw","italian pop",NA,NA,NA,NA
"16","Parlami","Fasma","Parlami","2021","Spring",59,0.255,0.548,0.919,0,0.0984,-5.348,0.19,165.942,"9","1",169181,0.385,"4","00QN58Gx571pB1MEuBAcmL","emo rap italiano","italian hip hop","italian pop","pop virale italiano",NA
