"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Soft Love","The Symposium","The Symposium","2017","Spring",42,0.148,0.301,0.333,0.856,0.136,-14.86,0.0372,91.702,"4","0",330631,0.22,"4","5eBgsJvvrwPAliPclS08x1","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"2","Losing Game","The Symposium","The Sonic Crystal EP","2019","Summer",43,0.0353,0.43,0.495,0.923,0.106,-11.885,0.0607,85.141,"4","0",236675,0.373,"4","5jHFkJUcYPswVAaI02397c","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"3","Condemned to Be Freaky","Brad stank","Eternal Slowdown","2018","Winter",47,0.0972,0.774,0.514,0.518,0.116,-8.471,0.033,96.985,"9","1",181169,0.42,"4","5W6gScx4Px7U0j7ZydwxTR",NA,NA,NA,NA,NA,NA,NA,NA
"4","Real Ghosts","The Symposium","The Sonic Crystal EP","2019","Summer",33,0.67,0.232,0.626,0.89,0.357,-10.094,0.0562,85.094,"4","0",229433,0.612,"4","1HNvkvc1XBAbfmzKXxkeHr","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"5","Starfall","The Symposium","The Symposium","2017","Spring",36,0.31,0.363,0.463,0.832,0.1,-8.933,0.0381,144.963,"0","1",238000,0.704,"3","13O71jFk7vpQ42zH21L36Q","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"6","Something New","Babe Rainbow","Today","2019","Autumn",57,0.147,0.628,0.667,0.0416,0.375,-8.671,0.0272,87.87,"11","1",195080,0.73,"4","6I5smKWqDl1TwxUvyhDRSZ","australian reggae fusion","indie garage rock","neo-psychedelic",NA,NA,NA,NA,NA
"7","Lovers Rock","TV Girl","French Exit","2014","Summer",90,7.53e-06,0.559,0.871,0.00545,0.096,-5.338,0.0397,104.97,"5","0",213920,0.572,"4","6dBUzqjtbnIa1TwYbyw5CM","pov: indie",NA,NA,NA,NA,NA,NA,NA
"8","The Divine Chord","The Avalanches","We Will Always Love You","2020","Winter",59,0.104,0.557,0.863,0,0.697,-5.321,0.0391,105.362,"0","0",187586,0.373,"4","3A0cAzFKPefBCz7Z02UnnO","australian alternative rock","australian dance","collage pop","electronica","indietronica","new rave","psychedelic hip hop",NA
"9","Streems","The Symposium","The Symposium","2017","Spring",47,0.338,0.517,0.404,0.477,0.11,-11.463,0.0415,96.157,"6","0",257087,0.735,"4","6swJpZoCzbqjMb47o7BoVP","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"10","Doghouse","Trudy and the Romance","Sandman (Deluxe Edition)","2021","Winter",38,0.753,0.378,0.692,0.00465,0.103,-8.456,0.0791,128.09,"0","1",179499,0.396,"4","1sBEwoLIJi8dsWch7PNVnB","indie garage rock","liverpool indie",NA,NA,NA,NA,NA,NA
"11","Warned You","Good Morning","Shawcross","2014","Autumn",66,0.668,0.535,0.209,0.14,0.129,-16.402,0.0257,137.889,"6","1",136032,0.515,"4","3GahMRXI3rL2JVeSLZBRnF","experimental pop","indie garage rock","lo-fi indie",NA,NA,NA,NA,NA
"12","Plume","Shimmertraps","LOOK!","2020","Summer",37,0.162,0.651,0.659,0.188,0.136,-11.086,0.337,112.076,"10","1",257946,0.712,"4","6vjPSvu7zFNp4x9MMcp1aX","modern dream pop",NA,NA,NA,NA,NA,NA,NA
"13","Going Undercover","The Symposium","The Sonic Crystal EP","2019","Summer",34,0.0056,0.371,0.597,0.203,0.262,-7.334,0.0355,99.982,"11","0",297859,0.804,"4","63f4cyu1IquxuNLMUPhAiX","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"14","Pond Weed","Brad stank","Eternal Slowdown","2018","Winter",44,0.157,0.83,0.22,0.00801,0.0862,-12.583,0.0476,61.99,"6","0",260480,0.244,"4","2Tq8kdQuyuQNudS7PO3fSw",NA,NA,NA,NA,NA,NA,NA,NA
"15","White Gloves","Khruangbin","The Universe Smiles Upon You","2015","Autumn",69,0.707,0.635,0.3,0.829,0.574,-13.957,0.0285,91.452,"2","0",218306,0.772,"4","4AKUOaCRcoKTFnVI9LtsrN","indie soul","neo-psychedelic",NA,NA,NA,NA,NA,NA
"16","Twist It, Shake It. Rock & Roll","Trudy and the Romance","Junkyard Jazz","2017","Autumn",43,0.413,0.551,0.779,0.000834,0.0624,-8.395,0.0532,104.689,"1","0",143426,0.549,"4","4yedP4mfgP5Te1ehqicPTU","indie garage rock","liverpool indie",NA,NA,NA,NA,NA,NA
"17","Sci-Fi","The Symposium","Sci-Fi","2020","Spring",42,0.00419,0.727,0.416,0.866,0.0894,-9.82,0.0386,119.981,"1","0",176000,0.696,"3","6C5TArCHiIVBmXnaN3FFuT","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"18","Take Me to the Crib","Brad stank","Eternal Slowdown","2018","Winter",42,0.502,0.781,0.384,0.715,0.0692,-12.332,0.0318,119.962,"7","0",262934,0.39,"4","1CPIKTvWqBoAAj3nbryTkb",NA,NA,NA,NA,NA,NA,NA,NA
"19","Accattone - Maiole Remix","Frah Quintale","Accattone (Maiole Remix)","2017","Autumn",26,0.263,0.765,0.637,0.0174,0.12,-9.458,0.0782,115.022,"7","1",184412,0.535,"4","4L6j1DFg5YTzrNbjhRUlbh","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"20","Soaring","Puzzle","Soaring","2016","Winter",37,0.0149,0.281,0.626,0.122,0.448,-13.679,0.0543,99.65,"4","0",205336,0.357,"4","681Du3nPkvT4zkMJpf1fGF","hypnagogic pop","indie garage rock",NA,NA,NA,NA,NA,NA
"21","The Physical Attractions","The Symposium","The Symposium","2017","Spring",55,0.00163,0.363,0.499,0.522,0.123,-10.099,0.0335,137.804,"5","0",284769,0.532,"4","2TeYAizye4GlmzQq5zyf91","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"22","Goddess","Sleeping Jesus","Perennial","2016","Spring",32,0.445,0.569,0.617,0,0.0656,-5.428,0.0264,109.93,"7","1",194500,0.545,"4","4Qx9ZjRH0CSR1ByBxpzuFj","bedroom pop","eau claire indie",NA,NA,NA,NA,NA,NA
"23","When Did Your Heart Go Missing?","Rooney","Calling The World","2007","Winter",50,0.00176,0.598,0.93,0,0.0353,-4.014,0.0466,175.795,"9","0",213333,0.97,"4","7bBEDtVmP86Zli3NmBV17y","modern power pop",NA,NA,NA,NA,NA,NA,NA
"24","One More Love Song","Mac DeMarco","This Old Dog","2017","Spring",70,0.765,0.708,0.323,0.52,0.0939,-11.199,0.03,141.013,"9","0",241066,0.502,"4","0v8J17a6cO0wWp7z731GTd","edmonton indie","lo-fi indie","pov: indie",NA,NA,NA,NA,NA
"25","Red River","The Symposium","Red River","2016","Spring",47,0.0933,0.456,0.523,0.293,0.221,-7.876,0.0254,79.682,"4","1",202503,0.669,"4","4AQp8VkbXMU9gDI9KzwV2l","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"26","Song About Me","TV Girl","Who Really Cares","2016","Winter",69,0.00456,0.625,0.949,0.00506,0.645,-4.714,0.0561,100.639,"4","0",243727,0.496,"4","5ExWCOYjZbMEZCIdlfH2dO","pov: indie",NA,NA,NA,NA,NA,NA,NA
"27","Dream Boy","Dinner Time","DINNER TIME","2019","Summer",23,0.000482,0.523,0.656,0.00112,0.316,-9.561,0.0278,78.003,"7","1",196837,0.769,"4","1PzNPdg9iPLs5NwTfeV1nM","atlanta indie",NA,NA,NA,NA,NA,NA,NA
"28","Misanthropulsar","Dumbo Gets Mad","Thank You Neil","2015","Autumn",16,0.475,0.498,0.575,0.0162,0.163,-8.723,0.06,156.19,"6","1",206813,0.498,"4","4xx1POJkbal8W23d9URoZE","indie garage rock","neo-psychedelic","psychedelic pop",NA,NA,NA,NA,NA
"29","Synth Song","The Symposium","The Symposium","2017","Spring",35,0.224,0.613,0.567,0.935,0.122,-8.993,0.0255,83.008,"5","1",194457,0.693,"4","1nmi9pN41eZEuwILPoNOJJ","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"30","Night on Earth","Jerkcurb","Air Con Eden","2019","Autumn",45,0.0646,0.274,0.493,3.07e-05,0.123,-7.221,0.0326,103.467,"4","1",340768,0.126,"3","1gyO5iqn92t4c70dQFH4OK",NA,NA,NA,NA,NA,NA,NA,NA
"31","HIT EM WHERE IT HURTS","PawPaw Rod","HIT EM WHERE IT HURTS","2020","Autumn",66,0.122,0.779,0.721,0.00252,0.0765,-6.371,0.214,178.046,"6","1",165499,0.822,"4","7888F1QWPTn4cPbuknNV4T","indie r&b",NA,NA,NA,NA,NA,NA,NA
"32","Summer's Over","Jordana","Summer's Over","2021","Autumn",64,0.371,0.752,0.793,0.00565,0.268,-8.358,0.109,80.702,"11","0",173000,0.938,"4","20pi3c6HXmaEeElCswISpD","modern indie pop",NA,NA,NA,NA,NA,NA,NA
"33","Creeper","The Symposium","The Symposium","2017","Spring",35,0.149,0.361,0.356,0.695,0.0937,-11.343,0.0372,126.806,"7","0",245901,0.492,"4","7HUDyDggRrBiaKdwXNssWC","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"34","Everytime","boy pablo","Roy Pablo","2017","Spring",65,0.0249,0.431,0.663,0.0397,0.117,-10.066,0.0351,203.908,"2","1",172941,0.855,"4","4zvHZWOGyL7WcmqHOgtGCW","bedroom pop","bergen indie","norwegian indie","pov: indie",NA,NA,NA,NA
"35","Thy Mission","The Garden","Thy Mission","2019","Spring",60,0.203,0.419,0.94,0.822,0.303,-6.054,0.116,160.026,"10","0",221000,0.355,"4","7LcmuGeSXQzQlteW3yGtWb","art punk","oc indie",NA,NA,NA,NA,NA,NA
"36","Taking up Space","Mustard Service","Zest Pop","2017","Summer",52,0.116,0.649,0.457,0.00562,0.414,-12.904,0.0394,90.071,"9","1",217656,0.795,"4","2l0KF9ywMxglacqb7Nb6H0","indie garage rock","miami indie",NA,NA,NA,NA,NA,NA
"37","Red River","The Symposium","The Symposium","2017","Spring",35,0.0263,0.458,0.539,0.588,0.216,-7.605,0.0261,79.4,"4","1",202016,0.669,"4","7evNwZyDKV0SmI2VWhlYA2","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"38","If I Ever Feel Better","Phoenix","United","2000","Spring",66,0.0492,0.755,0.553,0.00607,0.0646,-9.449,0.107,119.7,"6","0",266600,0.836,"4","3AA8xNhDC0MpqwkGX3EP5V","alternative dance","indie rock","modern rock","neo-synthpop","new rave","rock independant francais","shimmer pop",NA
"39","Just Like My","HOMESHAKE","Helium","2019","Winter",41,0.831,0.788,0.314,3.12e-05,0.239,-12.404,0.0318,89.98,"9","0",208066,0.547,"4","2wMwYD7zXtVKIe2L3kGJSW","indie garage rock","montreal indie","quebec indie",NA,NA,NA,NA,NA
"40","Indian Food","Dumbo Gets Mad","Quantum Leap","2013","Autumn",47,0.766,0.561,0.895,0.67,0.124,-4.903,0.0529,86.808,"2","1",213786,0.634,"4","0fDFzVTG8c2fW9EM5f1RHM","indie garage rock","neo-psychedelic","psychedelic pop",NA,NA,NA,NA,NA
"41","Poison","The Symposium","Drugs","2014","Autumn",49,0.00694,0.283,0.603,0.266,0.113,-11.205,0.0475,174.541,"5","1",182778,0.476,"4","1Jg3XdrCOZ5rrirIOggdtW","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"42","Gold","JW Francis","We Share a Similar Joy","2020","Autumn",24,0.375,0.46,0.78,0.476,0.132,-6.822,0.0299,120.496,"2","1",219528,0.881,"4","476QmwnSCTLuF83ew3XpaC","bedroom pop",NA,NA,NA,NA,NA,NA,NA
"43","Flirting in Space","Brad stank","Eternal Slowdown","2018","Winter",52,0.727,0.699,0.247,0.489,0.116,-12.485,0.0417,139.857,"1","1",257764,0.0741,"3","25SY7VEoZx08QrLUUKP4MC",NA,NA,NA,NA,NA,NA,NA,NA
"44","Loretta","Ginger Root","Loretta","2021","Summer",61,0.282,0.706,0.801,0.594,0.143,-5.646,0.0462,130.001,"2","1",190153,0.887,"4","3eZqBNHlNA4lUsbAB6UmvD","hypnagogic pop","oc indie",NA,NA,NA,NA,NA,NA
"45","Tony Stark","The Symposium","Drugs","2014","Autumn",40,0.0343,0.729,0.342,0.834,0.116,-15.138,0.301,175.922,"9","1",177374,0.72,"4","6yljCYdn6RsTj8oWXPeJCl","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"46","You Don't Have To Change","Kool & The Gang","Light Of Worlds","1974","missing",53,0.571,0.491,0.338,0.0599,0.248,-16.102,0.0519,79.582,"2","1",162640,0.167,"4","3fOTE7xglLPn15SrPj7kxq","disco","funk","motown","soft rock","soul",NA,NA,NA
"47","Cherry-coloured Funk","Cocteau Twins","Heaven or Las Vegas","1990","Autumn",70,0.00196,0.49,0.652,6.24e-05,0.0991,-5.813,0.0274,90.085,"2","1",192466,0.339,"4","37pKTyMwalomKCZjxTc2QZ","alternative rock","art pop","dream pop","ethereal wave","melancholia","scottish indie","shoegaze","synthpop"
"48","Mushroom","Inner Wave","Mushroom","2019","Spring",46,0.262,0.702,0.781,0.544,0.155,-5.546,0.0262,100.911,"4","1",166229,0.842,"4","7ikztG7qvNqwr6lXiHINjz","indie garage rock",NA,NA,NA,NA,NA,NA,NA
"49","Half Life","The Symposium","Drugs","2014","Autumn",39,0.0222,0.344,0.391,0.714,0.112,-11.762,0.0322,127.75,"10","0",236277,0.213,"4","22LYLU1I0aCSMiq09oQlZU","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"50","Blue Coupe","Twin Peaks","Sweet '17 Singles","2018","Winter",58,0.261,0.597,0.864,0.0747,0.0973,-5.629,0.0271,130.079,"5","1",222672,0.55,"4","3jw5KrLTxeIzpSvByNsH7F","chicago indie","indie garage rock","modern power pop",NA,NA,NA,NA,NA
"51","Televendite di quadri","Post Nebbia","Canale Paesaggi","2020","Autumn",39,0.0658,0.513,0.724,0.0208,0.415,-5.945,0.0323,78.995,"10","0",265500,0.707,"4","2sRuOQ3fg1EGzzcuBgohJX","indie veneto","italian indie pop",NA,NA,NA,NA,NA,NA
"52","Gospel For A New Century","Yves Tumor","Heaven To A Tortured Mind","2020","Spring",56,0.00181,0.567,0.726,3.06e-06,0.103,-6.715,0.0548,178.09,"0","1",198626,0.715,"4","4qYvkWQqCcIWEBWekegE4y","art pop","escape room","experimental pop","experimental r&b","hypnagogic pop",NA,NA,NA
"53","Style Guide","The Symposium","The Sonic Crystal EP","2019","Summer",33,0.208,0.932,0.373,0.0454,0.102,-13.564,0.592,116.988,"1","1",195964,0.965,"4","5PdEY1UsZk6snoMJ64gmdJ","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"54","Another Thing","HOMESHAKE","Helium","2019","Winter",32,0.87,0.778,0.353,0.422,0.112,-13.856,0.0344,119.987,"0","1",170824,0.398,"3","5yygVqkJ8uTkbFnKcj1oSy","indie garage rock","montreal indie","quebec indie",NA,NA,NA,NA,NA
"55","Dick Daisey","Hector Gachan","Untitled '91","2017","Winter",36,0.15,0.626,0.509,0.422,0.514,-11.159,0.069,82.088,"0","1",152835,0.837,"4","4YvcCauEQ1bMmd2IrBt7o0","bedroom pop",NA,NA,NA,NA,NA,NA,NA
"56","Night Drive","Part Time","P.D.A.","2021","Autumn",46,1.79e-05,0.589,0.553,0.815,0.288,-10.372,0.0339,122.21,"4","0",224130,0.139,"4","6c8pVKT7KBUzp6fYNDFqlL","hypnagogic pop","indie garage rock",NA,NA,NA,NA,NA,NA
"57","The 80's","The Symposium","Drugs","2014","Autumn",35,2.13e-05,0.588,0.355,0.933,0.657,-10.649,0.0321,106.331,"0","1",148000,0.671,"4","1orxfrC2hNFhuvqI78F7iH","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"58","California Here We Go","The Garden","California Here We Go","2016","Autumn",56,0.00252,0.615,0.871,1.06e-06,0.146,-5.59,0.054,144.961,"1","1",126369,0.791,"4","0GARqhVTsP5GA6q1G3xWph","art punk","oc indie",NA,NA,NA,NA,NA,NA
"59","Lying Has To Stop - Single Version","Soft Hair","Lying Has To Stop","2016","Summer",47,0.86,0.676,0.563,0.0182,0.116,-6.966,0.079,75.524,"2","0",276120,0.782,"4","5IR7Ui6MB7MrFZfF5hsoIH","experimental pop","hypnagogic pop",NA,NA,NA,NA,NA,NA
"60","Not Always Happy","Petite League","Slugger","2016","Winter",45,0.568,0.501,0.857,1.3e-05,0.224,-4.131,0.0306,79.94,"9","1",172199,0.881,"4","5wHzSefbjbsi1xczlfIA8N","indie garage rock",NA,NA,NA,NA,NA,NA,NA
"61","Nino 2","The Symposium","The Symposium","2017","Spring",35,0.662,0.687,0.55,0.923,0.331,-10.436,0.0409,126.449,"3","0",201290,0.893,"4","4TzBL5U7mByJbrlfeQ4Aj4","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"62","Blue Cigar","Midnight Sister","Saturn Over Sunset","2017","Autumn",45,0.554,0.78,0.546,0.0754,0.101,-6.322,0.0443,120.178,"0","1",210373,0.787,"4","036mhHLlaQwnNbQEu5yW1S",NA,NA,NA,NA,NA,NA,NA,NA
"63","Missed Kiss","Digigurl","Missed Kiss","2020","Summer",47,0.0044,0.445,0.899,0.882,0.18,-6.878,0.527,158.998,"0","1",202135,0.823,"4","6FkJImUqOt3DfH0MuCp4Gr",NA,NA,NA,NA,NA,NA,NA,NA
"64","Mnemophobia","Brainstory","Buck","2019","Autumn",58,0.62,0.67,0.484,0.00187,0.0816,-5.221,0.0277,94.974,"1","0",168386,0.797,"4","33QyoRmhHKADVNXnn4VgvY","socal indie","souldies",NA,NA,NA,NA,NA,NA
"65","A.C.L.","The Symposium","The Symposium","2017","Spring",42,0.0563,0.597,0.308,0.734,0.0815,-11.571,0.0277,77.721,"3","1",279010,0.72,"4","1ReJVAsBFgJ5E8ijuXDZbG","chicago indie","indie garage rock",NA,NA,NA,NA,NA,NA
"66","Safeword","TV Girl","Who Really Cares","2016","Winter",66,0.273,0.631,0.487,0.0636,0.185,-7.407,0.0395,123.498,"0","1",216762,0.142,"4","2c4Est3dxGfn834VReid5d","pov: indie",NA,NA,NA,NA,NA,NA,NA
"67","Cratere","Frah Quintale","Regardez moi","2017","Autumn",58,0.181,0.717,0.788,0,0.121,-5.498,0.195,113.022,"0","1",179389,0.527,"4","3XwbooLtQMxO18LHNQtUT6","italian hip hop","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"68","Air Supply - 2021 Remaster","Sweet Trip","You Will Never Know Why (2021 Remaster)","2009","missing",47,0.0139,0.676,0.705,0.001,0.131,-11.02,0.0327,123.997,"3","1",281694,0.777,"4","7KAXxQfUG4kzRivltbD1UY","dream pop","glitchbreak","shoegaze",NA,NA,NA,NA,NA
