"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5"
"1","Bang Bang","Sfera Ebbasta","Sfera Ebbasta",2016,"Autumn",71,0.268,0.553,0.742,0,0.341,-5.115,0.0368,95.021,"0","1",149893,0.437,"4","7kktKNHgINrBczPUGoG38p","italian hip hop","italian pop","trap italiana","trap latino",NA
"2","SINCERO","Plug","SINCERO",2021,"Summer",34,0.176,0.677,0.872,0,0.116,-4.693,0.0482,95.985,"10","0",153000,0.821,"4","5yONnAl8O86eSD8mFrt95Q",NA,NA,NA,NA,NA
"3","BABY GODDAMN","Tananai","BABY GODDAMN",2021,"Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA
"4","ONLYFANS (feat. MamboLosco)","Slings","Wave Deluxe",2022,"Winter",56,0.00525,0.925,0.413,0,0.339,-11.121,0.395,140.081,"8","0",143142,0.814,"4","2LKjfCnn5dAnx2fv11CxMJ","italian hip hop","trap italiana",NA,NA,NA
"5","Malibu","Vegas Jones","Bellaria",2018,"Spring",61,0.0753,0.809,0.544,0,0.0836,-7.319,0.227,125.876,"0","0",211518,0.284,"4","08AN0HMXNr3DGGDCOWsTAw","italian hip hop",NA,NA,NA,NA
"6","Peace & Love","Charlie Charles","Peace & Love",2018,"Spring",60,0.14,0.68,0.785,0,0.309,-5.313,0.0615,152.962,"8","1",182745,0.319,"4","4BGmYEDOK1swwoxTtfmVZD","italian hip hop","italian pop",NA,NA,NA
"7","Rompo (feat. Boro)","VillaBanks","Filtri",2021,"Spring",61,0.295,0.7,0.747,9.09e-06,0.0919,-5.25,0.152,174.008,"8","1",169683,0.885,"4","4oPh7HAoMR1bLBbxwqKmgn","italian hip hop","italian pop","trap italiana",NA,NA
"8","# fuori c'è il sole","Lorenzo Fragola","1995",2015,"Spring",58,0.444,0.602,0.834,0,0.438,-5.641,0.0289,91.011,"1","0",192720,0.612,"4","2lCT4RVgR0bIYR0JW7Mcqx","italian adult pop","italian pop",NA,NA,NA
"9","CASA","Neima Ezza","CASA",2021,"Spring",60,0.138,0.356,0.76,0.109,0.234,-7.877,0.143,152.588,"8","1",197247,0.1,"5","4YhH8TVZAe2AUaz2oigGeQ","italian hip hop","trap italiana",NA,NA,NA
"10","Angelina Jolie","Bresh","Angelina Jolie",2021,"Spring",61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,"4","0",169671,0.644,"4","0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA
"11","IL CIELO NELLA STANZA (feat. NSTASIA)","Salmo","Playlist",2018,"Autumn",67,0.0867,0.755,0.501,1.45e-06,0.146,-9.551,0.189,134.998,"1","1",186213,0.267,"4","2fkVZYFv9hOejIsLzZy8ad","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA
