"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Chaussée","Les Louanges","Crash",2022,"Winter",39,0.0893,0.681,0.513,2.15e-05,0.282,-9.127,0.273,169.706,"6","0",173693,0.705,"4","6nMnOdu73fHmNAWiywbLXa","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA
"2","Heat Waves","Glass Animals","Dreamland",2020,"Summer",91,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,"11","1",238805,0.531,"4","3USxtqRwSYz57Ewm6wWRMp","gauze pop","indietronica","modern rock","pov: indie","shiver pop",NA,NA,NA
"3","Cold Heart - PNAU Remix","Elton John","The Lockdown Sessions",2021,"Autumn",72,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,"1","1",202735,0.934,"4","7rglLriMNBPAyuJOMGwi39","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA
"4","HONEST","Baby Keem","DIE FOR MY BITCH",2019,"Summer",83,0.403,0.676,0.536,3.37e-05,0.105,-8.79,0.0432,79.037,"2","1",172672,0.373,"4","58k32my5lKofeZRtIvBDg9","hip hop","rap",NA,NA,NA,NA,NA,NA
"5","Synchronize - RAC Mix","Milky Chance","Trip Tape II",2022,"Autumn",46,0.0155,0.781,0.85,0.00824,0.381,-3.334,0.0299,124.028,"11","0",160306,0.612,"4","633byJ49MKVUIplVCpOnxx","german pop","modern rock",NA,NA,NA,NA,NA,NA
"6","The Color Violet","Tory Lanez","Alone At Prom",2021,"Winter",89,0.157,0.645,0.534,0,0.0863,-10.8,0.0479,105.02,"6","0",226466,0.463,"4","3azJifCSqg9fRij2yKIbWz","canadian hip hop","canadian trap","melodic rap","pop rap","r&b","rap","trap",NA
"7","Qu'est-ce que tu m'fais","Les Louanges","Crash",2022,"Winter",35,0.061,0.759,0.659,0.0101,0.325,-8.426,0.0772,91.012,"6","0",174555,0.973,"4","1hSmGd5iTxDuCLZuPe7WEc","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA
"8","Soundgasm","Rema","Soundgasm",2021,"Summer",66,0.119,0.805,0.525,0.00203,0.0779,-7.376,0.0638,100.033,"6","0",204755,0.693,"4","5c549LWiKCWGvcDsZwMN6v","afrobeats","nigerian pop",NA,NA,NA,NA,NA,NA
"9","Lights Out_Demo","Milky Chance","Trip Tape",2021,"Autumn",40,0.395,0.472,0.566,2.52e-05,0.0994,-8.31,0.309,199.803,"0","1",234415,0.784,"4","0IuTdfzNpHNBoLyMotxuFi","german pop","modern rock",NA,NA,NA,NA,NA,NA
"10","Costa Rica (feat. The Kid LAROI) - Remix","Bankrol Hayden","Pain is Temporary",2020,"Summer",69,0.165,0.89,0.53,0,0.106,-9.891,0.362,127.889,"9","1",114865,0.644,"4","3tdjTdCCgKtwacsICCtPZZ","melodic rap",NA,NA,NA,NA,NA,NA,NA
"11","Bolero","Les Louanges","Crash",2022,"Winter",33,0.719,0.772,0.388,0.000382,0.18,-11.322,0.107,125.015,"7","1",169702,0.757,"4","6NqbGiEOws4tpCx3uUhxNb","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA
"12","Carré Saint-Louis","Kirouac","Les Gradins",2021,"Summer",31,0.361,0.682,0.419,0.000347,0.117,-10.222,0.0696,116.036,"3","0",153890,0.334,"4","1YkNLHS0VUiLL9nKOID14Q","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA
"13","I Am Lost_Demo","Milky Chance","Trip Tape II",2022,"Autumn",38,0.193,0.728,0.849,0.0315,0.181,-7.845,0.0457,106.025,"0","1",219333,0.666,"4","0571NjuRlSv3lni7Md9Ivx","german pop","modern rock",NA,NA,NA,NA,NA,NA
"14","UN DIA (ONE DAY) (Feat. Tainy)","J Balvin","UN DIA (ONE DAY) (Feat. Tainy)",2020,"Summer",74,0.00536,0.571,0.693,0,0.173,-8.234,0.0545,168.169,"6","0",232253,0.393,"4","0EhpEsp4L0oRGM0vmeaN5e","reggaeton","reggaeton colombiano","trap latino","urbano latino",NA,NA,NA,NA
"15","La nuit est une panthère","Les Louanges","La nuit est une panthère",2018,"Autumn",42,0.681,0.619,0.475,4.41e-06,0.0908,-8.734,0.0296,104.893,"10","0",200519,0.537,"4","39efsqF7t6SX3snZFVufRa","hip hop quebecois","indie quebecois",NA,NA,NA,NA,NA,NA
"16","Tom's Diner","AnnenMayKantereit","Tom's Diner",2019,"Summer",76,0.376,0.68,0.428,0.000344,0.355,-8.107,0.135,98.222,"6","0",269333,0.334,"4","0oA9wBGDY4uyILLg4GymWP","cologne indie","german singer-songwriter",NA,NA,NA,NA,NA,NA
"17","Tu m'connais trop bien","Gab Bouchard","Triste pareil",2020,"Winter",40,0.0846,0.577,0.801,0,0.135,-4.52,0.0297,95.068,"8","1",173866,0.714,"4","6HZz8rGJD7PjLtg8bPcmEg","indie quebecois",NA,NA,NA,NA,NA,NA,NA
