"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9"
"1","With Me","Sum 41","Underclass Hero","2007","Winter",65,0.0127,0.167,0.851,0,0.172,-4.039,0.0421,175.426,"4","1",291360,0.11,"3","1OTvWduKQV0MQd2gnGM9He","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"2","Breakeven","The Script","The Script","2008","Autumn",69,0.174,0.627,0.699,0,0.0789,-4.504,0.0244,94.003,"10","1",261426,0.535,"4","38xWaVFKaxZlMFvzNff2aW","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"3","The Man Who Can't Be Moved","The Script","The Script","2008","Autumn",55,0.425,0.609,0.629,0,0.0978,-5.024,0.0264,99.955,"10","1",241466,0.325,"4","2Vq4bs08YppE2hqA2vpEcr","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"4","Walking Disaster","Sum 41","Underclass Hero","2007","Winter",59,0.00379,0.279,0.939,0,0.145,-3.085,0.0883,111.236,"11","1",286373,0.43,"4","7xuhVUJmBpHR276Yc7AsgW","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"5","Best Of Me","Sum 41","Underclass Hero","2007","Winter",55,0.012,0.297,0.701,0,0.13,-5.363,0.0301,178.072,"7","1",265786,0.256,"4","0vKGvQdkbesI7RGKX3tRyk","alternative metal","canadian pop punk","canadian punk","modern rock","nu metal","pop punk","post-grunge","punk","rock"
"6","Hey There Delilah","Plain White T's","All That We Needed","2005","Winter",81,0.872,0.656,0.291,0,0.114,-10.572,0.0293,103.971,"2","1",232533,0.298,"4","4RCWB3V8V0dignt99LZ8vH","modern rock","neo mellow","neon pop punk","pop punk","pop rock",NA,NA,NA,NA
"7","Fast Car","Tracy Chapman","Tracy Chapman","1988","Spring",83,0.313,0.711,0.292,0,0.131,-15.523,0.037,103.951,"4","0",296800,0.194,"4","2M9ro2krNb7nr7HSprkEgo","folk","lilith","singer-songwriter","women's music",NA,NA,NA,NA,NA
"8","Nothing","The Script","Science & Faith","2010","Autumn",62,0.00387,0.47,0.837,0,0.117,-4.963,0.0396,157.044,"2","1",271773,0.522,"4","3cdhgO3vgHyOIADMXokd2t","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA
"9","Iris","The Goo Goo Dolls","Dizzy up the Girl","1998","Autumn",87,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,"11","0",289533,0.497,"3","6Qyc6fS4DsZjB2mRW9DsQs","neo mellow","permanent wave","pop rock","post-grunge",NA,NA,NA,NA,NA
"10","The Judge","Twenty One Pilots","Blurryface","2015","Spring",65,0.177,0.423,0.797,0,0.137,-4.659,0.124,82.617,"0","1",297760,0.592,"4","1lguQJjlNrIOoOylYVZN3M","modern rock","pop","pov: indie","rock",NA,NA,NA,NA,NA
