"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"1","PANICO (feat. Takagi & Ketra)","Lazza","SIRIO",2022,"Spring",71,0.0615,0.788,0.731,0,0.0997,-6.082,0.047,127.03,"4","0",188564,0.258,"4","0SsUOrXUM2gZxVLYizZfQZ","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"2","Fottiti (feat. Tony Effe)","Bresh","ORO BLU",2022,"Spring",50,0.0821,0.51,0.719,0,0.239,-7.434,0.266,168.032,"1","0",139937,0.601,"4","1J6HctZmOX2JTHlOd1VMpU","italian hip hop","italian pop","rap genovese",NA,NA,NA
"3","s!r! (feat. Lazza & Sfera Ebbasta)","thasup","s!r! (feat. Lazza & Sfera Ebbasta)",2022,"Summer",62,0.387,0.675,0.739,0,0.177,-4.603,0.0524,149.959,"6","0",237701,0.338,"4","3gUzi41YOt3VExeyHSLsMj","italian hip hop","italian pop","trap italiana",NA,NA,NA
"4","SOLITE PARE (feat. thasup & Sfera Ebbasta)","Sick Luke","X2",2022,"Winter",65,0.282,0.66,0.79,0,0.299,-4.344,0.0537,111.071,"9","0",211660,0.556,"3","0PQxC8NHgiKXLK3Zm6QoCj","italian hip hop","trap italiana",NA,NA,NA,NA
"5","Collane Rotte","Kehit","2 Mood",2022,"Spring",0,0.104,0.517,0.651,0,0.118,-8.839,0.298,120.372,"8","1",141030,0.495,"5","7sWJVxEJ7RTNbGZ8h8XJEU",NA,NA,NA,NA,NA,NA
"6","Storie tristi","Paky","Storie tristi",2022,"Spring",39,0.216,0.723,0.619,0.000158,0.0924,-7.831,0.0454,87.987,"6","0",167813,0.203,"4","3cQWfqnMAdRbuAP3xVZmsX","italian hip hop","trap italiana",NA,NA,NA,NA
"7","MON AMOUR (feat. Shiva)","Lazza","J",2020,"Summer",56,0.141,0.498,0.78,0,0.393,-6.107,0.309,134.387,"7","0",153680,0.368,"5","4IQpT8aOGChYX4ORMOW0YY","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"8","RapStar","Capo Plaza","Hustle Mixtape",2022,"Summer",54,0.215,0.7,0.811,0,0.282,-4.586,0.125,93.922,"11","1",167234,0.674,"4","3Emty7Nc9QUIuHRPcwopjA","italian hip hop","italian pop","trap italiana",NA,NA,NA
"9","Un'altra volta","Olly","Un'altra volta",2022,"Spring",43,0.377,0.715,0.73,0,0.155,-7.175,0.296,165.091,"1","0",125909,0.443,"4","6SYs6LpcQaYvFcHmJDjTdy","italian pop","pop virale italiano","rap genovese",NA,NA,NA
"10","CRY LATER (feat. Sfera Ebbasta & Luchè)","Noyz Narcos","VIRUS",2022,"Winter",56,0.505,0.703,0.885,0,0.18,-5.277,0.138,92.041,"0","0",174619,0.669,"4","6rY8VQS4hEgdG3OqKd9lBJ","italian hip hop","italian underground hip hop",NA,NA,NA,NA
"11","When I R.I.P.","Labrinth","Euphoria (Original Score from the HBO Series)",2019,"Autumn",72,0.73,0.417,0.551,0.00166,0.0907,-6.456,0.174,87.614,"8","0",174567,0.444,"4","2t16D9V5FmmRAJjsSpwvZf","indie poptimism","pop",NA,NA,NA,NA
"12","sevvuoi","Dedo","sevvuoi",2021,"Autumn",10,0.262,0.55,0.551,0,0.133,-11.554,0.383,179.903,"7","1",138666,0.6,"4","6frrEXPfqGKb5mw4huTeNg",NA,NA,NA,NA,NA,NA
"13","La primavera - Beba & Rossella Essence Remix","Jovanotti","LA PRIMAVERA (I REMIX)",2022,"Winter",13,0.0946,0.766,0.429,0.124,0.148,-14.829,0.126,127.947,"10","1",150307,0.542,"4","3oR0xeeSopwnh2NvP2DXDR","italian adult pop","italian pop",NA,NA,NA,NA
"14","Shakerando","Rhove","Shakerando",2021,"Winter",66,0.764,0.855,0.805,0.00708,0.302,-5.651,0.191,135.009,"7","0",195555,0.469,"4","4EC028SvtlC25iHQSG2OIa","italian hip hop","italian pop","trap italiana",NA,NA,NA
"15","All For Us","Labrinth","Imagination & the Misfit Kid",2019,"Autumn",76,0.0108,0.46,0.66,0.000139,0.34,-6.642,0.0652,141.722,"3","1",191710,0.18,"4","76YSWx6L6FNsuaP6GWBb8P","indie poptimism","pop",NA,NA,NA,NA
"16","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]",2014,"Summer",81,0.22,0.805,0.33,0,0.105,-8.712,0.1,121.97,"1","0",242983,0.211,"4","7t2bFihaDvhIrd2gn2CWJO","hip hop","pop rap","r&b","southern hip hop","trap","trap soul"
"17","PARE (feat. Madame)","Ghali","Sensazione ultra",2022,"Spring",59,0.095,0.795,0.555,0,0.124,-7.91,0.314,125.084,"9","0",165960,0.493,"4","1WQxLQxEDMDwuaAmRXDHIw","italian hip hop","italian pop","milan indie",NA,NA,NA
"18","Una Cosa Sola (feat. Shablo)","Irama","Il giorno in cui ho smesso di pensare",2022,"Winter",46,0.0635,0.795,0.812,0,0.114,-4.329,0.0505,104.989,"0","1",178285,0.605,"4","0OkvsNAnCij983B5DDYXxO","italian adult pop","italian pop",NA,NA,NA,NA
"19","USCITO DI GALERA","Lazza","SIRIO",2022,"Spring",70,0.188,0.594,0.746,0,0.0991,-5.853,0.137,164.231,"7","0",172654,0.0802,"4","01DXwNf1GzEJkYTbXgL0eb","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"20","SESSO OCCASIONALE","Tananai","SESSO OCCASIONALE",2022,"Winter",58,0.00725,0.647,0.857,0,0.0608,-4.23,0.0654,130.007,"0","1",195923,0.659,"4","0Dz9zyx2w3zYtRK6yp3VKD","italian pop",NA,NA,NA,NA,NA
"21","I See You","Jutty Ranx","Jutty Ranx",2013,"Autumn",40,0.000576,0.61,0.748,1.86e-06,0.104,-4.973,0.0593,117.962,"11","0",218206,0.844,"4","7lMPAH4HVReya6P5zCvEuR",NA,NA,NA,NA,NA,NA
"22","5 Gocce (feat. Rkomi)","Irama","Il giorno in cui ho smesso di pensare",2022,"Winter",68,0.279,0.742,0.808,9.85e-06,0.325,-5.206,0.059,74.992,"4","1",160000,0.846,"4","3z0GeNGWyVduziP1cQ0mFN","italian adult pop","italian pop",NA,NA,NA,NA
"23","PIOVE (feat. Sfera Ebbasta)","Lazza","SIRIO",2022,"Spring",69,0.232,0.381,0.627,0,0.0803,-5.446,0.114,187.835,"4","0",155862,0.458,"5","6BUueuMQR4k7CuoMEsnGou","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA
"24","Ci Volevano Fermare","Kehit","2 Mood",2022,"Spring",0,0.0141,0.96,0.603,0.00641,0.107,-6.946,0.128,124.99,"6","1",171520,0.46,"4","6BZJl2dlCDRsLCNmdsaqJM",NA,NA,NA,NA,NA,NA
"25","Mi manchi","Paky","Salvatore",2022,"Autumn",62,0.0563,0.677,0.679,0.0252,0.106,-7.457,0.0706,146.95,"1","1",186160,0.516,"4","7Jgi200kgCNvAuZw2W8Nxq","italian hip hop","trap italiana",NA,NA,NA,NA
"26","SOGNI MATTI (feat. Leon Faun & Drast)","Sick Luke","X2",2022,"Winter",55,0.229,0.513,0.655,0,0.208,-5.732,0.278,80.589,"7","1",197009,0.297,"4","3eSSVIw9YbVm1SLNxqtdjR","italian hip hop","trap italiana",NA,NA,NA,NA
"27","MIA","Bad Bunny","X 100PRE",2018,"Winter",79,0.0142,0.816,0.538,0.000496,0.099,-6.354,0.0617,97.054,"6","0",210367,0.156,"4","3gE4eQH3K83Sght0ZLvuBK","reggaeton","trap latino","urbano latino",NA,NA,NA
"28","Senza Emotions (feat. ANNA)","Vale Pain","Senza Emotions (feat. ANNA)",2022,"Autumn",56,0.204,0.437,0.666,0,0.176,-8.535,0.146,139.906,"7","0",140050,0.515,"4","71LQrUFG59w2vjhYe8Epue","trap italiana",NA,NA,NA,NA,NA
"29","Margarita (con Marracash)","Elodie","This Is Elodie",2020,"Spring",62,0.104,0.816,0.782,0,0.0526,-5.283,0.0929,95.981,"11","0",177213,0.798,"4","6KfwIpX0Xo0lelmuUOnyZV","italian adult pop","italian pop",NA,NA,NA,NA
"30","MALEDETTAMENTE TE","MACHETE","CANTERA MACHETE, VOL. I",2021,"Autumn",26,0.173,0.714,0.54,0,0.0649,-7.384,0.0408,114.059,"6","1",156200,0.635,"4","7kDpz928r4RMXuTSuRJltJ","italian hip hop","italian pop","trap italiana",NA,NA,NA
"31","Moscow Mule","Bad Bunny","Un Verano Sin Ti",2022,"Spring",85,0.294,0.804,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,"5","0",245939,0.292,"4","6Xom58OOXk2SoU711L2IXO","reggaeton","trap latino","urbano latino",NA,NA,NA
"32","Amore (feat. Greg Willen)","Bresh","ORO BLU",2022,"Spring",49,0.0271,0.637,0.66,0,0.0881,-8.357,0.0473,126.124,"10","1",165825,0.347,"4","4gKkcGeCIH2JSfcJ07iJ0P","italian hip hop","italian pop","rap genovese",NA,NA,NA
