"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Il meglio di te","Bresh","Il meglio di te","2022","Summer",53,0.104,0.722,0.592,9.89e-06,0.293,-6.161,0.0805,81.989,"4","0",157013,0.552,"4","2eTXrwuncNqUOAxw2YJ8lv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"2","Caffè","Bresh","Caffè","2021","Summer",40,0.0149,0.67,0.785,0,0.0934,-6.119,0.0424,94.509,"8","1",189108,0.534,"4","4V5gmy8imyB0TJwdIYuGRv","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"3","Bad Habits","Ed Sheeran","=","2021","Autumn",85,0.0451,0.807,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,"11","0",230746,0.537,"4","3rmo8F54jFF8OgYsqTxm5d","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"4","OBLÒ (feat. Rkomi)","Bresh","Che io ci aiuti","2020","Summer",31,0.167,0.663,0.826,0,0.1,-4.659,0.059,98.983,"8","1",217514,0.219,"4","6Is2qDszjUii98QFwVNc1b","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"5","make up sex (feat. blackbear)","Machine Gun Kelly","mainstream sellout","2022","Spring",67,0.00156,0.665,0.678,0,0.474,-4.122,0.0315,131.986,"5","0",122570,0.682,"4","50eJOxJiGmJ7PBZaTKpje1","ohio hip hop","pop rap",NA,NA,NA,NA,NA,NA
"6","Dopamine (feat. Eyelar)","Purple Disco Machine","Exotica","2021","Autumn",67,0.0537,0.689,0.797,0,0.212,-5.604,0.128,117.982,"11","0",216091,0.855,"4","5JBtWpLoGO62gb5vax505b","deep house","house",NA,NA,NA,NA,NA,NA
"7","Alone, Pt. II","Color Music Choir","Alone, Pt. II","2020","Autumn",48,0.419,0.582,0.659,0,0.33,-4.828,0.107,175.782,"7","1",184431,0.498,"4","1YP2wYscUDOtVMTdRJBPeo",NA,NA,NA,NA,NA,NA,NA,NA
"8","LOVESTRUCK","George Barnett","LOVESTRUCK","2022","Spring",25,0.0158,0.611,0.921,6.34e-05,0.594,-0.693,0.0431,94.017,"7","1",209361,0.89,"4","36uHVQFixGfm2MZ4l8X9Pw",NA,NA,NA,NA,NA,NA,NA,NA
"9","Thousand Miles","The Kid LAROI","Thousand Miles","2022","Spring",77,0.0858,0.376,0.657,0,0.0884,-4.658,0.0768,80.565,"7","1",164781,0.203,"4","1r8ZCjfrQxoy2wVaBUbpwg","australian hip hop",NA,NA,NA,NA,NA,NA,NA
"10","Done for Me (feat. Kehlani)","Charlie Puth","Voicenotes","2018","Spring",71,0.193,0.856,0.632,0,0.0688,-3.692,0.074,112.009,"6","0",180493,0.697,"4","1lsBTdE6MGsKeZCD6llNu7","pop","viral pop",NA,NA,NA,NA,NA,NA
"11","Ghosts 'N' Stuff - Radio Edit","deadmau5","Ghosts 'n' Stuff","2009","Winter",46,6.69e-05,0.542,0.8,0.00541,0.79,-5.362,0.0804,127.964,"8","1",191426,0.41,"4","5b2ACxzxhGeLPDr500fQzy","canadian electronic","complextro","edm","electro house","pop dance","progressive house",NA,NA
"12","edamame (feat. Rich Brian)","bbno$","edamame (feat. Rich Brian)","2021","Summer",76,0.023,0.815,0.848,0.000162,0.0265,-4.704,0.115,106.032,"4","0",133706,0.684,"4","1uMHCAyGmHqyygoNRuo7MV","canadian hip hop","dark trap","meme rap",NA,NA,NA,NA,NA
"13","fake love don't last (feat. iann dior)","Machine Gun Kelly","mainstream sellout","2022","Spring",64,0.0226,0.659,0.733,0,0.205,-4.878,0.0577,146.053,"8","1",143204,0.763,"4","4UHyrGQCHu0Orh2utUxbNY","ohio hip hop","pop rap",NA,NA,NA,NA,NA,NA
"14","Punkabbestia","NASKA","Punkabbestia","2021","Autumn",35,0.00282,0.511,0.962,0,0.38,-4.03,0.29,168.218,"0","1",160357,0.482,"4","1gNJOIiZyHhcfGwDL3CXR8","emo rap italiano",NA,NA,NA,NA,NA,NA,NA
"15","Vertigini","Tedua","Mowgli","2018","Spring",65,0.164,0.579,0.774,0,0.131,-6.34,0.164,133.722,"5","0",203040,0.476,"4","1Oou7m2VuxCDSOdqsu07TU","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA,NA,NA
"16","Hit And Run","Breathe Carolina","Hell Is What You Make It: Reloaded","2011","missing",39,0.00113,0.651,0.822,0,0.398,-3.961,0.0372,123.97,"6","0",192120,0.897,"4","62aVFXkx5fSKQdN1K4KLmW","electropowerpop","neon pop punk","trancecore",NA,NA,NA,NA,NA
"17","let you","iann dior","on to better things","2022","Winter",56,0.262,0.598,0.838,0,0.122,-5.513,0.0881,170.191,"7","0",151733,0.704,"4","5bQHJT0MZXTXccO84VpNQP","melodic rap",NA,NA,NA,NA,NA,NA,NA
"18","Light Switch","Charlie Puth","Light Switch (Acoustic)","2022","Winter",31,0.105,0.69,0.626,0.000335,0.0881,-5.693,0.306,184.009,"6","1",187703,0.912,"4","36PM3NBxWiTwhEq96dTxkc","pop","viral pop",NA,NA,NA,NA,NA,NA
"19","Going Dumb","Alesso","Going Dumb","2021","Spring",57,0.0546,0.834,0.678,0.263,0.103,-6.242,0.0515,121.995,"6","0",168601,0.551,"4","7arsXR8AtExnOFN3v3HiJI","dance pop","edm","pop","pop dance","progressive electro house",NA,NA,NA
"20","Paris to Tokyo","Fivio Foreign","Paris to Tokyo","2022","Summer",60,0.0185,0.642,0.787,0,0.288,-6.389,0.17,146.733,"5","0",130897,0.406,"4","5QvW5lK6mkfTegpAK9JOO7","brooklyn drill","new york drill","trap",NA,NA,NA,NA,NA
"21","obvious","iann dior","on to better things","2022","Winter",43,0.00159,0.629,0.726,0,0.293,-5.605,0.0396,112.096,"6","0",137413,0.379,"4","4aZP6zHPTPDazptt4AhTq4","melodic rap",NA,NA,NA,NA,NA,NA,NA
"22","Light Switch - Acoustic","Charlie Puth","Light Switch (Acoustic)","2022","Winter",54,0.745,0.748,0.407,0,0.163,-6.26,0.0656,91.974,"6","1",186295,0.947,"4","42nDnUAPjhZFlj5wt2BjJm","pop","viral pop",NA,NA,NA,NA,NA,NA
"23","Pepepe","Bresh","Pepepe","2018","Summer",35,0.0887,0.714,0.754,0,0.112,-5.115,0.0658,103.988,"10","1",197307,0.379,"4","3Q31w7DEsShvqGEa6FqIqW","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"24","Tell It To My Heart","MEDUZA","Tell It To My Heart","2021","Autumn",73,0.0265,0.539,0.715,0,0.609,-6.639,0.0595,123.854,"11","0",165524,0.489,"4","46nvQpUDsxpS08UTFOeKTA","edm","pop dance","pop house","uk dance",NA,NA,NA,NA
"25","FALENA (feat. Franco126, Coez & Ketama126)","Sick Luke","X2","2022","Winter",57,0.161,0.595,0.68,0,0.198,-5.665,0.0553,95.89,"0","0",215016,0.235,"4","1FEAEKjVQLZuSeb0omUxep","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA
"26","Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)","Achille Lauro","1969 - Achille Idol Rebirth","2020","Autumn",57,0.00391,0.573,0.886,0.000447,0.152,-4.322,0.054,159.975,"2","1",174638,0.487,"4","5i12eplaUT5pPE5iC6B2FZ","italian adult pop","italian hip hop","italian pop",NA,NA,NA,NA,NA
"27","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap","Quevedo: Bzrp Music Sessions, Vol. 52","2022","Summer",90,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,"2","1",198937,0.55,"4","2tTmW7RDtMQtBk7m2rYeSw","argentine hip hop","pop venezolano","trap argentino","trap latino","urbano latino",NA,NA,NA
"28","Hooligans","Bresh","Che io ci aiuti","2020","Summer",50,0.0992,0.558,0.75,0,0.32,-5.497,0.043,156.907,"8","1",147980,0.483,"4","1b9gSi3I7ei5NbnM974NOU","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"29","Blu (feat. Elisa)","Rkomi","Dove Gli Occhi Non Arrivano","2019","Spring",55,0.0255,0.745,0.88,0,0.157,-5.149,0.0654,100.002,"8","1",165333,0.356,"4","0Q4v8N758nx98YxObfqkNC","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"30","thought it was","iann dior","on to better things","2022","Winter",52,0.147,0.695,0.504,0,0.111,-6.09,0.0304,90.018,"4","0",172600,0.197,"4","3gr1pMLpDJGqErHhhl7dEO","melodic rap",NA,NA,NA,NA,NA,NA,NA
"31","10 Architetti","Disme","Glory Days EP","2021","Autumn",36,0.2,0.659,0.729,0.00214,0.371,-6.686,0.0552,142.013,"11","0",167502,0.489,"4","0IsVHr52TUSry93SqxxCZm","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA,NA,NA
"32","Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU","2022","Spring",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,"8","1",171437,0.705,"4","4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"33","Pressing On","Relient K","The Anatomy of the Tongue in Cheek","2001","Summer",42,0.00321,0.483,0.928,0,0.308,-3.863,0.069,124.278,"1","1",209893,0.75,"4","6In4URucfktjEmsDSxHyzO","canadian ccm","christian alternative rock","christian punk","pop punk",NA,NA,NA,NA
"34","10:35","Tiësto","10:35","2022","Autumn",82,0.0683,0.696,0.793,3.78e-06,0.18,-5.733,0.097,120.003,"8","1",172252,0.698,"4","6BePGk3eCan4FqaW2X8Qy3","big room","brostep","dutch edm","edm","house","pop dance","slap house","trance"
"35","House of Memories","Panic! At The Disco","Death of a Bachelor","2016","Winter",83,0.00272,0.506,0.817,0,0.0486,-5.051,0.0335,109.952,"11","0",208706,0.506,"4","2DgdHcjWmO3qd50RzuBLgZ","modern rock","pop",NA,NA,NA,NA,NA,NA
"36","Straordinario","Disme","Malverde","2020","Winter",45,0.108,0.606,0.627,0,0.183,-7.816,0.412,120.675,"2","1",196833,0.3,"5","1Z30PIsTylGhdgcNelTR8X","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA,NA,NA
"37","Paint It, Black","The Rolling Stones","Aftermath","1966","Spring",85,0.0493,0.464,0.795,0.00244,0.399,-9.267,0.0926,158.691,"1","1",202266,0.612,"4","63T7DJ1AFDD6Bn8VzG6JE8","album rock","british invasion","classic rock","rock",NA,NA,NA,NA
"38","Somebody That I Used To Know","Gotye","Making Mirrors","2011","Winter",82,0.548,0.865,0.521,0.000115,0.0989,-6.932,0.0371,129.059,"0","1",244884,0.748,"4","1qDrWA6lyx8cLECdZE7TV7","australian pop",NA,NA,NA,NA,NA,NA,NA
"39","Potion (with Dua Lipa & Young Thug)","Calvin Harris","Funk Wav Bounces Vol. 2","2022","Summer",62,0.158,0.824,0.697,4.11e-05,0.0751,-4.869,0.0473,99.987,"11","0",215215,0.757,"4","3h8tI65xdfpQyTAy7Grqwa","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance"
"40","Come Stai (feat. Izi)","Bresh","ORO BLU","2022","Spring",54,0.498,0.72,0.55,0,0.137,-9.379,0.055,134.097,"11","0",166982,0.272,"4","2S9ST4PsqOyvUj0YvfmxXl","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA,NA
"41","The Way Back","Solomun","Compost Black Label #36","2008","Summer",57,0.111,0.855,0.425,0.852,0.0774,-12.939,0.0953,120.022,"7","1",446053,0.194,"4","401kD29F2kQm7jKtntwqRw","german techno","hamburg electronic","melodic techno","minimal techno",NA,NA,NA,NA
"42","Bam Bam (feat. Ed Sheeran)","Camila Cabello","Bam Bam (feat. Ed Sheeran)","2022","Spring",79,0.182,0.756,0.697,0,0.333,-6.377,0.0401,94.996,"8","1",206070,0.956,"4","0QBzMgT7NIeoCYy3sJCof1","dance pop","pop",NA,NA,NA,NA,NA,NA
"43","That's Hilarious","Charlie Puth","CHARLIE","2022","Autumn",74,0.739,0.713,0.442,0,0.112,-5.909,0.0604,108.038,"6","1",144933,0.546,"4","0wPKDeY4fZXT6k9bzV0kx0","pop","viral pop",NA,NA,NA,NA,NA,NA
"44","MALEDUCATA (con DARGEN D'AMICO)","Rkomi","TAXI DRIVER","2022","Winter",47,0.188,0.816,0.834,0,0.256,-5.179,0.272,115.121,"6","0",165328,0.758,"4","3y7eJyB0UBEz2yTTUF3EpJ","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"45","Enemy - From the series Arcane League of Legends","Imagine Dragons","Enemy (from the series Arcane League of Legends)","2021","Autumn",76,0.247,0.722,0.745,0,0.419,-4.164,0.256,77.029,"7","1",173381,0.52,"4","5UlnuulVAVmmesw4VzqHdG","modern rock","pop","rock",NA,NA,NA,NA,NA
"46","MIDDLE OF THE NIGHT","Elley Duhé","MIDDLE OF THE NIGHT","2020","Winter",85,0.0228,0.41,0.611,0,0.116,-8.271,0.0467,185.727,"4","0",184447,0.0899,"3","58HvfVOeJY7lUuCqF0m3ly","alt z",NA,NA,NA,NA,NA,NA,NA
"47","TEMPORALE (feat. Ketama126, Izi & Luche)","Sick Luke","X2","2022","Winter",48,0.279,0.639,0.86,0,0.166,-3.833,0.0357,151.927,"0","0",196046,0.334,"4","7JU00ScKFiTaZLFU2Nj6gc","italian hip hop","trap italiana",NA,NA,NA,NA,NA,NA
