"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"1","Blueface (feat. Izi, Tedua)","Disme","Glory Days EP",2021,"Autumn",59,0.148,0.483,0.819,0,0.224,-4.404,0.0783,93.331,"8","0",222968,0.528,"3","2Ctj9DfXfh9kW3erTp907i","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"2","TEMPORALE (feat. Ketama126, Izi & Luche)","Sick Luke","X2",2022,"Winter",48,0.279,0.639,0.86,0,0.166,-3.833,0.0357,151.927,"0","0",196046,0.334,"4","7JU00ScKFiTaZLFU2Nj6gc","italian hip hop","trap italiana",NA,NA,NA,NA
"3","Wild Bandana (feat. Tedua & Vaz Tè)","Izi","Pizzicato",2017,"Spring",56,0.117,0.738,0.817,0,0.0625,-6.284,0.232,122.055,"1","0",309306,0.612,"4","4I0zrlR1lT6aHYiu79MzWy","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"4","Svuotatasche","Bresh","ORO BLU",2022,"Spring",59,0.369,0.489,0.367,0,0.198,-10.254,0.0878,131.302,"0","1",231602,0.524,"4","6I28wnb48iMVVfyTSf4lkx","italian hip hop","italian pop","rap genovese",NA,NA,NA
"5","L'ultima volta - feat. Massimo Pericolo","Emis Killa","17",2020,"Autumn",58,0.287,0.569,0.801,0,0.105,-4.318,0.259,89.758,"2","1",210960,0.24,"4","3rOw9WmYFCRLHTRcbOjhUl","italian hip hop","italian pop",NA,NA,NA,NA
"6","IL GIORNO PIÙ TRISTE DEL MONDO (feat. Ariete & Mecna)","Sick Luke","X2",2022,"Winter",50,0.348,0.72,0.736,1.31e-06,0.216,-4.646,0.157,144.058,"5","1",191495,0.463,"4","4YyShs1DikZWBV6AS3n2We","italian hip hop","trap italiana",NA,NA,NA,NA
"7","Cosa Non Va","Disme","Malverde",2020,"Winter",56,0.0931,0.766,0.388,0,0.109,-9.102,0.41,144.486,"7","1",166000,0.332,"4","6KUwArIH35jzp51AjQDnDo","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"8","Angelina Jolie","Bresh","Angelina Jolie",2021,"Spring",61,0.073,0.681,0.691,0,0.113,-6.684,0.181,160.338,"4","0",169671,0.644,"4","0tD4EXZRm1JGDYWtKYFLWK","italian hip hop","italian pop","rap genovese",NA,NA,NA
"9","Sesso e droga (feat. Guè & Gemitaiz)","Coez","Volare",2022,"Spring",49,0.117,0.683,0.784,0,0.0666,-6.309,0.0572,109.959,"5","1",211966,0.27,"4","4V1QaXYouVq2EkkjGDRX2N","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"10","DIO NON É SORDO ལྷ (con IZI, JACK THE SMOKER & JAKE LA FURIA)","MACE","OBE",2021,"Winter",46,0.721,0.709,0.736,0,0.134,-6.162,0.245,127.006,"4","0",211652,0.499,"4","7BN8PtxIEZLI1DSH6YzVSJ","funk carioca","italian hip hop","italian pop",NA,NA,NA
"11","Dare Gas (Veloce)","Quentin40","Dare Gas (Veloce)",2020,"Autumn",42,0.317,0.748,0.609,0,0.129,-6.357,0.0467,74.531,"6","1",131677,0.36,"4","3BPXy72b2d6lBHFOHHf9l6","italian hip hop","trap italiana",NA,NA,NA,NA
"12","La Presa B e La Presa Male (feat. Francesca Michielin)","Bresh","ORO BLU",2022,"Spring",46,0.362,0.699,0.473,0,0.11,-8.033,0.0772,86.502,"5","1",195452,0.0983,"4","16TaDfuh9aueJJY96mFdXw","italian hip hop","italian pop","rap genovese",NA,NA,NA
"13","Occhi rossi","Coez","Volare",2022,"Spring",64,0.0746,0.545,0.477,0,0.0977,-6.021,0.0427,123.465,"11","1",177310,0.353,"4","5bvsNn7f4m0MTCuUQkMZGY","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"14","BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)","MACE","OBE",2021,"Winter",59,0.498,0.692,0.711,0,0.233,-6.272,0.102,139.985,"7","1",208853,0.718,"4","70im6fWHD1m7VQve5I6Yim","funk carioca","italian hip hop","italian pop",NA,NA,NA
"15","Manhattan - feat. Wildbandana","Tedua","Vita Vera Mixtape",2020,"Summer",51,0.0936,0.69,0.539,0,0.149,-7.461,0.161,140.111,"1","1",190999,0.341,"4","1ZfOO2GXFZCNJqZFwsiKRL","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"16","Alcool & Acqua (feat. PSICOLOGI)","Bresh","ORO BLU",2022,"Spring",60,0.198,0.703,0.706,0,0.121,-7.32,0.161,120.027,"8","1",171437,0.705,"4","4UpCWcaJdu26OxLwxd3baF","italian hip hop","italian pop","rap genovese",NA,NA,NA
"17","KUMITE","Salmo","FLOP",2021,"Autumn",64,0.0614,0.816,0.711,0,0.103,-4.45,0.121,140.062,"7","0",170018,0.775,"4","6yaNNYWPjkWHbh1jADEyJO","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA,NA
"18","Polo Sport","Thelonious B.","Polo Sport",2018,"Winter",35,0.752,0.738,0.673,0,0.118,-5.264,0.297,111.967,"9","1",162879,0.387,"5","0R4vaZgqskXAh25vblHx3y","italian hip hop","trap italiana",NA,NA,NA,NA
"19","New Chelsea","Disme","New Chelsea",2021,"Summer",41,0.177,0.834,0.755,4.2e-06,0.164,-4.284,0.132,113.945,"9","0",175531,0.468,"4","3GFotb3dCgbP4TFUeORBL9","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"20","Come Stai (feat. Izi)","Bresh","ORO BLU",2022,"Spring",54,0.498,0.72,0.55,0,0.137,-9.379,0.055,134.097,"11","0",166982,0.272,"4","2S9ST4PsqOyvUj0YvfmxXl","italian hip hop","italian pop","rap genovese",NA,NA,NA
"21","Bomba a mano","Coez","Volare",2022,"Spring",41,0.133,0.399,0.538,0,0.0994,-5.956,0.0385,113.42,"2","1",195374,0.378,"4","5WJr2nbJj2B5lPX3k5JxTl","italian adult pop","italian pop","rap napoletano","rome indie",NA,NA
"22","L","ARIETE","L",2021,"Autumn",44,0.169,0.556,0.515,0,0.162,-9.024,0.0289,79.952,"1","1",159449,0.384,"4","1zDFKQ2JfsRQpQSivgFFkR","italian hip hop","italian pop","rome indie",NA,NA,NA
"23","DUBBI","Marracash","NOI, LORO, GLI ALTRI",2021,"Autumn",66,0.57,0.727,0.698,0,0.11,-9.676,0.365,92.915,"8","1",234446,0.356,"4","4gxRyOZefp95AXZFaztdtO","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA
"24","Andrea","Bresh","ORO BLU",2022,"Spring",61,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,"11","0",185125,0.325,"3","0DSq4f2grIJOrawmfXkrRy","italian hip hop","italian pop","rap genovese",NA,NA,NA
"25","FALENA (feat. Franco126, Coez & Ketama126)","Sick Luke","X2",2022,"Winter",57,0.161,0.595,0.68,0,0.198,-5.665,0.0553,95.89,"0","0",215016,0.235,"4","1FEAEKjVQLZuSeb0omUxep","italian hip hop","trap italiana",NA,NA,NA,NA
"26","Tutto torna","Izi","Pizzicato",2017,"Spring",40,0.107,0.304,0.678,0,0.109,-7.747,0.0828,173.702,"6","0",196440,0.493,"4","2xgd2PgoKYf7sFFDDmWIMi","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"27","L'ultima notte","ARIETE","L'ultima notte",2021,"Spring",65,0.268,0.618,0.687,0,0.126,-5.603,0.0446,94.037,"2","1",157566,0.398,"4","63mdY4U0KvnbMkUEc7FHN8","italian hip hop","italian pop","rome indie",NA,NA,NA
"28","Caffè","Bresh","ORO BLU",2022,"Spring",56,0.0291,0.644,0.755,0,0.0809,-6.768,0.0422,94.529,"8","1",189025,0.58,"4","2WoqekZTPdDdiJ1RgSldUT","italian hip hop","italian pop","rap genovese",NA,NA,NA
"29","STUPIDO","Massimo Pericolo","SOLO TUTTO",2021,"Spring",67,0.708,0.404,0.529,2.19e-05,0.219,-8.885,0.364,86.711,"11","0",187431,0.36,"4","6HVRRlc2sBlkcKEkhlsp86","italian hip hop","trap metal italiana",NA,NA,NA,NA
"30","LA CHIAVE - feat. Marracash","Salmo","FLOP",2021,"Autumn",56,0.259,0.796,0.762,0,0.262,-5.512,0.411,150.063,"10","0",119492,0.419,"4","20Op27p3aV0WiaP7qOTlWP","italian hip hop","italian pop","italian underground hip hop","rap sardegna",NA,NA
"31","NOTTE SCURA (feat. Gazzelle & Tedua)","Sick Luke","X2",2022,"Winter",54,0.327,0.629,0.597,0,0.148,-6.135,0.208,79.941,"11","1",176360,0.625,"4","7sp2D8wdzeyd3epj5NnlLC","italian hip hop","trap italiana",NA,NA,NA,NA
"32","Clean – feat. Ketama126","Bresh","Che io ci aiuti",2020,"Summer",42,0.147,0.747,0.819,0,0.0747,-5.856,0.0524,85.009,"11","1",172196,0.16,"4","5zQ5HTuMild6sdRRHL9kXk","italian hip hop","italian pop","rap genovese",NA,NA,NA
"33","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",2021,"Autumn",78,0.0889,0.639,0.703,1.78e-06,0.0865,-6.33,0.0794,169.888,"4","0",207301,0.138,"4","4gzsuuZypVbxs0Af1LSZyB","pop reggaeton","reggaeton","trap latino","urbano latino",NA,NA
"34","Favolacce","Nayt","MOOD",2021,"Spring",48,0.543,0.686,0.485,0,0.11,-6.796,0.0574,154.882,"4","0",182000,0.314,"4","7gNV6kCC2GTJ1zRqutAze1","italian hip hop",NA,NA,NA,NA,NA
"35","Rari - feat. Paky, Shiva","Tedua","Vita Vera - Mixtape, aspettando la Divina Commedia",2020,"Summer",54,0.078,0.776,0.853,0,0.0821,-5.06,0.428,90.227,"4","0",133963,0.29,"4","24UaUs34XY2PDek7j0OEgg","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"36","Mai brillo – feat. Disme, Vaz Tè","Bresh","Che io ci aiuti",2020,"Summer",54,0.199,0.634,0.721,0,0.103,-6.214,0.105,81.262,"1","1",174394,0.81,"4","7uvYHwfvmsCCT0009ZNTZ0","italian hip hop","italian pop","rap genovese",NA,NA,NA
"37","Dile (Homenaje)","Jhayco","Timelezz",2021,"Autumn",67,0.0488,0.764,0.745,0,0.172,-4.563,0.0475,93.013,"5","0",228933,0.727,"4","073yIM7v2j6XadD4Nkn0Fh","reggaeton","trap latino","urbano latino",NA,NA,NA
"38","EXPERIMENTO","Myke Towers","EXPERIMENTO",2021,"Autumn",72,0.0828,0.805,0.806,0,0.156,-3.589,0.0393,110.042,"6","0",222728,0.682,"4","6c32C8T3KlXrbvWSoD5aON","reggaeton","trap latino","urbano latino",NA,NA,NA
"39","Lo-fi Drill","Tedua","Don't Panic",2021,"Spring",53,0.0985,0.782,0.781,0,0.143,-7.132,0.306,136.08,"11","1",102000,0.431,"4","0V7fFdSCLSCWlvyyiUrQIM","indie liguria","italian hip hop","italian pop","rap genovese","trap italiana",NA
"40","Volando - Remix","Mora","Volando (Remix)",2021,"Summer",80,0.207,0.659,0.688,0,0.113,-4.649,0.0673,153.979,"6","1",273474,0.632,"4","0G2zPzWqVjR68iNPmx2TBe","trap latino","urbano latino",NA,NA,NA,NA
"41","Ley Seca","Jhayco","Timelezz",2021,"Autumn",76,0.101,0.759,0.842,0,0.134,-3.758,0.096,105.059,"8","1",263253,0.584,"4","3JCaq3KDSROg3TXhdiDa9n","reggaeton","trap latino","urbano latino",NA,NA,NA
"42","Straordinario","Disme","Malverde",2020,"Winter",45,0.108,0.606,0.627,0,0.183,-7.816,0.412,120.675,"2","1",196833,0.3,"5","1Z30PIsTylGhdgcNelTR8X","emo trap italiana","italian hip hop","rap genovese","trap italiana",NA,NA
"43","Ella","Boza","Bucle",2022,"Spring",59,0.386,0.852,0.593,0.168,0.154,-5.892,0.0702,90.002,"6","1",221407,0.87,"4","4177FNDorJz54RrGDbftxU","panamanian pop","reggaeton","urbano latino",NA,NA,NA
"44","Volví","Aventura","Volví",2021,"Summer",81,0.422,0.725,0.86,0.000284,0.0674,-3.726,0.182,175.896,"1","1",230125,0.791,"4","2vmfvSoZBFAt9hhRoEByLi","bachata","bachata dominicana","latin hip hop","latin pop","tropical","urbano latino"
"45","Qué Más Pues?","J Balvin","JOSE",2021,"Autumn",76,0.0272,0.903,0.817,0.000311,0.242,-3.972,0.095,102.014,"8","1",217360,0.732,"4","6D2TCm4nf5nxAcdGJ7w3QP","reggaeton","reggaeton colombiano","trap latino","urbano latino",NA,NA
"46","Amore (feat. Greg Willen)","Bresh","ORO BLU",2022,"Spring",49,0.0271,0.637,0.66,0,0.0881,-8.357,0.0473,126.124,"10","1",165825,0.347,"4","4gKkcGeCIH2JSfcJ07iJ0P","italian hip hop","italian pop","rap genovese",NA,NA,NA
"47","Cowboy - feat. Tedua","Emis Killa","17",2020,"Autumn",48,0.364,0.697,0.702,0,0.128,-6.01,0.306,150.165,"5","0",180546,0.807,"4","3Pk5QS6oHK5qgCSmxaqwYn","italian hip hop","italian pop",NA,NA,NA,NA
