"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","DUBBI","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",66,0.57,0.727,0.698,0,0.11,-9.676,0.365,92.915,"8","1",234446,0.356,"4","4gxRyOZefp95AXZFaztdtO","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"2","LORO","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",55,0.408,0.57,0.606,7.13e-06,0.253,-6.731,0.193,93.089,"2","1",198186,0.536,"4","7xMMN5LyDOjGry2NfTfUEA","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"3","PAGLIACCIO","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",54,0.314,0.55,0.639,0,0.298,-6.387,0.216,130.845,"11","0",177522,0.169,"4","5trbuuAYFIQso9ODtj2RBY","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"4","Una Chiave","Caparezza","Prisoner 709","2017","Autumn",49,0.0319,0.696,0.934,0.000769,0.107,-4.642,0.0489,95.015,"8","1",245613,0.695,"4","7cdZQa8jWsGt4UlTw1ysPO","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"5","∞ LOVE (feat. Guè)","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",69,0.105,0.726,0.828,0,0.0873,-5.191,0.071,125.002,"7","0",218367,0.307,"4","0HhSB4nAJpI5expWnZL199","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"6","Robin Hood","PSICOLOGI","1002","2019","Autumn",39,0.233,0.678,0.754,0,0.107,-8.282,0.459,89.719,"6","1",122666,0.941,"4","16CqndPtAykQUacH1Qo1KZ","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"7","COMINCIA TU (feat. Rosa Chemical)","Tananai","COMINCIA TU (feat. Rosa Chemical)","2022","Winter",54,0.0295,0.694,0.682,0,0.644,-4.735,0.0651,112.028,"9","0",149196,0.798,"4","00aZI3Ds8liGrcqEetsEYf","italian pop",NA,NA,NA,NA,NA,NA,NA
"8","Mica Van Gogh","Caparezza","Museica","2014","Winter",50,0.00516,0.691,0.901,1.54e-06,0.136,-5.454,0.0645,102.05,"0","1",235853,0.629,"4","3kY5r7AOTtnoxi59GNIlDM","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"9","Certi Giorni (feat. Nitro)","Ernia","68 (Till The End)","2019","Spring",56,0.0308,0.739,0.539,0.000233,0.0961,-7.486,0.271,85.965,"7","1",194651,0.358,"4","4nvsA575k8HrEjdQ78Ymvi","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA
"10","LAUREA AD HONOREM (feat. Calcutta)","Marracash","NOI, LORO, GLI ALTRI","2021","Autumn",64,0.485,0.614,0.464,0,0.0812,-8.473,0.0803,152.092,"9","1",195799,0.293,"4","0WgVvy1KelQxG6KBUukTWI","italian hip hop","italian pop","italian underground hip hop","rap napoletano",NA,NA,NA,NA
"11","Ancora Sveglio","PSICOLOGI","1002","2019","Autumn",31,0.464,0.595,0.708,0,0.129,-8.075,0.332,149.918,"7","1",147612,0.392,"4","2zjjFL0CdWHd7wavlAf55b","italian hip hop","italian pop","rome indie",NA,NA,NA,NA,NA
"12","Comunque Dada","Caparezza","Museica","2014","Winter",35,0.0319,0.723,0.805,9.82e-06,0.108,-6.71,0.182,93.088,"2","1",187226,0.698,"4","2OZvAPXayqwkZKK5GaewWR","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"13","Bella","Ernia","Come Uccidere Un Usignolo","2017","Summer",62,0.193,0.561,0.577,0,0.2,-11.899,0.935,172.307,"6","1",206510,0.646,"4","7CxLQIq4kIq8P8UwemcKfX","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA
"14","Gaetano","Calcutta ","Mainstream +","2017","Winter",37,0.752,0.609,0.483,3.96e-06,0.264,-7.778,0.0287,139.908,"0","1",242320,0.254,"4","6q4n5f3IFIZohAy1ibN88e","italian adult pop","italian pop","rome indie",NA,NA,NA,NA,NA
"15","La guerra di Piero","Fabrizio De André","Volume 3","1968","missing",54,0.9,0.618,0.36,1.07e-06,0.09,-14.037,0.201,105.536,"1","0",181893,0.817,"4","49HaNRctnmeQM4KjGktJ1Q","canzone d'autore","canzone genovese","classic italian pop","folk rock italiano","italian adult pop","musica sarda",NA,NA
"16","China Town","Caparezza","Museica","2014","Winter",49,0.308,0.577,0.653,9.69e-06,0.22,-7.864,0.0507,81.966,"0","1",235186,0.362,"4","0sWPru0EpQZtymTLiRYm9o","italian adult pop","italian pop","italian reggae",NA,NA,NA,NA,NA
"17","Fuoriluogo (feat. Madame)","Ernia","Gemelli","2020","Summer",50,0.187,0.575,0.672,0.000289,0.342,-6.501,0.202,92.564,"3","0",182608,0.379,"4","1LElRnF04TONfEaO4R2wqO","italian hip hop","italian pop","milan indie",NA,NA,NA,NA,NA
"18","C'est la Vie","Achille Lauro","1969 - Achille Idol Rebirth","2020","Autumn",54,0.169,0.471,0.515,0,0.106,-8.207,0.0377,146.156,"11","0",193150,0.555,"4","0H69IrkN2Y9Df69rzyMscc","italian adult pop","italian hip hop","italian pop",NA,NA,NA,NA,NA
