"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7"
"1","Andrea","Bresh","Andrea",2022,"Winter",46,0.281,0.367,0.596,0,0.125,-8.04,0.118,175.658,"11","0",185125,0.325,"3","03j2Lo97VCDprSk8oLb8Gi","italian hip hop","italian pop","rap genovese",NA,NA,NA,NA
"2","Alette","FVLLA","Alette",2021,"Summer",19,0.147,0.339,0.658,0,0.0476,-8.525,0.072,143.759,"1","1",156666,0.707,"4","56f2XysqkJTSH1GYYrGKeB",NA,NA,NA,NA,NA,NA,NA
"3","Polly","NASKA","REBEL",2022,"Spring",52,0.121,0.737,0.782,0,0.098,-4.346,0.0313,132.054,"1","0",165508,0.931,"4","1drNpTgwd5Jfzda228o9pa","emo rap italiano",NA,NA,NA,NA,NA,NA
"4","Lucy","Venerus","Magica Musica",2021,"Winter",41,0.0225,0.594,0.792,4.57e-05,0.103,-6.929,0.0389,95.025,"9","1",290117,0.842,"4","0GcslnhI2ZCFsrWgJD06Vo","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"5","ESTATE80","PSICOLOGI","MILLENNIUM BUG X",2021,"Spring",43,0.0179,0.755,0.792,0,0.234,-5.466,0.0327,123.025,"11","1",181472,0.965,"4","32nXo626Skw1tHWWYXKSKU","italian hip hop","italian pop","rome indie",NA,NA,NA,NA
"6","BABY GODDAMN","Tananai","BABY GODDAMN",2021,"Spring",62,0.0317,0.819,0.764,2.73e-05,0.0579,-3.311,0.1,114.033,"10","0",149605,0.885,"4","3yWHQ4n4ARLDfYTuT2NhnN","italian pop",NA,NA,NA,NA,NA,NA
"7","Sorpresa (feat. Nayt)","CanovA","Sorpresa (feat. Nayt)",2021,"Winter",49,0.531,0.599,0.6,0,0.206,-6.876,0.049,153.942,"0","0",193298,0.619,"4","2JbrFFQEv0HgWZnsXaY4v7","italian pop",NA,NA,NA,NA,NA,NA
"8","Marylin","Tauro Boys","TauroTape2",2018,"Autumn",35,0.131,0.657,0.38,0.01,0.166,-11.914,0.0486,90.511,"0","1",196243,0.582,"4","5AHqRXh1GcsBp8C0Ahwaaw","hyperpop italiano","italian hip hop",NA,NA,NA,NA,NA
"9","Namasté (feat. Rkomi)","Venerus","Magica Musica",2021,"Winter",44,0.664,0.584,0.64,0.000506,0.371,-7.434,0.0514,79.976,"5","1",233040,0.536,"4","6He0QxDkF7LMLAyfHL7kHQ","indie rock italiano","italian hip hop","italian indie pop","italian pop","milan indie","r&b italiano","rome indie"
"10","Disturbato","L'Elfo","Gipsy Prince",2018,"Autumn",45,0.824,0.761,0.6,0,0.215,-6.516,0.0539,126.083,"1","1",157147,0.888,"4","0mc9y7m2lpmZSENtQ6G0Xo","italian hip hop","rap siciliano",NA,NA,NA,NA,NA
"11","Sembra quasi","Fulminacci","Tante care cose e altri successi",2022,"Spring",41,0.812,0.622,0.445,0,0.121,-8.161,0.0288,141.933,"11","0",198040,0.391,"4","5HxBuOgyDz5mNHzSAqV3QV","italian indie pop","italian pop","rome indie",NA,NA,NA,NA
