"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber","Justice","2021","Spring",84,0.321,0.677,0.696,0,0.42,-6.181,0.119,90.03,"0","1",198081,0.464,"4","4iJyoBOLtHqaGxP12qzhQI","canadian pop","pop",NA,NA,NA,NA,NA,NA
"2","GASOLINA","ANNA","GASOLINA","2022","Summer",53,0.0695,0.713,0.862,3.95e-06,0.0847,-2.9,0.0423,130.139,"2","1",145846,0.691,"4","3uaQK6iP56b0oVzFWUO6mn","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"3","Love You Like A Love Song","Selena Gomez","For You","2014","Autumn",57,0.0768,0.858,0.677,0,0.0757,-3.842,0.047,117.011,"1","0",188453,0.922,"4","7lAoovVf67mECK18oOpJbc","pop","post-teen pop",NA,NA,NA,NA,NA,NA
"4","Send My Love (To Your New Lover)","Adele","25","2015","Autumn",76,0.0355,0.688,0.533,3.48e-06,0.172,-8.363,0.0865,164.069,"6","0",223078,0.567,"4","563SfWAHJs4FBZMkRN0IFN","british soul","pop","pop soul","uk pop",NA,NA,NA,NA
"5","Royals","Lorde","Pure Heroine","2013","Autumn",84,0.121,0.674,0.428,0,0.132,-9.504,0.122,84.878,"7","1",190185,0.337,"4","2dLLR6qlu5UJ5gk0dKz0h3","art pop","metropopolis","nz pop","pop",NA,NA,NA,NA
"6","Solo (feat. Demi Lovato)","Clean Bandit","Solo (feat. Demi Lovato)","2018","Spring",72,0.0441,0.737,0.636,6.66e-05,0.35,-4.546,0.0437,105.005,"11","0",222653,0.565,"4","6kPJZM97LwdG9QIsT7khp6","pop","uk dance","uk funky",NA,NA,NA,NA,NA
"7","Cake By The Ocean","DNCE","DNCE","2016","Autumn",84,0.152,0.774,0.753,0,0.0371,-5.446,0.0517,119.002,"4","0",219146,0.896,"4","76hfruVvmfQbw0eYn1nmeC","dance pop","pop",NA,NA,NA,NA,NA,NA
"8","Ready or Not","Bridgit Mendler","Hello My Name Is...","2012","Winter",73,0.00351,0.715,0.872,3.84e-05,0.107,-3.835,0.0509,93.043,"2","1",200946,0.748,"4","5xvUgoVED1F4mBu8FL0HaW","pop","post-teen pop",NA,NA,NA,NA,NA,NA
"9","Woman","Doja Cat","Planet Her","2021","Summer",87,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,"5","0",172626,0.881,"4","6Uj1ctrBOjOas8xZXGqKk4","dance pop","pop",NA,NA,NA,NA,NA,NA
"10","Thinking out Loud","Ed Sheeran","x (Deluxe Edition)","2014","Summer",85,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,"2","1",281560,0.591,"4","34gCuhDGsG4bRPIf9bb02f","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA
"11","Animals","Maroon 5","V","2014","Autumn",83,0.000185,0.279,0.742,0,0.593,-6.46,0.0898,189.868,"4","0",231013,0.328,"4","2bL2gyO6kBdLkNSkxXNh6x","pop",NA,NA,NA,NA,NA,NA,NA
"12","Lemon Tree","Fools Garden","Dish of the Day","1995","Winter",77,0.644,0.663,0.477,0,0.122,-8.839,0.0414,143.173,"1","1",191026,0.643,"4","1yr9HpAu3prvxmq783ZELn","german pop rock",NA,NA,NA,NA,NA,NA,NA
