"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Taylor Swift","Red (Taylor's Version)","2021","Autumn",77,0.271,0.498,0.61,0,0.223,-5.098,0.0363,79.918,"6","1",245426,0.474,"4","7qEUFOVcxRI19tbT68JcYK","pop",NA,NA,NA,NA,NA,NA,NA
"2","Puccini: Madama Butterfly, Act 2: ""Un bel dì vedremo"" (Butterfly)","Giacomo Puccini","Puccini: Madama Butterfly (1955 - Karajan) - Callas Remastered","1955","missing",50,0.991,0.207,0.17,0.0243,0.0804,-11.784,0.0404,77.235,"1","1",283934,0.0827,"3","69EKwvg7nkdOO3RmeUMJZG","classical","italian opera","italian romanticism","post-romantic era",NA,NA,NA,NA
"3","Giovani Wannabe","Pinguini Tattici Nucleari","Giovani Wannabe","2022","Spring",63,0.0409,0.739,0.81,0,0.122,-5.317,0.0311,127.972,"11","0",212966,0.948,"4","7iLuBTHJSXM2HalKHFqEEy","bergamo indie","italian indie pop","italian pop","milan indie",NA,NA,NA,NA
"4","Operator (That's Not the Way It Feels)","Jim Croce","You Don't Mess Around With Jim","1972","Spring",67,0.765,0.687,0.453,8.49e-06,0.0897,-11.649,0.0335,129.987,"7","1",230213,0.83,"4","3NJzkMApQqAudLSgYb5Bz2","classic rock","country rock","folk","folk rock","heartland rock","mellow gold","singer-songwriter","soft rock"
"5","Don’t Blame Me","Taylor Swift","reputation","2017","Autumn",92,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,"9","0",236413,0.193,"4","1R0a2iXumgCiFb7HEZ7gUE","pop",NA,NA,NA,NA,NA,NA,NA
"6","Tristan und Isolde (1997 - Remaster): Dolce e calmo (Liebestod) (Act III)","Maria Callas","Live in Concert","1997","Autumn",1,0.827,0.18,0.325,0.0123,0.76,-12.862,0.0371,85.542,"10","1",385933,0.0384,"3","5ATBaDbOX9P1qeRTf61Eic","classical","classical soprano","opera",NA,NA,NA,NA,NA
"7","Nessuno Vuole Essere Robin","Cesare Cremonini","Possibili Scenari","2017","Autumn",55,0.566,0.522,0.428,0,0.11,-9.985,0.0307,138.051,"2","1",284480,0.208,"4","66l5RSJ4kvo9FUHqZ4x7Ti","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"8","If You Lie Down With Me","Lana Del Rey","Blue Banisters","2021","Autumn",67,0.913,0.641,0.346,3.99e-05,0.104,-9.508,0.036,122.101,"0","1",265186,0.187,"4","1RPsOAaHaRu8JlVdeaciuL","art pop","pop",NA,NA,NA,NA,NA,NA
"9","Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)","2021","Autumn",78,0.817,0.606,0.377,0,0.154,-9.455,0.0275,101.96,"0","1",258812,0.446,"4","01K4zKU104LyJ8gMb7227B","pop",NA,NA,NA,NA,NA,NA,NA
"10","Shotgun","George Ezra","Staying at Tamara's","2018","Spring",79,0.286,0.673,0.735,0,0.242,-4.733,0.0457,115.744,"5","1",201287,0.754,"4","4ofwffwvvnbSkrMSCKQDaC","folk-pop","neo-singer-songwriter","talent show",NA,NA,NA,NA,NA
"11","Qualcosa Di Grande","Lùnapop","...Squérez?","1999","Autumn",63,0.293,0.264,0.897,0,0.123,-4.927,0.0636,89.618,"9","0",267266,0.17,"4","2458SfCYo5icZorTEbo1TY","classic italian pop","italian adult pop","italian pop",NA,NA,NA,NA,NA
"12","Verdi: Il trovatore, Act 4: ""D'amor sull'ali rosee"" (Leonora)","Maria Callas","Pure - Maria Callas","2014","Autumn",24,0.987,0.226,0.0992,0.00366,0.11,-16.949,0.0468,72.791,"8","1",247760,0.0395,"4","2IuQINZo9v31DKccEGedoI","classical","classical soprano","opera",NA,NA,NA,NA,NA
