"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6"
"1","Je te laisserai des mots","Patrick Watson","Je te laisserai des mots",2010,"Autumn",86,0.989,0.303,0.187,0.489,0.101,-16.757,0.0356,132.731,"2","1",160853,0.213,"4","0V5cvmTKsYmF5FmGGEAfmS","indie folk","indie quebecois",NA,NA,NA,NA
"2","I Wanted to Leave","SYML","You Knew It Was Me",2020,"Autumn",63,0.989,0.486,0.062,0.9,0.111,-19.538,0.0379,170.442,"8","1",203911,0.271,"3","2Tq3fayHpjP2nOZlBEjt3N","indie anthem-folk","modern indie pop",NA,NA,NA,NA
"3","Where's My Love - Acoustic","SYML","Where's My Love",2017,"Summer",77,0.892,0.554,0.225,0.0321,0.107,-11.324,0.0281,104.007,"3","1",239880,0.221,"4","0ElpbbncWT9aS7mgoqEHbQ","indie anthem-folk","modern indie pop",NA,NA,NA,NA
"4","Rosyln","Various Artists","The Twilight Saga: New Moon (Original Motion Picture Soundtrack)",2009,"Autumn",80,0.971,0.329,0.277,0.024,0.0971,-13.111,0.0302,159.719,"10","0",289560,0.121,"3","4k7x3QKrc3h3U0Viqk0uop",NA,NA,NA,NA,NA,NA
"5","Tarot","Bad Bunny","Un Verano Sin Ti",2022,"Spring",83,0.0225,0.795,0.684,0,0.658,-3.971,0.0419,114.011,"11","0",237894,0.419,"4","41oY4WCTj5kccfesTVFnvN","reggaeton","trap latino","urbano latino",NA,NA,NA
"6","Miserable Man","David Kushner","Miserable Man",2022,"Winter",70,0.926,0.632,0.349,7.5e-05,0.294,-10.289,0.0346,109.981,"10","1",232991,0.307,"4","6gPPoRYJwCsoB2VVdPJfmo","gen z singer-songwriter",NA,NA,NA,NA,NA
"7","The Night We Met","Lord Huron","Strange Trails",2015,"Spring",89,0.969,0.544,0.369,0.279,0.639,-9.514,0.038,87.01,"2","1",208211,0.102,"3","3hRV0jL3vUpRrcy398teAU","indie folk","stomp and holler",NA,NA,NA,NA
"8","Where’s My Love - Alternate Version","SYML","Hurt for Me",2016,"Autumn",69,0.904,0.382,0.219,0.0196,0.108,-11.805,0.0318,103.768,"0","0",248333,0.161,"4","5IH7HQEWhToZnMQTZRzp1H","indie anthem-folk","modern indie pop",NA,NA,NA,NA
"9","Bitter Truth","Sunny Suljic","Bitter Truth",2021,"Winter",55,0.498,0.701,0.456,0,0.115,-8.463,0.066,80.012,"7","0",120048,0.164,"4","2ibTunALsL5ud68S7Ivekv",NA,NA,NA,NA,NA,NA
"10","Fourth of July","Sufjan Stevens","Carrie & Lowell",2015,"Spring",81,0.973,0.435,0.104,0.33,0.119,-22.39,0.0445,120.484,"6","0",279316,0.162,"4","5Qnrgqy1pAm9GyNQOgyVFz","art pop","baroque pop","chamber pop","indie pop","indie rock","singer-songwriter"
"11","Fingers Crossed","Lauren Spencer Smith","Mirror",2023,"Summer",77,0.589,0.607,0.47,0,0.31,-7.167,0.0559,109.696,"5","1",175344,0.445,"4","4wH7ZoqgETaACS9BlUkvuY","alt z","gen z singer-songwriter",NA,NA,NA,NA
"12","caroline","sombr","caroline",2022,"Summer",64,0.869,0.491,0.176,0.00375,0.101,-17.212,0.0369,120.06,"7","1",198000,0.122,"4","73Moxwjn2ElzQBIMstG2ga",NA,NA,NA,NA,NA,NA
"13","Como Antes","Rels B","Como Antes",2021,"Spring",75,0.644,0.74,0.428,1.76e-05,0.117,-8.458,0.0959,84.739,"9","1",142576,0.281,"4","1ZR473PTTSHGcnyRyidBoA","r&b en espanol","spanish hip hop","trap latino","urbano espanol","urbano latino",NA
"14","Neverita","Bad Bunny","Un Verano Sin Ti",2022,"Spring",84,0.0706,0.876,0.498,0,0.143,-7.511,0.0478,122.016,"10","1",173119,0.428,"4","31i56LZnwE6uSu3exoHjtB","reggaeton","trap latino","urbano latino",NA,NA,NA
"15","go - Lower & Slower","Cat Burns","Go (Remixes)",2022,"Spring",55,0.9,0.514,0.313,0,0.119,-10.306,0.0558,112.544,"2","0",224000,0.564,"5","4W1dEYQlTmRXabO9xhLGZi","uk pop",NA,NA,NA,NA,NA
"16","MEAN!","Madeline The Person","MEAN!",2022,"Spring",67,0.912,0.502,0.416,0,0.0934,-9.504,0.433,175.191,"7","1",143960,0.433,"3","0KQRhak4Irr2CKxgQ9U6ay","gen z singer-songwriter",NA,NA,NA,NA,NA
"17","The Wisp Sings","Winter Aid","The Wisp Sings",2013,"Autumn",73,0.988,0.521,0.0889,0.185,0.0965,-19.457,0.0506,115.428,"4","1",313252,0.0478,"4","008McaJl3WM1UqxxVie9BP","irish indie",NA,NA,NA,NA,NA
"18","Dos Días al Mes","Hens","Hensito",2021,"Spring",59,0.0745,0.679,0.548,0,0.0981,-7.645,0.0341,124.031,"8","1",170322,0.635,"4","4Ws1SBzrc8MgbtxVyXFfyP","rap espanol",NA,NA,NA,NA,NA
