"","title","artists","album_name","year","season","popularity","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","key","mode","duration_ms","valence","time_signature","track.id","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8"
"1","Moth To A Flame (with The Weeknd)","Swedish House Mafia","Paradise Again","2022","Spring",83,0.0027,0.553,0.659,0,0.105,-7.295,0.0391,120.146,"8","1",234000,0.105,"4","0VO8gYVDSwM1Qdd2GsMoYK","edm","pop dance","progressive electro house",NA,NA,NA,NA,NA
"2","Finché Non Mi Seppelliscono","BLANCO","Blu Celeste","2021","Autumn",67,0.349,0.727,0.833,0,0.232,-2.594,0.0316,130.024,"4","1",168000,0.86,"4","16EJNayKtC09M0Fi7Py47s","italian hip hop","italian pop",NA,NA,NA,NA,NA,NA
"3","As It Was","Harry Styles","Harry's House","2022","Spring",95,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,"6","0",167303,0.662,"4","4Dvkj6JhhA12EX05fT7y2e","pop",NA,NA,NA,NA,NA,NA,NA
"4","Brividi","Mahmood","Brividi","2022","Winter",65,0.448,0.523,0.614,0,0.254,-4.435,0.0347,122.962,"7","1",199146,0.342,"4","1ZMGp9MTXbtAPvcKa0U3zS","italian adult pop","italian pop",NA,NA,NA,NA,NA,NA
"5","First Class","Jack Harlow","Come Home The Kids Miss You","2022","Spring",81,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,107.005,"5","0",173947,0.332,"4","0wHFktze2PHC5jDt3B17DC","deep underground hip hop","kentucky hip hop","pop rap","rap",NA,NA,NA,NA
"6","I Took A Pill In Ibiza - Seeb Remix","Mike Posner","At Night, Alone.","2016","Spring",82,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,"7","0",197933,0.71,"4","0vbtURX4qv1l7besfwmnD8","dance pop","pop","pop dance","pop rap",NA,NA,NA,NA
"7","Don’t Forget My Love","Diplo","Don’t Forget My Love","2022","Winter",60,0.0237,0.639,0.873,0.0143,0.119,-6.222,0.0408,121.031,"2","1",199090,0.258,"4","1kpTK8SWlA1lGkorVaxp3S","dance pop","edm","electro house","moombahton","pop dance",NA,NA,NA
"8","If I Lose Myself - Alesso vs OneRepublic","OneRepublic","Native","2014","Winter",73,0.258,0.519,0.754,3.75e-06,0.139,-5.689,0.0402,125.975,"2","1",215186,0.16,"4","3ScJy88F8KqGDfWu8XJhHx","piano rock","pop",NA,NA,NA,NA,NA,NA
"9","Whistle","Flo Rida","Wild Ones","2012","Summer",80,0.0208,0.747,0.937,0,0.29,-5.746,0.0453,103.976,"0","1",224653,0.739,"4","3bC1ahPIYt1btJzSSEyyrF","dance pop","miami hip hop","pop","pop rap",NA,NA,NA,NA
"10","Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","The Papercut Chronicles II (Deluxe Edition)","2011","Autumn",65,0.0319,0.646,0.795,0,0.267,-3.293,0.0976,89.99,"9","1",210960,0.796,"4","4Ljs6Dvpz7Arf9Ac8RN7tn","dance pop","pop rap",NA,NA,NA,NA,NA,NA
"11","Runaway (U & I)","Galantis","Pharmacy","2015","Summer",77,0.00711,0.506,0.805,0.00193,0.0856,-4.119,0.0469,126.008,"1","1",227073,0.383,"4","46lFttIf5hnUZMGvjK0Wxo","dance pop","edm","pop","pop dance",NA,NA,NA,NA
"12","Can't Feel My Face","The Weeknd","Beauty Behind The Madness","2015","Summer",86,0.113,0.705,0.769,0,0.105,-5.526,0.0425,107.949,"9","0",213520,0.583,"4","22VdIZQfgXJea34mQxlt81","canadian contemporary r&b","canadian pop","pop",NA,NA,NA,NA,NA
"13","The Spark","AFROJACK","Forget The World (Deluxe)","2014","Winter",57,0.152,0.651,0.898,0,0.11,-4.942,0.0391,126.051,"11","1",240893,0.599,"4","5CYJB5Md92kvcrZ4lJDALY","big room","dance pop","dutch house","edm","electro house","pop dance",NA,NA
"14","Running Up That Hill (A Deal With God)","Kate Bush","Hounds Of Love","1985","Autumn",85,0.719,0.629,0.545,0.00308,0.0604,-13.123,0.0546,108.376,"10","0",298933,0.194,"4","1PtQJZVZIdWIYdARpZRDFO","art pop","art rock","baroque pop","new wave pop","permanent wave","piano rock","singer-songwriter",NA
"15","This Is What It Feels Like","Armin van Buuren","Intense","2013","Spring",73,0.0391,0.551,0.833,2.77e-06,0.0632,-5.217,0.03,129.885,"8","1",204360,0.145,"5","5GjnIpUlLGEIYk052ISOw9","dutch house","dutch trance","edm","pop dance","progressive house","trance",NA,NA
"16","When Love Takes Over (feat. Kelly Rowland)","David Guetta","One More Love","2010","Autumn",74,0.0165,0.675,0.862,0.000427,0.169,-4.614,0.0253,129.967,"11","1",191000,0.498,"4","1hRFVIy9As8OVRk8B7CrD5","big room","dance pop","edm","pop","pop dance",NA,NA,NA
"17","Summer","Calvin Harris","Motion","2014","Autumn",84,0.0211,0.596,0.856,0.0178,0.141,-3.556,0.0346,127.949,"4","0",222533,0.743,"4","6YUTL4dYpB9xZO5qExPf05","dance pop","edm","electro house","house","pop","pop dance","progressive house","uk dance"
"18","Summer Paradise (feat. Sean Paul) - Single Version","Simple Plan","Get Your Heart On!","2011","Summer",64,0.0132,0.421,0.822,0,0.092,-4.415,0.0542,171.935,"2","1",234786,0.751,"4","7sziTn5nHwrWf4K7gISaaU","canadian pop punk","canadian punk","canadian rock","modern rock","neon pop punk","pop punk","pop rock",NA
